run_id,K,repeat,model_path,runtime_s,n_train,n_val,n_test,test_pos_rate,test_ROC_AUC,test_PR_AUC,test_Brier,test_LogLoss,youden_val_thr,youden_val_score,youden_test_Precision,youden_test_Sensitivity,youden_test_Specificity,youden_test_tn,youden_test_fp,youden_test_fn,youden_test_tp,f1_val_thr,f1_val_score,f1_test_Precision,f1_test_Sensitivity,f1_test_Specificity,f1_test_tn,f1_test_fp,f1_test_fn,f1_test_tp
K01__r00,1,0,models/K01__r00.keras,7.345179796218872,1969,423,423,0.19858156028368795,0.9458491361146228,0.8730918106417944,0.058111786487499165,0.20922528611837127,0.11438815208275491,0.7206068268015171,0.8222222222222222,0.8809523809523809,0.9528023598820059,323,16,10,74,0.4079406107630166,0.8108108108108109,0.8904109589041096,0.7738095238095238,0.976401179941003,331,8,19,65
K01__r01,1,1,models/K01__r01.keras,10.882726192474365,1969,423,423,0.19858156028368795,0.939071498806012,0.8807741548361159,0.05816871756841999,0.2147626608329922,0.09437642989444718,0.7772861356932155,0.6666666666666666,0.8571428571428571,0.8938053097345132,303,36,12,72,0.2928634667477672,0.8421052631578947,0.868421052631579,0.7857142857142857,0.9705014749262537,329,10,18,66
K01__r02,1,2,models/K01__r02.keras,13.42107105255127,1969,423,423,0.19858156028368795,0.863920494451468,0.7966949620125111,0.0741777240006846,0.2809734314375098,0.3592587306760997,0.8098398651495997,0.8169014084507042,0.6904761904761905,0.9616519174041298,326,13,26,58,0.5791051654746576,0.8679245283018867,0.8888888888888888,0.6666666666666666,0.9793510324483776,332,7,28,56
K01__r03,1,3,models/K01__r03.keras,5.908201217651367,1969,423,423,0.19858156028368795,0.8862199747155499,0.8463510646364798,0.0719012731467773,0.25903719628272914,0.10628817609286353,0.8427096502317741,0.8160919540229885,0.8452380952380952,0.9528023598820059,323,16,13,71,0.12363653027397745,0.8654970760233917,0.8255813953488372,0.8452380952380952,0.9557522123893806,324,15,13,71
K01__r04,1,4,models/K01__r04.keras,4.850695848464966,1969,423,423,0.19858156028368795,0.929519595448799,0.8142974525278116,0.11934804749034586,0.3825328257219054,0.15072403667268525,0.7153392330383481,0.6239316239316239,0.8690476190476191,0.8702064896755162,295,44,11,73,0.1767707355926571,0.7544910179640718,0.7471264367816092,0.7738095238095238,0.9351032448377581,317,22,19,65
K01__r05,1,5,models/K01__r05.keras,12.86061406135559,1969,423,423,0.19858156028368795,0.921056328135974,0.8522679083313289,0.05716461479626099,0.21901168062382675,0.20260725648740355,0.6819426885798567,0.8433734939759037,0.8333333333333334,0.9616519174041298,326,13,14,70,0.6252522453460585,0.7814569536423842,0.8888888888888888,0.7619047619047619,0.976401179941003,331,8,20,64
K01__r06,1,6,models/K01__r06.keras,6.6877357959747314,1969,423,423,0.19858156028368795,0.9526618907149881,0.9032247827791052,0.04784390214921179,0.18232710926891615,0.22882329967940632,0.7889801938474506,0.8765432098765432,0.8452380952380952,0.9705014749262537,329,10,13,71,0.30967146380558536,0.8500000000000001,0.9305555555555556,0.7976190476190477,0.9852507374631269,334,5,17,67
K01__r07,1,7,models/K01__r07.keras,11.311293840408325,1969,423,423,0.19858156028368795,0.9270262677342324,0.8816135812143433,0.057100216562502956,0.21693716430536975,0.15037646295691612,0.7829751369574378,0.8552631578947368,0.7738095238095238,0.967551622418879,328,11,19,65,0.15037646295691612,0.84472049689441,0.8552631578947368,0.7738095238095238,0.967551622418879,328,11,19,65
K01__r08,1,8,models/K01__r08.keras,7.253689765930176,1969,423,423,0.19858156028368795,0.8784941705295687,0.7979232913087918,0.07278117625769492,0.3117793129713027,0.2718926374683942,0.771070375052676,0.8571428571428571,0.7142857142857143,0.9705014749262537,329,10,24,60,0.383235470357133,0.8461538461538461,0.9206349206349206,0.6904761904761905,0.9852507374631269,334,5,26,58
K01__r09,1,9,models/K01__r09.keras,12.055226802825928,1969,423,423,0.19858156028368795,0.9291333052395,0.8873089920191317,0.04895901894012914,0.191811263068919,0.1653693963508955,0.7621154656552886,0.8974358974358975,0.8333333333333334,0.976401179941003,331,8,14,70,0.1653693963508955,0.8354430379746834,0.8974358974358975,0.8333333333333334,0.976401179941003,331,8,14,70
K01__r10,1,10,models/K01__r10.keras,12.719452857971191,1969,423,423,0.19858156028368795,0.9175797162522826,0.854184912724941,0.05649304698305219,0.22152918128322577,0.35130189711668613,0.7741255794353139,0.8571428571428571,0.7857142857142857,0.967551622418879,328,11,18,66,0.3881168590068295,0.8427672955974843,0.8918918918918919,0.7857142857142857,0.976401179941003,331,8,18,66
K01__r11,1,11,models/K01__r11.keras,9.691534757614136,1969,423,423,0.19858156028368795,0.9006882989183875,0.8049500470886851,0.07527742844828551,0.26783658782587433,0.261907486170437,0.7771807838179519,0.8169014084507042,0.6904761904761905,0.9616519174041298,326,13,26,58,0.261907486170437,0.8214285714285714,0.8169014084507042,0.6904761904761905,0.9616519174041298,326,13,26,58
K01__r12,1,12,models/K01__r12.keras,11.449901103973389,1969,423,423,0.19858156028368795,0.9084141031043685,0.82918135208423,0.07319994549871951,0.264861213269567,0.434565769849422,0.7591656131479141,0.7777777777777778,0.75,0.9469026548672567,321,18,21,63,0.434565769849422,0.830188679245283,0.7777777777777778,0.75,0.9469026548672567,321,18,21,63
K01__r13,1,13,models/K01__r13.keras,12.646985054016113,1969,423,423,0.19858156028368795,0.9406166596432084,0.887154776333067,0.05474087177298415,0.20576937369046944,0.38392195196455703,0.7115465655288664,0.9264705882352942,0.75,0.9852507374631269,334,5,21,63,0.38392195196455703,0.8,0.9264705882352942,0.75,0.9852507374631269,334,5,21,63
K01__r14,1,14,models/K01__r14.keras,18.308475255966187,1969,423,423,0.19858156028368795,0.9333824975417896,0.8826298432868441,0.05222613345760516,0.20401657059315687,0.3135695664331,0.7680151706700378,0.8414634146341463,0.8214285714285714,0.9616519174041298,326,13,15,69,0.3135695664331,0.8461538461538461,0.8414634146341463,0.8214285714285714,0.9616519174041298,326,13,15,69
K01__r15,1,15,models/K01__r15.keras,13.270914077758789,1969,423,423,0.19858156028368795,0.8979140328697851,0.8476624564969882,0.05782857764611197,0.23499547435440887,0.24052750370063083,0.7324062368310156,0.7802197802197802,0.8452380952380952,0.9410029498525073,319,20,13,71,0.29714930690218866,0.8129032258064516,0.813953488372093,0.8333333333333334,0.9528023598820059,323,16,14,70
K01__r16,1,16,models/K01__r16.keras,11.821583032608032,1969,423,423,0.19858156028368795,0.9024792807978649,0.8233771210853635,0.06610786314197922,0.25325922719385335,0.2131043497253867,0.818794774546987,0.875,0.75,0.9734513274336283,330,9,21,63,0.2131043497253867,0.8520710059171598,0.875,0.75,0.9734513274336283,330,9,21,63
K01__r17,1,17,models/K01__r17.keras,9.779929161071777,1969,423,423,0.19858156028368795,0.920740272510184,0.8765952384941468,0.048704831859497304,0.19761271221197124,0.14925413861525746,0.7979351032448379,0.8352941176470589,0.8452380952380952,0.9587020648967551,325,14,13,71,0.2587328712480406,0.860759493670886,0.8875,0.8452380952380952,0.9734513274336283,330,9,13,71
K01__r18,1,18,models/K01__r18.keras,10.769659042358398,1969,423,423,0.19858156028368795,0.9117502458210424,0.8313801435402023,0.07279897825961684,0.2621114036044371,0.1179158543055884,0.726717235566793,0.6923076923076923,0.75,0.9174041297935103,311,28,21,63,0.27238552132446564,0.7922077922077921,0.8428571428571429,0.7023809523809523,0.967551622418879,328,11,25,59
K01__r19,1,19,models/K01__r19.keras,11.890904188156128,1969,423,423,0.19858156028368795,0.9086599241466498,0.8499805388970453,0.05837973827472555,0.22554810699330388,0.2060913122556311,0.8158449220396122,0.8461538461538461,0.7857142857142857,0.9646017699115044,327,12,18,66,0.2060913122556311,0.8470588235294119,0.8461538461538461,0.7857142857142857,0.9646017699115044,327,12,18,66
K01__r20,1,20,models/K01__r20.keras,8.953307867050171,1969,423,423,0.19858156028368795,0.9476050007023459,0.8908834471672232,0.050712982196678524,0.18968450018334274,0.15975344724235158,0.7179730299199325,0.7666666666666667,0.8214285714285714,0.9380530973451328,318,21,15,69,0.35355260312858533,0.7837837837837837,0.9420289855072463,0.7738095238095238,0.9882005899705014,335,4,19,65
K01__r21,1,21,models/K01__r21.keras,11.00943112373352,1969,423,423,0.19858156028368795,0.9043404972608512,0.8762438626326546,0.05363247796373852,0.214153162447387,0.17763781277591056,0.7830804888327012,0.8860759493670886,0.8333333333333334,0.9734513274336283,330,9,14,70,0.17763781277591056,0.8313253012048192,0.8860759493670886,0.8333333333333334,0.9734513274336283,330,9,14,70
K01__r22,1,22,models/K01__r22.keras,10.16217303276062,1969,423,423,0.19858156028368795,0.8808821463688721,0.7727512786574295,0.08091861438402224,0.3080994315497763,0.13519371503751926,0.7711757269279393,0.8266666666666667,0.7380952380952381,0.9616519174041298,326,13,22,62,0.39488337424004427,0.8533333333333334,0.85,0.6071428571428571,0.9734513274336283,330,9,33,51
