run_id,K,repeat,runtime_s,n_train,n_val,n_test,test_pos_rate,test_ROC_AUC,test_PR_AUC,test_Brier,test_LogLoss,youden_val_thr,youden_val_score,youden_test_Precision,youden_test_Sensitivity,youden_test_Specificity,youden_test_tn,youden_test_fp,youden_test_fn,youden_test_tp,f1_val_thr,f1_val_score,f1_test_Precision,f1_test_Sensitivity,f1_test_Specificity,f1_test_tn,f1_test_fp,f1_test_fn,f1_test_tp
K01__r00,1,0,0.37161803245544434,1969,423,423,0.19858156028368795,0.9388432364096081,0.8712048765455888,0.05342161894495175,0.41266972112768285,0.18523153942428036,0.7265065318162662,0.797752808988764,0.8452380952380952,0.9469026548672567,321,18,13,71,0.6245306633291615,0.8137931034482758,0.8985507246376812,0.7380952380952381,0.9793510324483776,332,7,22,62
K01__r01,1,1,0.35375285148620605,1969,423,423,0.19858156028368795,0.8939984548391627,0.8521404934298853,0.057102377366590885,0.7262908636719981,0.28911138923654567,0.7502107037505268,0.8571428571428571,0.7857142857142857,0.967551622418879,328,11,18,66,0.5068836045056321,0.8456375838926173,0.9117647058823529,0.7380952380952381,0.9823008849557522,333,6,22,62
K01__r02,1,2,0.35799098014831543,1969,423,423,0.19858156028368795,0.8636395561174322,0.795997533735103,0.07332809298344198,0.8510277406877126,0.5106382978723404,0.7859249894648124,0.8507462686567164,0.6785714285714286,0.9705014749262537,329,10,27,57,0.6783479349186483,0.858974358974359,0.9137931034482759,0.6309523809523809,0.9852507374631269,334,5,31,53
K01__r03,1,3,0.44129014015197754,1969,423,423,0.19858156028368795,0.9369293440089901,0.8791425295254758,0.05393198739576058,0.34120321170407214,0.2853566958698373,0.8277496839443743,0.8395061728395061,0.8095238095238095,0.9616519174041298,326,13,16,68,0.2853566958698373,0.8538011695906432,0.8395061728395061,0.8095238095238095,0.9616519174041298,326,13,16,68
K01__r04,1,4,0.3577909469604492,1969,423,423,0.19858156028368795,0.9438825677763731,0.8988894745767517,0.04492673826331331,0.3173548599606358,0.2903629536921152,0.7859249894648124,0.8452380952380952,0.8452380952380952,0.9616519174041298,326,13,13,71,0.36045056320400504,0.8571428571428571,0.8875,0.8452380952380952,0.9734513274336283,330,9,13,71
K01__r05,1,5,0.3652667999267578,1969,423,423,0.19858156028368795,0.9051481949712038,0.8336793787996917,0.05664482575937381,0.7240384434760302,0.22403003754693368,0.6760429835651074,0.8023255813953488,0.8214285714285714,0.9498525073746312,322,17,15,69,0.690863579474343,0.7785234899328859,0.9014084507042254,0.7619047619047619,0.9793510324483776,332,7,20,64
K01__r06,1,6,0.3597891330718994,1969,423,423,0.19858156028368795,0.9340146087933698,0.8587513759566859,0.050044243073701894,0.4826493201997324,0.2753441802252816,0.8008849557522124,0.8202247191011236,0.8690476190476191,0.9528023598820059,323,16,11,73,0.7647058823529412,0.849673202614379,0.9264705882352942,0.75,0.9852507374631269,334,5,21,63
K01__r07,1,7,0.42647814750671387,1969,423,423,0.19858156028368795,0.9098187947745469,0.8729216905298295,0.05187588682540401,0.6342551394384741,0.327909887359199,0.7591656131479141,0.9538461538461539,0.7380952380952381,0.9911504424778761,336,3,22,62,0.5081351689612015,0.8333333333333333,0.9836065573770492,0.7142857142857143,0.9970501474926253,338,1,24,60
K01__r08,1,8,0.3526730537414551,1969,423,423,0.19858156028368795,0.8967200449501335,0.8385221742642107,0.060703356022998124,0.6629197936381186,0.2615769712140175,0.8396544458491362,0.8533333333333334,0.7619047619047619,0.967551622418879,328,11,20,64,0.5719649561952441,0.8641975308641975,0.9130434782608695,0.75,0.9823008849557522,333,6,21,63
K01__r09,1,9,0.3693242073059082,1969,423,423,0.19858156028368795,0.9372805169265346,0.8459636801845963,0.04865900094973328,0.4784003516337727,0.1964956195244055,0.7564264643910663,0.7777777777777778,0.8333333333333334,0.9410029498525073,319,20,14,70,0.6583229036295369,0.8421052631578947,0.9315068493150684,0.8095238095238095,0.9852507374631269,334,5,16,68
K01__r10,1,10,0.3593740463256836,1969,423,423,0.19858156028368795,0.9023036943390925,0.8392371792014833,0.06270473047504439,0.5940882231893366,0.5556946182728411,0.7352507374631267,0.9365079365079365,0.7023809523809523,0.9882005899705014,335,4,25,59,0.5556946182728411,0.8289473684210525,0.9365079365079365,0.7023809523809523,0.9882005899705014,335,4,25,59
K01__r11,1,11,0.3436911106109619,1969,423,423,0.19858156028368795,0.8794247787610618,0.7867467983303831,0.07129099699942915,0.6276759087692152,0.3617021276595745,0.7830804888327012,0.855072463768116,0.7023809523809523,0.9705014749262537,329,10,25,59,0.7171464330413017,0.8387096774193548,0.9180327868852459,0.6666666666666666,0.9852507374631269,334,5,28,56
K01__r12,1,12,0.3437490463256836,1969,423,423,0.19858156028368795,0.9026899845483916,0.8122422758146057,0.065683728261484,0.6032107335585302,0.34292866082603257,0.7562157606405395,0.8289473684210527,0.75,0.9616519174041298,326,13,21,63,0.4918648310387985,0.8258064516129031,0.8611111111111112,0.7380952380952381,0.9705014749262537,329,10,22,62
K01__r13,1,13,0.3720438480377197,1969,423,423,0.19858156028368795,0.9293440089900267,0.8653110857762017,0.0503847731604457,0.4807295633493842,0.327909887359199,0.7266118836915298,0.8933333333333333,0.7976190476190477,0.976401179941003,331,8,17,67,0.4655819774718398,0.7901234567901233,0.9154929577464789,0.7738095238095238,0.9823008849557522,333,6,19,65
K01__r14,1,14,0.3466458320617676,1969,423,423,0.19858156028368795,0.9059734513274336,0.8343942445323675,0.055044031078031824,0.6494805903699912,0.411764705882353,0.7352507374631267,0.8846153846153846,0.8214285714285714,0.9734513274336283,330,9,15,69,0.411764705882353,0.8289473684210525,0.8846153846153846,0.8214285714285714,0.9734513274336283,330,9,15,69
