K,runtime_s_mean,runtime_s_std,test_PR_AUC_mean,test_PR_AUC_std,test_ROC_AUC_mean,test_ROC_AUC_std,test_LogLoss_mean,test_LogLoss_std,test_Brier_mean,test_Brier_std,youden_test_Precision_mean,youden_test_Precision_std,youden_test_Sensitivity_mean,youden_test_Sensitivity_std,youden_test_Specificity_mean,youden_test_Specificity_std,youden_val_thr_mean,youden_val_thr_std,f1_test_Precision_mean,f1_test_Precision_std,f1_test_Sensitivity_mean,f1_test_Sensitivity_std,f1_test_Specificity_mean,f1_test_Specificity_std,f1_val_thr_mean,f1_val_thr_std
1,0.3497076153755188,0.013974722642146976,0.8461669381821229,0.03538713216780768,0.9134579997190616,0.01957448535833196,0.5541047039831482,0.17121207855666903,0.05654166662455953,0.008286023731253344,0.8281724478926701,0.06894354682818475,0.7932142857142856,0.046697890576175,0.9570796460176991,0.022893173783212345,0.28108886107634545,0.12218610163016129,0.8925631199712102,0.03970645185112128,0.7642857142857143,0.04996620402072376,0.9766961651917404,0.010075664469970103,0.4891239048811014,0.15181341774421997
2,0.3496688365936279,0.008878869369022007,0.8602369235137395,0.033004331966413614,0.9200066722854333,0.01978349844692579,0.562360777400242,0.18538331215163956,0.052969121778536146,0.008009863142857877,0.8395528377103035,0.0657823180523337,0.8036904761904762,0.04616884469908184,0.9600294985250737,0.021831948390200417,0.22962453066332916,0.08035265825497305,0.9009797704229168,0.03921694629053479,0.7791666666666667,0.0477803604887933,0.9782890855457227,0.009810648056162748,0.4045682102628285,0.14142665761802456
3,0.35025485038757326,0.011920291878114853,0.8668133224433343,0.03348389556741131,0.9235057592358477,0.01908950880026844,0.5745174338129514,0.1755294314611256,0.05158239711280904,0.007854886515043884,0.8420582346096265,0.05724210998302414,0.8195238095238095,0.04434125311774003,0.9605309734513274,0.017910304045323257,0.20593241551939925,0.07945603371559813,0.8861989469390349,0.04560710890479335,0.7948809523809524,0.053155081381304946,0.9738053097345133,0.012615055490705797,0.3364580725907384,0.1401552448307792
4,0.36008026123046877,0.024587442600393153,0.8624263492736577,0.03316927383537806,0.915803483635342,0.02163375875656484,0.632599625671845,0.20535240935641785,0.052084988809222646,0.007986483294125985,0.8486270415732462,0.0495837524453193,0.8145238095238095,0.043012518306059594,0.9630088495575221,0.014944155000702251,0.20345431789737173,0.07304082176420239,0.887652646504707,0.04327385403128222,0.7901190476190476,0.054637199330673424,0.9743952802359882,0.01182827731283577,0.32180225281602004,0.13569950479431167
5,0.3530211853981018,0.011852838497969151,0.8625758486899552,0.03411514357414427,0.9216826450344149,0.020651804824306615,0.6211392281257091,0.20590789190525166,0.05274542086519203,0.007841426246807191,0.8369119453329543,0.06895751977284921,0.8094047619047618,0.04538705507430618,0.9588495575221239,0.022943031237948944,0.21693366708385484,0.07869280008703664,0.8840348729831645,0.04394898172692132,0.7859523809523811,0.050051509233809785,0.9736873156342183,0.011609266193470053,0.3264080100125157,0.1270263967282629
6,0.35429345846176147,0.01226914132395149,0.8633532591004571,0.03389413111394318,0.9224283607248209,0.020117164701517927,0.5898027123401429,0.19131011874974074,0.05364885034333641,0.008069950793112884,0.8308164356150859,0.06798146941003823,0.8065476190476191,0.042076932971943565,0.957433628318584,0.02234086076723502,0.2076470588235294,0.07343073771640428,0.885628648428614,0.04647383975708698,0.7820238095238095,0.04906110738846745,0.9741592920353982,0.012181472734154507,0.3355819774718398,0.10607781595570571
7,0.3586198163032532,0.01947346701357553,0.8559642367251559,0.03600413254244385,0.9149280095519033,0.02466891337105479,0.6738066103287522,0.24249199067559088,0.055046943344090396,0.008054286459373155,0.8258436000737674,0.0658863964876035,0.8130952380952381,0.04510245227144381,0.9555457227138643,0.02292724199549673,0.19088861076345431,0.06245154242610291,0.8780488777347962,0.04375961068205713,0.7819047619047619,0.0538248242601452,0.9723598820058997,0.011834034892118057,0.30569461827284106,0.11041077203017768
8,0.3388247060775757,0.007632863079641823,0.8504886315973712,0.03575499369132984,0.9134086599241467,0.023396266177747913,0.7057464312711557,0.2320295709979834,0.05658908569297877,0.008021676729280319,0.8068878763632352,0.06987088253832174,0.8105952380952381,0.043506089679588654,0.9496755162241888,0.02353847951473479,0.18484355444305384,0.07408749363431691,0.8745684141823864,0.047179762887067565,0.7772619047619048,0.051247493331226905,0.9715339233038348,0.012945820529981819,0.3155944931163955,0.10537339988294914
9,0.33952902793884276,0.01663586753379574,0.8589824194599095,0.03570583408569979,0.9204816336564124,0.02253375721891878,0.6520299002538041,0.22247611474415316,0.05663665077119052,0.007980580654552406,0.7877872544845126,0.05841532178211673,0.8207142857142857,0.04296723074171164,0.9435693215339234,0.020193397815521336,0.1714392991239049,0.057093973962729944,0.8638755880114394,0.05570420155267135,0.7752380952380952,0.056355811250409185,0.968259587020649,0.016448789511367932,0.30579474342928664,0.1149019724615384
10,0.3368637490272522,0.0066105831962131375,0.857721210781083,0.03436267906387318,0.9174118555976963,0.022369411122692022,0.6537861867879825,0.21181894663253692,0.05739250989097028,0.007839361311877168,0.7797207961468273,0.07446062356817555,0.8169047619047619,0.0470681213640547,0.9396165191740412,0.02861664095975531,0.17090112640801003,0.0676091456855452,0.8645856708276703,0.05274014066401078,0.7751190476190476,0.05403757431562394,0.968731563421829,0.014853184141950276,0.289386733416771,0.09603512432300627
11,0.33799964904785157,0.011343485511494654,0.8623818792245195,0.03320496575444637,0.9193397949150162,0.02109549925404554,0.6517897097349887,0.20416151274930547,0.057171278729974837,0.0076945823545925855,0.7925572287624412,0.0574301111490825,0.8264285714285714,0.041522288166436654,0.9447492625368732,0.02058226466049904,0.16210262828535668,0.049386876240504377,0.8607883786644779,0.04691055245095094,0.7825,0.058022307932197,0.9676696165191739,0.013475070486712759,0.2794993742177722,0.10046132615039187
12,0.3348994302749634,0.00425735197540691,0.8641835349158545,0.03277479398891888,0.9211056679308892,0.021644945176607103,0.6274480130496292,0.21376416449958277,0.05777613364645501,0.007814053725637723,0.783319157932555,0.0635332366110464,0.8266666666666667,0.042817040721611285,0.9410914454277287,0.024503153810901256,0.15146433041301627,0.04135043487565947,0.8507144758135305,0.05081489783126756,0.7828571428571429,0.06077614764289978,0.9646607669616519,0.015093739559788178,0.25878598247809764,0.10417710022677702
13,0.34969655513763426,0.02858706797301719,0.8648999828336708,0.03269154814729379,0.9224353841831717,0.02053154852853341,0.6373408485722721,0.19730545497686336,0.05852043886832772,0.007842624992969649,0.7873984183579616,0.06712960185932006,0.8269047619047619,0.044524896262970584,0.9422418879056047,0.024712908446207014,0.1579599499374218,0.045687269996657204,0.8536062726552097,0.050930230578254,0.7861904761904762,0.05521748300966653,0.9653982300884956,0.015449854729666385,0.24543178973717147,0.07257384404235757
14,0.3393175792694092,0.01236464075128866,0.8613137488083263,0.035900497727896295,0.9233682750386291,0.020839585616057168,0.6295178040459465,0.20944869621344447,0.05913885692863638,0.007893685132076571,0.785752687282207,0.07018631417640002,0.8248809523809524,0.04687046892826168,0.9415634218289085,0.026054736613311587,0.16180225281602,0.05174848041538018,0.8490840066417374,0.04593168954133425,0.794047619047619,0.05186405948314446,0.9641592920353982,0.013214608932815144,0.22996245306633292,0.057712675078609534
15,0.3397656893730164,0.010182936756547686,0.8605199127744867,0.033551804544387595,0.9249301165894086,0.0203272397143955,0.6018146645286143,0.19643639316168107,0.06036461634877497,0.008001368450333515,0.7895129186739698,0.06156090859663402,0.8180952380952381,0.04360419919045035,0.943952802359882,0.022671820082543308,0.16550688360450563,0.045812750789369826,0.842603611396816,0.043899143646665376,0.7901190476190476,0.05156384748216235,0.9626253687315633,0.013092188788093581,0.22540675844806007,0.06094725476278865
16,0.33664116382598874,0.00455554607867885,0.8553943849495856,0.0326327356699587,0.9195452310717798,0.020306950518912775,0.6556030151741001,0.19066412934279844,0.06169639865546772,0.00790133289644599,0.7790370217542266,0.06501125196901607,0.8222619047619049,0.044358522129751214,0.9398525073746313,0.025485828304552267,0.16309136420525658,0.039471336936736816,0.8340707927614633,0.04381350842729383,0.7903571428571429,0.051375829180653,0.9602654867256638,0.01300732282010678,0.21851063829787237,0.051231006171201875
17,0.3374470210075378,0.006302813661543597,0.8510412434754199,0.03405140030601356,0.9179844430397527,0.02087584367054458,0.6776097040912602,0.20256579434326494,0.06287344434171523,0.00799986563708674,0.7808922740215372,0.05750363218207044,0.8145238095238095,0.04474171353884828,0.9415634218289085,0.021516936686479207,0.1627909887359199,0.038264573289452694,0.8306354101728174,0.04360492808568285,0.7835714285714286,0.049458808676489247,0.9596165191740412,0.013015699257746602,0.21804755944931167,0.054478557725271264
18,0.3370869493484497,0.005151931386151216,0.8461576227854088,0.03324015160690189,0.9157302640820341,0.019801383388336875,0.690304932706241,0.19743164723351828,0.06427817328667387,0.007852490609496747,0.7769745727753397,0.058522871478963685,0.811547619047619,0.04317446391412904,0.9405014749262537,0.021854804061346836,0.1653817271589487,0.03623669748197322,0.827943639282505,0.045139327940724935,0.7759523809523811,0.04795993903808371,0.9592330383480825,0.01328098916545486,0.2231914893617021,0.04780071829940838
19,0.3359576964378357,0.0042299464751186676,0.8466956876169062,0.031102432455112607,0.9170668282062087,0.019249683194887755,0.6581461504416353,0.1872129110322609,0.06503199260114986,0.007853187565110484,0.7531658322454295,0.06769971622206146,0.8126190476190476,0.043523361149060365,0.9311799410029498,0.028550835768700898,0.15505632040050063,0.039184968146567585,0.8291826058913451,0.04658928729556064,0.768095238095238,0.04793306754470896,0.9599115044247788,0.014019646235610866,0.23505632040050062,0.05842061466496433
