K,metric,mean,std,n,se,ci95_lo,ci95_hi
1,runtime_s,0.3285626244544983,0.008945759801787712,100,0.0008945759801787711,0.32678759163014554,0.33033765727885106
2,runtime_s,0.35320693969726563,0.00739140700192974,100,0.000739140700192974,0.3517403241903353,0.35467355520419597
3,runtime_s,0.3520548939704895,0.007891153537183648,100,0.0007891153537183648,0.35048911790888443,0.3536206700320946
4,runtime_s,0.3579477643966675,0.009378156564655325,100,0.0009378156564655325,0.35608693467364544,0.3598085941196895
5,runtime_s,0.3676662182807922,0.008739499136496482,100,0.0008739499136496482,0.3659321120472911,0.36940032451429333
6,runtime_s,0.3842836332321167,0.009346695363663353,100,0.0009346695363663353,0.3824290460939272,0.38613822037030615
7,runtime_s,0.3976163101196289,0.010964017716048234,100,0.0010964017716048233,0.3954408111386612,0.3997918091005966
8,runtime_s,0.42203312397003173,0.016140072247168055,100,0.0016140072247168055,0.4188305834747657,0.42523566446529776
9,runtime_s,0.4447749614715576,0.020913032057560153,100,0.002091303205756015,0.4406253621997895,0.4489245607433257
10,runtime_s,0.4637887930870056,0.023304003371649062,100,0.002330400337164906,0.4591647732340203,0.46841281293999093
11,runtime_s,0.47222520112991334,0.0224694047428143,100,0.0022469404742814303,0.4677667837516385,0.4766836185081882
12,runtime_s,0.5154693531990051,0.03336990217851068,100,0.0033369902178510677,0.5088480406414669,0.5220906657565433
13,runtime_s,0.534678156375885,0.03602324389589494,100,0.003602324389589494,0.5275303632569484,0.5418259494948217
14,runtime_s,0.5460543584823608,0.042405788501546846,100,0.0042405788501546846,0.5376401300433451,0.5544685869213766
15,runtime_s,0.5746757936477661,0.05298122312189005,100,0.005298122312189004,0.5641631695443424,0.5851884177511898
16,runtime_s,0.6076265621185303,0.060128530809490294,100,0.006012853080949029,0.5956957571079126,0.619557367129148
17,runtime_s,0.6252654218673706,0.06384351724176146,100,0.006384351724176146,0.6125974829513703,0.6379333607833708
18,runtime_s,0.6437735629081726,0.07376422563700429,100,0.007376422563700429,0.6291371402152136,0.6584099856011315
19,runtime_s,0.6666699647903442,0.07136652623600181,100,0.007136652623600181,0.652509297677013,0.6808306319036754
20,runtime_s,0.6881250643730163,0.07127126915132867,100,0.007127126915132867,0.673983298331902,0.7022668304141307
21,runtime_s,0.7096001148223877,0.07199074280320061,100,0.007199074280320061,0.6953155895996469,0.7238846400451285
22,runtime_s,0.7295405125617981,0.07448047468003796,100,0.0074480474680037965,0.7147619705195647,0.7443190546040315
23,runtime_s,0.7390515565872192,0.07878998969956247,100,0.007878998969956247,0.7234179132695001,0.7546851999049383
24,runtime_s,0.7709363603591919,0.07437838995899694,100,0.007437838995899694,0.7561780741403572,0.7856946465780266
25,runtime_s,0.7834358477592468,0.0766077069992504,100,0.007660770699925041,0.768235216674239,0.7986364788442546
26,runtime_s,0.8077114915847778,0.06940598008186605,100,0.006940598008186605,0.793939839362787,0.8214831438067687
27,runtime_s,0.8223853039741517,0.07645837753167771,100,0.007645837753167771,0.8072143030952368,0.8375563048530665
28,runtime_s,0.8377835750579834,0.08181372637419758,100,0.008181372637419759,0.8215499567835698,0.854017193332397
29,runtime_s,0.8658407616615296,0.07823358582744394,100,0.007823358582744393,0.850317520943309,0.8813640023797501
30,runtime_s,0.8810187101364135,0.07442484708490715,100,0.007442484708490715,0.8662512058159035,0.8957862144569235
31,runtime_s,0.9267507576942444,0.08384853091679535,100,0.008384853091679535,0.9101133900531722,0.9433881253353167
32,runtime_s,0.9283812880516052,0.08534054907527094,100,0.008534054907527094,0.9114478716383208,0.9453147044648897
33,runtime_s,0.94070955991745,0.0822268486709315,100,0.00822268486709315,0.9243939692166107,0.9570251506182893
34,runtime_s,0.9637897181510925,0.10094294756261989,100,0.010094294756261989,0.9437604473814075,0.9838189889207775
35,runtime_s,1.0805858039855958,0.12151473365680159,100,0.01215147336568016,1.0564746445466624,1.1046969634245292
36,runtime_s,1.1105026865005494,0.12696318595862105,100,0.012696318595862104,1.085310435919898,1.1356949370812008
37,runtime_s,1.1481190776824952,0.13575280100073855,100,0.013575280100073856,1.121182776785395,1.1750553785795954
