run_id,K,repeat,runtime_s,n_train,n_val,n_test,test_pos_rate,test_ROC_AUC,test_PR_AUC,test_Brier,test_LogLoss,youden_val_thr,youden_val_score,youden_test_Precision,youden_test_Sensitivity,youden_test_Specificity,youden_test_tn,youden_test_fp,youden_test_fn,youden_test_tp,f1_val_thr,f1_val_score,f1_test_Precision,f1_test_Sensitivity,f1_test_Specificity,f1_test_tn,f1_test_fp,f1_test_fn,f1_test_tp
K01__r00,1,0,0.8233010768890381,1969,423,423,0.19858156028368795,0.9410907430818936,0.8785457460202621,0.054784126746725344,0.2849767181443268,0.2640801001251564,0.7178676780446693,0.7009345794392523,0.8928571428571429,0.9056047197640118,307,32,9,75,0.5857321652065082,0.8133333333333332,0.8607594936708861,0.8095238095238095,0.967551622418879,328,11,16,68
K01__r01,1,1,0.8154492378234863,1969,423,423,0.19858156028368795,0.9088003933136675,0.8468516970784716,0.0637071633245269,0.3231777089775502,0.43048854702033534,0.7590602612726507,0.8205128205128205,0.7619047619047619,0.9587020648967551,325,14,20,64,0.43048854702033534,0.8441558441558441,0.8205128205128205,0.7619047619047619,0.9587020648967551,325,14,20,64
K01__r02,1,2,0.957313060760498,1969,423,423,0.19858156028368795,0.8792843095940441,0.7877792777893919,0.0803527923658745,0.3839668456203825,0.60938169620401,0.800779603876949,0.8507462686567164,0.6785714285714286,0.9705014749262537,329,10,27,57,0.60938169620401,0.8625,0.8507462686567164,0.6785714285714286,0.9705014749262537,329,10,27,57
K01__r03,1,3,0.8238608837127686,1969,423,423,0.19858156028368795,0.9373156342182891,0.871212490972875,0.05746845625981898,0.28538370382994904,0.4693366708385482,0.818794774546987,0.8192771084337349,0.8095238095238095,0.9557522123893806,324,15,16,68,0.5381727158948686,0.8554216867469879,0.8481012658227848,0.7976190476190477,0.9646017699115044,327,12,17,67
K01__r04,1,4,0.8660428524017334,1969,423,423,0.19858156028368795,0.9377194830734653,0.8906847357829797,0.05236192573724543,0.27793796444236796,0.41051314142678347,0.7829751369574378,0.7888888888888889,0.8452380952380952,0.943952802359882,320,19,13,71,0.5168961201501877,0.8571428571428571,0.8536585365853658,0.8333333333333334,0.9646017699115044,327,12,14,70
K01__r05,1,5,0.8662219047546387,1969,423,423,0.19858156028368795,0.9042175867397106,0.8480688087122631,0.0635478798668496,0.46799555844896773,0.45807259073842305,0.6848925410872313,0.8313253012048193,0.8214285714285714,0.9587020648967551,325,14,15,69,0.7521902377972466,0.7814569536423842,0.8767123287671232,0.7619047619047619,0.9734513274336283,330,9,20,64
K01__r06,1,6,0.8281588554382324,1969,423,423,0.19858156028368795,0.9242168843938755,0.8671235811835116,0.06008959591550051,0.25344717808163947,0.5807259073842304,0.7769700800674253,0.8488372093023255,0.8690476190476191,0.9616519174041298,326,13,11,73,0.5807259073842304,0.8481012658227848,0.8488372093023255,0.8690476190476191,0.9616519174041298,326,13,11,73
K01__r07,1,7,0.8535079956054688,1969,423,423,0.19858156028368795,0.9188088214636887,0.8766055219029998,0.05319806933557639,0.35421996801358147,0.3041301627033792,0.7593763168984409,0.8048780487804879,0.7857142857142857,0.9528023598820059,323,16,18,66,0.5944931163954944,0.8258064516129031,1.0,0.7380952380952381,1.0,339,0,22,62
K01__r08,1,8,0.8106229305267334,1969,423,423,0.19858156028368795,0.8814440230369434,0.8115988648087413,0.06951511178421657,0.3056099038516365,0.5406758448060075,0.8246944795617361,0.8783783783783784,0.7738095238095238,0.9734513274336283,330,9,19,65,0.5406758448060075,0.8622754491017964,0.8783783783783784,0.7738095238095238,0.9734513274336283,330,9,19,65
K01__r09,1,9,0.8332421779632568,1969,423,423,0.19858156028368795,0.9230404551201012,0.8551711468645766,0.05606697500846485,0.3055677120881261,0.5256570713391739,0.7709650231774126,0.8961038961038961,0.8214285714285714,0.976401179941003,331,8,15,69,0.5256570713391739,0.8516129032258065,0.8961038961038961,0.8214285714285714,0.976401179941003,331,8,15,69
K01__r10,1,10,0.8220210075378418,1969,423,423,0.19858156028368795,0.9018296109004074,0.8298198177970619,0.0671739607688441,0.2736774765909963,0.4593241551939925,0.7265065318162662,0.875,0.75,0.9734513274336283,330,9,21,63,0.4593241551939925,0.8,0.875,0.75,0.9734513274336283,330,9,21,63
K01__r11,1,11,0.8400352001190186,1969,423,423,0.19858156028368795,0.8883270122208176,0.7982193640784255,0.07597117782314552,0.2961570985120435,0.623279098873592,0.7889801938474506,0.8769230769230769,0.6785714285714286,0.976401179941003,331,8,27,57,0.623279098873592,0.8414634146341463,0.8769230769230769,0.6785714285714286,0.976401179941003,331,8,27,57
K01__r12,1,12,0.862637996673584,1969,423,423,0.19858156028368795,0.9042000280938334,0.8302570233847312,0.0711789957503664,0.27264392844690716,0.4881101376720901,0.7472608512431522,0.84,0.75,0.9646017699115044,327,12,21,63,0.7146433041301627,0.8235294117647057,0.8840579710144928,0.7261904761904762,0.976401179941003,331,8,23,61
K01__r13,1,13,0.878054141998291,1969,423,423,0.19858156028368795,0.9374736620311841,0.8770486945913273,0.05408801747162097,0.27951287883273696,0.46307884856070086,0.7356721449641803,0.8518518518518519,0.8214285714285714,0.9646017699115044,327,12,15,69,0.5882352941176471,0.7975460122699387,0.9305555555555556,0.7976190476190477,0.9852507374631269,334,5,17,67
