K,runtime_s_mean,runtime_s_std,test_PR_AUC_mean,test_PR_AUC_std,test_ROC_AUC_mean,test_ROC_AUC_std,test_LogLoss_mean,test_LogLoss_std,test_Brier_mean,test_Brier_std,youden_test_Precision_mean,youden_test_Precision_std,youden_test_Sensitivity_mean,youden_test_Sensitivity_std,youden_test_Specificity_mean,youden_test_Specificity_std,youden_val_thr_mean,youden_val_thr_std,f1_test_Precision_mean,f1_test_Precision_std,f1_test_Sensitivity_mean,f1_test_Sensitivity_std,f1_test_Specificity_mean,f1_test_Specificity_std,f1_val_thr_mean,f1_val_thr_std
1,0.8159103751182556,0.023568665672953727,0.8471010717851266,0.03496467934236183,0.9129226366062649,0.01956293614729574,0.32371299583893437,0.08954346464617488,0.06169571480257524,0.008060710625139805,0.8246768437492976,0.06274709477009051,0.7922619047619048,0.04769039268170751,0.9564306784660767,0.020975655774669987,0.43542961250778506,0.10516683055828153,0.8814088888628578,0.03993076968944547,0.7722619047619048,0.04669789057617498,0.9737758112094396,0.0102176856371947,0.5666877197474538,0.08818958495152698
2,0.8207086610794068,0.021915723551606432,0.8637128167545097,0.03419800661661124,0.9231746031746032,0.019115346389104716,0.28793091078013316,0.08338242043176607,0.05551943924828672,0.0077456214776818475,0.8282554115049479,0.06477015630128223,0.8077380952380951,0.045256919958622764,0.9566666666666667,0.02137759779126567,0.3760826032540676,0.08797096054463961,0.8959888562399341,0.04130219016035113,0.78,0.04882081428326887,0.9770501474926253,0.010360220282167385,0.5221401752190238,0.09741056174533202
3,0.8150607848167419,0.014493109876564375,0.8742814650701751,0.03253929587366848,0.9288827433628319,0.019392999346402044,0.23874876982464155,0.054490646863721647,0.052123070661020794,0.007195333443455101,0.8397283977251166,0.06628713436623582,0.8216666666666668,0.04593523743943714,0.9590855457227139,0.023354170459861493,0.36950584553333377,0.09127958948324623,0.8906987847561102,0.04598047993807885,0.7985714285714286,0.04763948575345807,0.9749557522123894,0.012844395919422626,0.4750716620166061,0.09200269089427787
4,0.8158054494857788,0.01269845738317843,0.8777756811087989,0.032053814326189846,0.9301601348504004,0.01965115467821327,0.22003189672433454,0.05209249250546248,0.05086262689288898,0.007263257902187823,0.8488365144364751,0.06000632598260795,0.8267857142857143,0.044811889390255294,0.9619469026548673,0.019748195542252243,0.34957073822462464,0.07833367912319424,0.888325311443156,0.04234867933160415,0.8072619047619048,0.05137025602797202,0.9741592920353982,0.011582281613143097,0.43033211666727944,0.08300954544152188
5,0.8216755175590515,0.010694941267679078,0.8794536297848875,0.033329478332567705,0.9340751861216464,0.01995113442238374,0.21557238066745768,0.04129923347676541,0.050656580939562545,0.007275533134644376,0.8433640498957051,0.05799014998515987,0.8252380952380952,0.04661274382648594,0.9603539823008849,0.019707294851727595,0.3370022635902904,0.0818054031857282,0.8892988843443228,0.047179580396415864,0.8014285714285714,0.052039861951745744,0.9743657817109144,0.012784034970355672,0.43154804395664853,0.09770079923643751
6,0.8214759278297424,0.013639263611286484,0.8864363043824,0.031208416693297637,0.9358751229105211,0.019354114014805097,0.20890410236574625,0.03951531211582876,0.05025348743161903,0.007142224667989757,0.8301932359924663,0.07643022864431506,0.8302380952380952,0.04703282741813419,0.9549852507374631,0.02789547900550153,0.32186974371052685,0.09098469169910114,0.8925148396528713,0.04070187332269968,0.8047619047619048,0.04982274634877752,0.9752802359882006,0.011083270569255385,0.42682103059085597,0.07350940833935629
7,0.8166901731491089,0.015670148762743103,0.8874133520832956,0.03078136154588148,0.9372267874701502,0.01927141465186188,0.20433396889929578,0.034662407265897636,0.050321335872827874,0.007115349247795199,0.8300631579540922,0.07023033304335702,0.8295238095238094,0.045838525658050674,0.9554867256637167,0.02413682707952819,0.31495284669272694,0.08945259121895871,0.8913443246889612,0.04187429361827623,0.8032142857142857,0.052521102245528195,0.9749852507374631,0.011339631206720796,0.41755486098773503,0.07328680013971951
8,0.8269767308235169,0.014919013552528239,0.8878039829903386,0.031553227981374506,0.9389726436297232,0.018518520478504028,0.2108518993239685,0.04297271047526534,0.0500653216289761,0.007092225412467128,0.8236109373925201,0.07519321614245222,0.8338095238095238,0.042332852059587624,0.9529793510324484,0.02708398271509841,0.29522665685117916,0.0816181115129228,0.8871610190453348,0.044085045683633875,0.8033333333333332,0.05402657912735715,0.9738053097345133,0.012139261157304784,0.40459206023310423,0.09167313352626617
9,0.8323944807052612,0.014660079979109761,0.887275634513724,0.03232761363921388,0.9392012571990448,0.01873446982231341,0.20686084043755748,0.04006247056804599,0.05027119627071791,0.007077751153948587,0.8240080721476314,0.07252434756113028,0.8336904761904762,0.043452092680588486,0.9532743362831859,0.025916139453967955,0.29952209451418715,0.08039482510413308,0.8884901702352529,0.041702138675235194,0.8028571428571429,0.050516696245455794,0.974306784660767,0.011453888954476101,0.4029776624810168,0.0683527037096754
10,0.8325958728790284,0.013779372088478134,0.8880627578639964,0.031479697660995516,0.9395132743362832,0.018425054564293664,0.2049962267447727,0.03287262239556233,0.050503083882083424,0.006898143222856884,0.822188042529141,0.07625945216787644,0.8330952380952381,0.04627677730493551,0.952330383480826,0.028118614005496798,0.2943431869341385,0.07773769018343413,0.8859323800131869,0.04465088657404798,0.804047619047619,0.049575605614317855,0.9735693215339234,0.012223250912936233,0.39291269495739384,0.07160835462482663
11,0.8316571259498596,0.010351694841630269,0.8909850244678332,0.030044409722681083,0.9421909678325607,0.01816656035776719,0.20048074445412836,0.030322894122220403,0.04996182746579526,0.006785005507726057,0.8307193440608378,0.06817421262033423,0.8336904761904762,0.045385793420343025,0.9555162241887905,0.024084277057668513,0.3080663897651491,0.077438660007973,0.8863422537740467,0.04076330564482844,0.8072619047619048,0.04781989270097342,0.9736873156342183,0.011161505833639824,0.40168019185037457,0.06548202031575494
12,0.8322494220733643,0.014279203260034894,0.8905117583796656,0.030660343931426543,0.9434251650512713,0.017170653321417345,0.20146198400107498,0.0335859560750918,0.04997153428992131,0.00672581696870393,0.8300368347306634,0.06578879962726893,0.8386904761904762,0.04271846383296226,0.9554867256637167,0.021754188783931996,0.30470417674763217,0.07451538689815296,0.885675015222144,0.04287698489204234,0.8101190476190476,0.05046154846760874,0.9733038348082595,0.011861632370494923,0.3971013539164009,0.07337721287010246
13,0.8490141153335571,0.029263597282450562,0.8927943927338334,0.03104241517276309,0.9450561876668071,0.017156381611077593,0.19941237433114153,0.03639380422344682,0.04915240324278763,0.0066407995856724664,0.8185209172096897,0.07010747261918845,0.8436904761904762,0.04437142914957895,0.9510914454277287,0.025490259613493788,0.29624310701325235,0.08201080837636104,0.8811300361931513,0.046949972514132694,0.8141666666666667,0.04999183950447472,0.9718879056047197,0.0135176298051098,0.40079138336326053,0.08371686442070474
14,0.8431964802742005,0.012934980056473788,0.8928456495488959,0.030075481723069154,0.945145736760781,0.016251660146450343,0.19738902245970213,0.025992020564484214,0.04932919805882841,0.006589454757424989,0.8178153269204437,0.06843265646396816,0.8438095238095238,0.04493646435590629,0.9510324483775812,0.023583917108310214,0.29122198409263617,0.07896462045801998,0.8815764741006259,0.04875273529626163,0.812857142857143,0.053536812074895045,0.9718879056047197,0.01407820583966646,0.39921053799984124,0.08918852430090465
15,0.8420631146430969,0.010705192773713334,0.893607511344165,0.02931346115537881,0.9464280446691952,0.016018151040819145,0.19567219507379757,0.025171177444747964,0.049361991027016036,0.00649130109237595,0.8243340845011383,0.06714869102242514,0.8419047619047619,0.043472678714747935,0.9533628318584071,0.022921260705685745,0.2959109453418987,0.07633532025157502,0.8846306449279229,0.044381002816537986,0.8129761904761905,0.0465947741130312,0.9729793510324484,0.012329215802317255,0.3990666623418552,0.07445572960800206
16,0.8412386298179626,0.010764310114822366,0.8927272327494344,0.03003318354404365,0.9461321814861638,0.01645886968389674,0.19643379416154455,0.02517626288936677,0.049689386316395405,0.0065679135996452075,0.8141166277364138,0.06728358384569305,0.8467857142857143,0.043425728316765146,0.9498820058997051,0.022828273307591736,0.2838287323951441,0.07432736594197815,0.882305411605561,0.04685239950515645,0.8117857142857143,0.052391199968349164,0.9722713864306785,0.013271853010077751,0.3958901049196669,0.0806513689761606
17,0.9764866209030152,0.13084365909078688,0.8915840337807437,0.030425560380642747,0.9457864517488411,0.01628920843189768,0.19991115261652248,0.027850659709035747,0.05008592977901336,0.006530726106554041,0.8216335607770259,0.06682919582574118,0.8422619047619048,0.045760226985454074,0.9524188790560472,0.023001494761116008,0.29060713864440413,0.07116707835231745,0.8844092410377408,0.04923997781014545,0.8089285714285714,0.05208097122383607,0.9727728613569322,0.014005595662046118,0.3983359685999033,0.08489078703882123
18,1.122896363735199,0.1281607392051762,0.8916748359234801,0.03045156800502727,0.9454315915156623,0.016739016840373197,0.19957726299008638,0.029635974018077813,0.049911208150244704,0.0065492974975758615,0.8188941903922746,0.06338925584901796,0.8454761904761905,0.04196126869235345,0.9517404129793511,0.021286228716200308,0.28286471840960997,0.06663718332609274,0.881710598728625,0.04928498367676152,0.8103571428571429,0.05188489476849255,0.9720058997050147,0.014276841643944329,0.389989504531019,0.08435351509098331
19,1.118599145412445,0.12643404893840343,0.8962962208334916,0.026918746750344152,0.9453999859530833,0.016758643375997768,0.1981615283285019,0.02553755056257735,0.05014188981738913,0.006492768204552256,0.8146338304258544,0.06913024622713008,0.8455952380952381,0.0450374973247951,0.9499410029498524,0.024185429137492234,0.27861343114143466,0.06878756671867503,0.882765513561648,0.05071189915084944,0.8108333333333333,0.053021332594260936,0.9721828908554572,0.01444673498209415,0.389773804727549,0.089158109793515
20,1.1115595698356628,0.11631595330674192,0.8964138118230965,0.02696663117298408,0.9453966498103666,0.01632565847061971,0.19841918081323687,0.02524369494232407,0.05037068611106771,0.006519327516601271,0.8090859438938233,0.07450646338505952,0.8469047619047619,0.03968326117670221,0.9476991150442479,0.02765890041406746,0.27713500783156064,0.06489987493753642,0.8848533562363521,0.045881841475949876,0.8103571428571429,0.04753645434671532,0.9730088495575221,0.012843574723367389,0.38895931406789225,0.07118009723572591
21,1.1273333358764648,0.12367729685388228,0.8965190590218917,0.026730453881730766,0.9463200589970502,0.015708027044440687,0.19895335261504132,0.02486663122570828,0.050660008372101405,0.006414272957216742,0.8123330909087612,0.0749030021118521,0.8438095238095238,0.043709130636107284,0.9488790560471976,0.027107452185492976,0.2809429296165079,0.06890382093150517,0.8812750305660677,0.04854443451580786,0.8083333333333332,0.04684618121645237,0.9721238938053098,0.013379859931262344,0.3864520011650401,0.07881669962933728
22,1.1160184454917907,0.12847427175237622,0.8965129373594606,0.027163071021457992,0.9462341972187105,0.016406861143278842,0.19845843545302974,0.022546315852148717,0.050909436126747094,0.00645993807113446,0.8133631982871101,0.07152663792280191,0.8420238095238095,0.04583774489491425,0.9496165191740412,0.02441052122567643,0.28310310499246083,0.07133069178764088,0.8836795105167414,0.050833508519344046,0.808452380952381,0.049043596924797615,0.9726253687315634,0.01439691162349011,0.38979279034559977,0.08275493016553666
23,1.1061605381965638,0.11898717366247077,0.8957581226066589,0.026553154821250053,0.9455230720606826,0.01583090040791166,0.20122312447830776,0.02180624704957132,0.05120381500052726,0.006315542980112087,0.800663315940969,0.07285476476305203,0.8478571428571429,0.04218583314028244,0.9449852507374631,0.026272027512438362,0.2685929159050502,0.06470566505070192,0.8828947044068169,0.04840040103235481,0.8101190476190476,0.05099771306315117,0.9723598820058997,0.013699766701852033,0.3804056309708406,0.0763740116908863
24,1.175322391986847,0.15798104117227785,0.895388905031232,0.02704514095060942,0.9452168492765839,0.01620656327326963,0.20209484832589886,0.02460073428152883,0.05146715263283594,0.0063277128527733754,0.8034509437503471,0.0719498731044209,0.8469047619047619,0.04415684622880906,0.9460176991150442,0.025697412675264448,0.2725546026592073,0.06744357865208563,0.8838697027552869,0.049242781977091955,0.8080952380952381,0.049830790894816804,0.9726843657817109,0.013859012141945397,0.3839773772282378,0.07775010923596294
25,1.150449423789978,0.13402035398127643,0.8952552566467251,0.027161998229993472,0.9454128037645737,0.016199550505235003,0.2002063129058723,0.024196000731065884,0.05109593506108702,0.006429171508208612,0.8080879215297873,0.06920501497741935,0.8471428571428571,0.04697496108089638,0.9476991150442479,0.023761599285659293,0.2703162088967042,0.06693274480111404,0.8833217411344353,0.05013052139642065,0.8069047619047619,0.052251249624635246,0.9725368731563422,0.014179235430919075,0.3856838232359911,0.08353978097346568
