run_id,K,repeat,runtime_s,n_train,n_val,n_test,test_pos_rate,n_support_neg,n_support_pos,n_support_total,support_frac,test_ROC_AUC,test_PR_AUC,test_Brier,test_LogLoss,youden_val_thr,youden_val_score,youden_test_Precision,youden_test_Sensitivity,youden_test_Specificity,youden_test_tn,youden_test_fp,youden_test_fn,youden_test_tp,f1_val_thr,f1_val_score,f1_test_Precision,f1_test_Sensitivity,f1_test_Specificity,f1_test_tn,f1_test_fp,f1_test_fn,f1_test_tp
K01__r00,1,0,0.42444491386413574,1969,423,423,0.19858156028368795,413,108,521,0.2646013204672423,0.9286416631549376,0.8360130884990463,0.052486483385912656,0.21334090151416787,0.12916892750539513,0.7324062368310156,0.7956989247311828,0.8809523809523809,0.943952802359882,320,19,10,74,0.4877418758581169,0.8133333333333332,0.8734177215189873,0.8214285714285714,0.9705014749262537,329,10,15,69
K01__r01,1,1,0.4082317352294922,1969,423,423,0.19858156028368795,422,112,534,0.27120365667851704,0.9393173198482934,0.8740954063062947,0.05346277848690321,0.2104048186519551,0.10789213805004842,0.7681205225453014,0.7634408602150538,0.8452380952380952,0.9351032448377581,317,22,13,71,0.2573853703377894,0.8461538461538461,0.8831168831168831,0.8095238095238095,0.9734513274336283,330,9,16,68
K01__r02,1,2,0.402482271194458,1969,423,423,0.19858156028368795,395,108,503,0.25545962417470797,0.8647984267453295,0.7665526237994258,0.07535485393058795,0.2817221520254013,0.15643006247415564,0.8100505689001265,0.782051282051282,0.7261904761904762,0.9498525073746312,322,17,23,61,0.7851354134117611,0.860759493670886,0.8983050847457628,0.6309523809523809,0.9823008849557522,333,6,31,53
K01__r03,1,3,0.41695690155029297,1969,423,423,0.19858156028368795,438,116,554,0.2813610970035551,0.9183874139626352,0.8433239636089009,0.059569368429147874,0.2218223089021361,0.25480237233670044,0.8396544458491362,0.8313253012048193,0.8214285714285714,0.9587020648967551,325,14,15,69,0.25480237233670044,0.8604651162790699,0.8313253012048193,0.8214285714285714,0.9587020648967551,325,14,15,69
K01__r04,1,4,0.4113349914550781,1969,423,423,0.19858156028368795,440,119,559,0.28390045708481465,0.9550498665542912,0.8842685103574071,0.048489141465604284,0.1913174310306835,0.23540556368673826,0.7918246944795617,0.8181818181818182,0.8571428571428571,0.9528023598820059,323,16,12,72,0.23540556368673826,0.860759493670886,0.8181818181818182,0.8571428571428571,0.9528023598820059,323,16,12,72
K01__r05,1,5,0.40596508979797363,1969,423,423,0.19858156028368795,386,107,493,0.25038090401218893,0.9124525916561315,0.8153572184662236,0.05629103023736164,0.22809191838066575,0.27577586607957355,0.6848925410872313,0.8433734939759037,0.8333333333333334,0.9616519174041298,326,13,14,70,0.7874953377119149,0.7814569536423842,0.8904109589041096,0.7738095238095238,0.976401179941003,331,8,19,65
K01__r06,1,6,0.4181041717529297,1969,423,423,0.19858156028368795,445,120,565,0.28694768918232605,0.9321885096221378,0.8563738150665022,0.04684776427565629,0.19408639041486386,0.3086491366493962,0.8097345132743363,0.8795180722891566,0.8690476190476191,0.9705014749262537,329,10,11,73,0.3086491366493962,0.8641975308641975,0.8795180722891566,0.8690476190476191,0.9705014749262537,329,10,11,73
K01__r07,1,7,0.40526580810546875,1969,423,423,0.19858156028368795,415,114,529,0.2686642965972575,0.9252352858547549,0.8799352570002593,0.05053749831878126,0.2039141607677354,0.2209638077216415,0.7800252844500632,0.9428571428571428,0.7857142857142857,0.9882005899705014,335,4,18,66,0.2209638077216415,0.8395061728395062,0.9428571428571428,0.7857142857142857,0.9882005899705014,335,4,18,66
K01__r08,1,8,0.408297061920166,1969,423,423,0.19858156028368795,430,113,543,0.27577450482478416,0.9030411574659363,0.8307115665704735,0.05798710053724811,0.23499908378390064,0.26847214337351855,0.8485040033712599,0.8783783783783784,0.7738095238095238,0.9734513274336283,330,9,19,65,0.26847214337351855,0.8757396449704142,0.8783783783783784,0.7738095238095238,0.9734513274336283,330,9,19,65
K01__r09,1,9,0.4058718681335449,1969,423,423,0.19858156028368795,432,118,550,0.27932960893854747,0.9257269279393173,0.8693057751512929,0.047388521261658385,0.19782753412429224,0.1001759320307899,0.7772861356932155,0.782608695652174,0.8571428571428571,0.9410029498525073,319,20,12,72,0.6395722840894285,0.840764331210191,0.918918918918919,0.8095238095238095,0.9823008849557522,333,6,16,68
K01__r10,1,10,0.4025411605834961,1969,423,423,0.19858156028368795,404,108,512,0.2600304723209751,0.9336985531675798,0.8428974747110771,0.057667082535145915,0.22970186174636684,0.10252555349391802,0.7593763168984409,0.8375,0.7976190476190477,0.9616519174041298,326,13,17,67,0.5579238446269006,0.8129032258064516,0.9253731343283582,0.7380952380952381,0.9852507374631269,334,5,22,62
K01__r11,1,11,0.4004333019256592,1969,423,423,0.19858156028368795,394,107,501,0.25444388014220415,0.8899775249332772,0.793558310988795,0.07112858162229775,0.27004197736175384,0.2402392699939032,0.7890855457227139,0.8243243243243243,0.7261904761904762,0.9616519174041298,326,13,23,61,0.5012163475984851,0.8363636363636364,0.8787878787878788,0.6904761904761905,0.976401179941003,331,8,26,58
K01__r12,1,12,0.39845705032348633,1969,423,423,0.19858156028368795,400,104,504,0.2559674961909599,0.9158940862480686,0.7951793953702431,0.07021866840464416,0.26660092506849314,0.10233477099192827,0.7564264643910663,0.7282608695652174,0.7976190476190477,0.9262536873156342,314,25,17,67,0.5364484839008546,0.8280254777070064,0.810126582278481,0.7619047619047619,0.9557522123893806,324,15,20,64
