K,metric,mean,std,n,se,ci95_lo,ci95_hi
1,runtime_s,0.41849680423736574,0.012634951921696416,100,0.0012634951921696416,0.4159897556588148,0.4210038528159167
2,runtime_s,0.42219168663024903,0.0053301527581598555,100,0.0005330152758159856,0.42113406868452047,0.4232493045759776
3,runtime_s,0.42760960817337035,0.005784755927859496,100,0.0005784755927859496,0.42646178709608545,0.42875742925065524
4,runtime_s,0.42663747787475587,0.00658975121250519,100,0.000658975121250519,0.42532992826849686,0.4279450274810149
5,runtime_s,0.42851494312286376,0.010020770674016074,100,0.0010020770674016074,0.42652660481892946,0.43050328142679806
6,runtime_s,0.43127424001693726,0.008198847333895956,100,0.0008198847333895957,0.4296474108305987,0.4329010692032758
7,runtime_s,0.44386803150177,0.01985411007921696,100,0.001985411007921696,0.4399285453239855,0.4478075176795545
8,runtime_s,0.43685068607330324,0.010506437616218115,100,0.0010506437616218116,0.4347659809114147,0.43893539123519176
9,runtime_s,0.4382569432258606,0.006886452603127453,100,0.0006886452603127453,0.43689052162671843,0.4396233648250028
10,runtime_s,0.44138518095016477,0.007142428990247869,100,0.0007142428990247869,0.43996796808236954,0.44280239381796
11,runtime_s,0.4431798768043518,0.008563771017900072,100,0.0008563771017900072,0.4414806388420296,0.44487911476667397
12,runtime_s,0.44523648023605344,0.007495933068103952,100,0.0007495933068103952,0.4437491244898845,0.4467238359822224
13,runtime_s,0.44975528717041013,0.007865345773085649,100,0.0007865345773085649,0.44819463192910564,0.45131594241171463
14,runtime_s,0.4520241141319275,0.006945721241116179,100,0.000694572124111618,0.45064593234916583,0.45340229591468917
15,runtime_s,0.45572221994400025,0.007895245814574086,100,0.0007895245814574086,0.4541556318857783,0.4572888080022222
16,runtime_s,0.4794276690483093,0.008378590980993195,100,0.0008378590980993195,0.4777651748228197,0.4810901632737989
17,runtime_s,0.48634001731872556,0.008188874179568874,100,0.0008188874179568874,0.48471516702257467,0.48796486761487645
18,runtime_s,0.49266663551330564,0.007801368027649972,100,0.0007801368027649972,0.4911186748447029,0.4942145961819084
19,runtime_s,0.4953076100349426,0.009304221755990187,100,0.0009304221755990187,0.49346145058198715,0.4971537694878981
20,runtime_s,0.5050646805763245,0.019215209135414035,100,0.0019215209135414035,0.5012519662068478,0.5088773949458012
21,runtime_s,0.5100292205810547,0.022167575471210316,100,0.0022167575471210314,0.5056306926785,0.5144277484836094
22,runtime_s,0.5158434939384461,0.009363423572366704,100,0.0009363423572366703,0.5139855875607287,0.5177014003161635
23,runtime_s,0.5167461681365967,0.009208451653849101,100,0.0009208451653849101,0.5149190115496536,0.5185733247235398
24,runtime_s,0.5254386949539185,0.007844994299190621,100,0.0007844994299190621,0.5238820778865632,0.5269953120212738
25,runtime_s,0.5350208425521851,0.009903354878112827,100,0.0009903354878112826,0.5330558020895123,0.5369858830148578
26,runtime_s,0.5360528326034546,0.009253406992932608,100,0.0009253406992932609,0.5342167559019241,0.5378889093049851
27,runtime_s,0.5451286625862122,0.011592269790105856,100,0.0011592269790105857,0.542828504763723,0.5474288204087013
28,runtime_s,0.5476199769973755,0.008506825111773298,100,0.0008506825111773298,0.5459320383382794,0.5493079156564716
29,runtime_s,0.5536310100555419,0.010829911222743155,100,0.0010829911222743154,0.5514821207123076,0.5557798993987763
30,runtime_s,0.5572264790534973,0.008521054876210604,100,0.0008521054876210604,0.5555357169004198,0.5589172412065748
31,runtime_s,0.569172887802124,0.022857049735033316,100,0.0022857049735033317,0.5646375532473733,0.5737082223568748
32,runtime_s,0.5690011167526245,0.012175539022866097,100,0.0012175539022866097,0.5665852256602373,0.5714170078450118
33,runtime_s,0.5733743000030518,0.008242359118873669,100,0.0008242359118873669,0.5717388371345786,0.5750097628715249
34,runtime_s,0.5789106512069702,0.011389403420433255,100,0.0011389403420433255,0.5766507464734422,0.5811705559404982
35,runtime_s,0.5819817018508912,0.010951797141141755,100,0.0010951797141141755,0.5798086276971123,0.58415477600467
36,runtime_s,0.5840530109405517,0.008976469597253076,100,0.0008976469597253076,0.5822718846265248,0.5858341372545787
37,runtime_s,0.5940875625610351,0.010056519392243652,100,0.0010056519392243651,0.5920921309358304,0.5960829941862399
38,runtime_s,0.5950562882423401,0.008509484144016661,100,0.0008509484144016661,0.5933678219735588,0.5967447545111215
39,runtime_s,0.6051415085792542,0.01076760388611732,100,0.0010767603886117322,0.603004982363374,0.6072780347951344
40,runtime_s,0.6074153232574463,0.011313012833843639,100,0.0011313012833843639,0.6051705760736036,0.609660070441289
41,runtime_s,0.6128464460372924,0.020403352298726446,100,0.0020403352298726447,0.6087979782872601,0.6168949137873248
42,runtime_s,0.6167565727233887,0.010848270018835357,100,0.0010848270018835357,0.6146040405967127,0.6189091048500647
43,runtime_s,0.6232039499282837,0.011290733892256833,100,0.0011290733892256833,0.6209636233697969,0.6254442764867704
44,runtime_s,0.6230797410011292,0.011473607721992912,100,0.001147360772199291,0.6208031283073461,0.6253563536949123
45,runtime_s,0.6278667640686035,0.00997816291607597,100,0.0009978162916075971,0.6258868800682267,0.6298466480689804
46,runtime_s,0.6365549778938293,0.012547302371845412,100,0.0012547302371845412,0.6340653208875398,0.6390446349001189
47,runtime_s,0.6428953504562378,0.010427658892882373,100,0.0010427658892882374,0.640826276702176,0.6449644242102996
48,runtime_s,0.639010283946991,0.009533621704404851,100,0.0009533621704404851,0.6371186065674017,0.6409019613265803
49,runtime_s,0.6503062725067139,0.01075794282968373,100,0.0010757942829683728,0.6481716632540283,0.6524408817593995
50,runtime_s,0.6585917377471924,0.03027108156541829,100,0.003027108156541829,0.6525852984286966,0.6645981770656881
51,runtime_s,0.662078549861908,0.009582043667064276,100,0.0009582043667064275,0.660177264514405,0.663979835209411
52,runtime_s,0.6648060584068298,0.013411824035597542,100,0.0013411824035597542,0.6621448615465172,0.6674672552671425
53,runtime_s,0.6690183067321778,0.010025472143243192,100,0.0010025472143243193,0.6670290355547497,0.6710075779096059
54,runtime_s,0.673777232170105,0.011616478778740082,100,0.0011616478778740083,0.671472270759053,0.676082193581157
55,runtime_s,0.6785825085639954,0.010368426595671259,100,0.0010368426595671258,0.6765251877827544,0.6806398293452364
1,test_PR_AUC,0.8437647055904409,0.03368066910292085,100,0.003368066910292085,0.837081730132962,0.8504476810479198
2,test_PR_AUC,0.8484502339332396,0.03558706735547252,100,0.003558706735547252,0.841388987702842,0.8555114801636372
3,test_PR_AUC,0.8578075137128748,0.035095461059719335,100,0.0035095461059719336,0.8508438128370311,0.8647712145887184
4,test_PR_AUC,0.8626543827168003,0.03504016308226227,100,0.003504016308226227,0.8557016541593826,0.869607111274218
5,test_PR_AUC,0.8696325647094657,0.03296931618565843,100,0.003296931618565843,0.8630907371036861,0.8761743923152453
6,test_PR_AUC,0.8730693242169818,0.03158608221787325,100,0.003158608221787325,0.8668019602398912,0.8793366881940724
7,test_PR_AUC,0.8765798673933449,0.02944247586951753,100,0.002944247586951753,0.8707378414216479,0.882421893365042
8,test_PR_AUC,0.8771539931589223,0.02919752191973369,100,0.002919752191973369,0.8713605713651771,0.8829474149526675
9,test_PR_AUC,0.8791543981082396,0.02854597243471601,100,0.002854597243471601,0.8734902578677913,0.8848185383486878
10,test_PR_AUC,0.8806178824579187,0.02839433585489716,100,0.002839433585489716,0.8749838302046862,0.8862519347111513
11,test_PR_AUC,0.8831362495357699,0.027419522839640387,100,0.0027419522839640387,0.8776956213334873,0.8885768777380524
12,test_PR_AUC,0.8859610747870889,0.02716312167589313,100,0.0027163121675893133,0.8805713221383576,0.8913508274358201
13,test_PR_AUC,0.8879931953282756,0.02594196262964203,100,0.002594196262964203,0.8828457471275599,0.8931406435289913
14,test_PR_AUC,0.886756762718458,0.026528193658174423,100,0.002652819365817442,0.8814929935633063,0.8920205318736097
15,test_PR_AUC,0.8878623516359276,0.02630755426573475,100,0.002630755426573475,0.8826423621230426,0.8930823411488127
16,test_PR_AUC,0.8873641008613362,0.02669166648952721,100,0.002669166648952721,0.8820678951498752,0.8926603065727973
17,test_PR_AUC,0.8860672920040694,0.026893251751849992,100,0.002689325175184999,0.8807310874031392,0.8914034966049996
18,test_PR_AUC,0.8848953791456536,0.02715425937865559,100,0.002715425937865559,0.8795073849689633,0.890283373322344
19,test_PR_AUC,0.885372878434911,0.02726564918303441,100,0.002726564918303441,0.8799627821044125,0.8907829747654095
20,test_PR_AUC,0.8851504157205197,0.0271994774340215,100,0.00271994774340215,0.8797534493006319,0.8905473821404074
21,test_PR_AUC,0.8861204739847595,0.02763766676289855,100,0.0027637666762898552,0.8806365612954354,0.8916043866740835
22,test_PR_AUC,0.8856398865830536,0.02806028183974856,100,0.0028060281839748557,0.8800721178937815,0.8912076552723257
23,test_PR_AUC,0.8842880688023692,0.027849428491936012,100,0.002784942849193601,0.8787621379917999,0.8898139996129385
24,test_PR_AUC,0.8834318968654074,0.02822031857482109,100,0.002822031857482109,0.8778323734158745,0.8890314203149402
25,test_PR_AUC,0.8833001298773394,0.028659997675414505,100,0.0028659997675414507,0.8776133645553409,0.8889868951993379
26,test_PR_AUC,0.8814334993767834,0.028347450196439673,100,0.0028347450196439675,0.8758087502553806,0.8870582484981862
27,test_PR_AUC,0.8809828617081824,0.028580789704693715,100,0.0028580789704693715,0.8753118129660045,0.8866539104503603
28,test_PR_AUC,0.8809165787728123,0.028179917045100693,100,0.0028179917045100694,0.8753250718632934,0.8865080856823311
29,test_PR_AUC,0.8823126544661093,0.02789821390320907,100,0.002789821390320907,0.8767770435715362,0.8878482653606824
30,test_PR_AUC,0.8799857933827957,0.027983886634962873,100,0.002798388663496287,0.8744331831595591,0.8855384036060323
31,test_PR_AUC,0.8792205780280195,0.028059314446989385,100,0.0028059314446989385,0.8736530012904584,0.8847881547655805
32,test_PR_AUC,0.8794279277204438,0.027589237886292976,100,0.0027589237886292976,0.8739536243709105,0.884902231069977
33,test_PR_AUC,0.8789542997853824,0.02736135968990983,100,0.0027361359689909827,0.8735252124138652,0.8843833871568997
34,test_PR_AUC,0.8790479071268161,0.027341022270802033,100,0.002734102227080203,0.8736228551404734,0.8844729591131588
35,test_PR_AUC,0.8797118383805581,0.027119345116780567,100,0.0027119345116780567,0.8743307719508943,0.885092904810222
36,test_PR_AUC,0.8788265952500137,0.027257532891778208,100,0.0027257532891778206,0.8734181093677846,0.8842350811322428
37,test_PR_AUC,0.8790157244063072,0.027430929055790535,100,0.0027430929055790535,0.8735728329632808,0.8844586158493335
38,test_PR_AUC,0.878330148123185,0.027225481929991087,100,0.002722548192999109,0.8729280218471251,0.8837322743992448
39,test_PR_AUC,0.8779714440530344,0.02692217120875846,100,0.002692217120875846,0.8726295012044414,0.8833133869016274
40,test_PR_AUC,0.8780201365714807,0.02711748994123921,100,0.002711748994123921,0.8726394382488926,0.8834008348940688
41,test_PR_AUC,0.878126386701017,0.02735201322711362,100,0.002735201322711362,0.8726991538704915,0.8835536195315424
42,test_PR_AUC,0.8775498758078818,0.02746003134656913,100,0.002746003134656913,0.8721012098389861,0.8829985417767775
43,test_PR_AUC,0.8762511801125298,0.02787676524795932,100,0.002787676524795932,0.8707198250964902,0.8817825351285694
44,test_PR_AUC,0.8765899332353532,0.028025082490983757,100,0.0028025082490983756,0.8710291488605314,0.8821507176101749
45,test_PR_AUC,0.875785270860384,0.028039415062728154,100,0.0028039415062728152,0.8702216425923808,0.8813488991283873
46,test_PR_AUC,0.8758160291661836,0.028434671485399993,100,0.0028434671485399994,0.8701739734487715,0.8814580848835958
47,test_PR_AUC,0.8743402187078527,0.028507303396770843,100,0.0028507303396770843,0.8686837512434638,0.8799966861722417
48,test_PR_AUC,0.8740187278546101,0.0287433185624977,100,0.0028743318562497702,0.8683154298609544,0.8797220258482658
49,test_PR_AUC,0.8737951618385189,0.028700853560990388,100,0.002870085356099039,0.8681002898224472,0.8794900338545906
50,test_PR_AUC,0.8729058492993264,0.028862241026952555,100,0.0028862241026952557,0.8671789545086811,0.8786327440899716
51,test_PR_AUC,0.8723360022371778,0.029016829998031308,100,0.002901682999803131,0.8665784336408383,0.8780935708335172
52,test_PR_AUC,0.8716424502474817,0.029103596668190537,100,0.0029103596668190535,0.8658676652613659,0.8774172352335974
53,test_PR_AUC,0.8708625076817484,0.029219189835654864,100,0.0029219189835654863,0.8650647865033957,0.8766602288601012
54,test_PR_AUC,0.8709831081996054,0.029083738010665543,100,0.0029083738010665544,0.8652122636019793,0.8767539527972316
55,test_PR_AUC,0.8717156746510274,0.02858046527622163,100,0.0028580465276221633,0.8660446902824968,0.877386659019558
1,test_ROC_AUC,0.9186486866132885,0.020066175271159527,100,0.002006617527115953,0.9146671221006346,0.9226302511259423
2,test_ROC_AUC,0.9224301165894085,0.02111555182821865,100,0.002111555182821865,0.9182403330014433,0.9266199001773738
3,test_ROC_AUC,0.9258386009270966,0.021494865488011074,100,0.0021494865488011074,0.9215735532797584,0.9301036485744347
4,test_ROC_AUC,0.9272963197078242,0.021275080316675302,100,0.0021275080316675303,0.9230748822067533,0.9315177572088952
5,test_ROC_AUC,0.9275992063492063,0.021644271961478098,100,0.00216442719614781,0.9233045132161352,0.9318938994822775
6,test_ROC_AUC,0.9253473100154516,0.021802037902728715,100,0.0021802037902728714,0.9210213126968791,0.929673307334024
7,test_ROC_AUC,0.9275983284169125,0.021139810348851387,100,0.0021139810348851386,0.9234037314121611,0.9317929254216638
8,test_ROC_AUC,0.9287485953083298,0.02088185222335611,100,0.002088185222335611,0.9246051827921192,0.9328920078245403
9,test_ROC_AUC,0.9274218640258464,0.021174476466569045,100,0.0021174476466569044,0.923220388511253,0.9316233395404397
10,test_ROC_AUC,0.9275302008709089,0.021521225818125725,100,0.0021521225818125723,0.9232599227621845,0.9318004789796333
11,test_ROC_AUC,0.9291029287821323,0.02073942992392622,100,0.002073942992392622,0.924987775940003,0.9332180816242616
12,test_ROC_AUC,0.9316252282623964,0.01989747234546433,100,0.001989747234546433,0.9276771380702371,0.9355733184545556
13,test_ROC_AUC,0.9347009762607108,0.01933039073740202,100,0.001933039073740202,0.9308654073625166,0.9385365451589051
14,test_ROC_AUC,0.9341529709228824,0.019508603453876155,100,0.0019508603453876154,0.9302820407553866,0.9380239010903783
15,test_ROC_AUC,0.9369684997892962,0.018954632566037393,100,0.0018954632566037394,0.9332074894644339,0.9407295101141585
16,test_ROC_AUC,0.9373957016434893,0.018896475029340085,100,0.0018896475029340086,0.9336462310356447,0.9411451722513339
17,test_ROC_AUC,0.9377784801236129,0.018475204653490004,100,0.0018475204653490003,0.9341125986978646,0.9414443615493612
18,test_ROC_AUC,0.9371295125719904,0.018557719118272215,100,0.0018557719118272216,0.9334472584862649,0.9408117666577159
19,test_ROC_AUC,0.9389241817671021,0.018472302202150008,100,0.0018472302202150008,0.9352588762506688,0.9425894872835354
20,test_ROC_AUC,0.9386286697569883,0.018732273929244012,100,0.0018732273929244012,0.9349117802097717,0.9423455593042049
