source_id,y,c000,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018,c019
1792620565667968,0,1.7918480807374256e-17,-2.5316229603094418e-17,1.2638336364650699e-17,-4.773715625848058e-18,1.2202602773727525e-18,-8.638791922741437e-20,-2.3861227444081796e-19,7.68189875036455e-20,-1.4160596339999398e-19,-5.966594043323896e-20,-3.2954373989756546e-20,-1.418289690499201e-19,-1.5277640187801442e-19,-3.273986268303021e-20,-2.2421724202721075e-19,-1.0143636927895914e-19,-9.262563346705396e-20,-9.0689402438155e-20,-9.380505517929535e-21,-2.913182608017894e-21
6052403489630720,0,1.0695714855690348e-16,-1.5373647483289693e-16,7.964882487041801e-17,-3.198368743110296e-17,1.0568677685750927e-17,-2.0462622370491503e-18,2.6412995885357274e-19,5.431733234440271e-19,4.8619884091483807e-20,-1.4955027458151359e-19,1.0565340529695695e-18,-1.1663411453778815e-18,1.0377905210381679e-18,-4.1031177353951956e-19,-4.55499958826194e-21,3.4582819693445223e-19,-5.96851217207151e-19,8.88951924644809e-19,-1.0424467320249286e-18,1.2816790863599e-18
10844075163628928,0,1.994304783857373e-17,-2.3923000109701677e-17,8.032244548715779e-18,-1.5767815120400735e-18,-1.0283868304299548e-18,5.539440387738228e-19,-7.175683071752245e-19,6.020315653366954e-20,-1.6556908062529212e-19,-1.6556001950724178e-19,-2.287711939058672e-21,9.826899173757622e-20,-3.6919482111910336e-19,6.072987566584224e-19,-5.240681274105627e-19,5.006533402739693e-19,-3.781837809722989e-19,4.415194792645072e-19,-2.2439878805638795e-19,2.634743308370159e-19
11015044926034816,0,1.652914564966218e-17,-2.0717831313221843e-17,9.57164876413434e-18,-2.5930196094677955e-18,1.083421899444457e-18,1.2440018865254877e-19,6.504751581042439e-19,-1.0751181107650936e-19,8.955556027803862e-19,-3.46262596571358e-19,9.130455542601983e-19,-3.5329237455754677e-19,5.723824650853626e-19,-1.578974652917257e-19,2.3879011325375533e-19,-2.2242706024524193e-19,1.6031743363828588e-19,-2.9255325131559084e-19,5.038509488109377e-20,-2.7660209086428727e-19
11963171843658240,0,1.517373411794898e-17,-1.8276302894821267e-17,7.578469830449823e-18,-2.0694894442081393e-18,5.387752863689566e-19,5.475098680156483e-20,3.1972237675398953e-20,8.46296273765213e-20,1.2080994772805575e-19,-1.738145181092637e-19,2.576865207160042e-19,-2.498741923487584e-19,1.5282821120576955e-20,-2.3236647981405584e-20,-9.556671212976046e-20,-9.670268141527411e-20,-3.7639450701210185e-20,-1.267221132589016e-19,-4.652655975629072e-21,-1.2887139514410226e-19
16615171179593088,0,2.973540580643827e-17,-2.9612923710256595e-17,9.389998343562794e-18,7.753642676042992e-20,-5.322308120558472e-19,7.5747972807747155e-19,7.445055803002873e-19,-5.632376394584974e-19,1.3380255849356741e-18,-1.0048890091115254e-18,1.08169023610869e-18,-6.028153492605578e-19,-2.79705652633303e-20,1.5785002919944898e-19,-4.723867922544318e-19,-1.7384211180416433e-19,-2.4706080690740363e-19,-4.391847680316404e-19,-1.736359910724967e-19,-3.917138679052748e-19
25501939551450880,0,7.88619877687745e-16,-1.0509696070815101e-15,4.666028431067322e-16,-1.385928670167369e-16,1.351539326527143e-17,1.3356053845624218e-17,-5.032265686419973e-18,-7.908043938643425e-18,1.968921331412321e-17,-2.29711730506295e-17,2.4548171367892026e-17,-1.710580709619118e-17,9.009996547316171e-18,2.7963739638020854e-18,-6.874313529172127e-18,1.1302547255051944e-17,-8.860614695787045e-18,8.74890115704169e-18,-5.2434700502596925e-18,3.3495731847866765e-18
30269452033850624,0,4.105118592330988e-16,-5.554532604866911e-16,2.661596726773647e-16,-1.0593648782088864e-16,3.6132297492053046e-17,-1.0913910365101558e-17,4.246840898312376e-19,2.5691473439465558e-18,-1.7618273432110445e-18,-1.943941153070267e-18,6.724386003153659e-18,-9.370680581101338e-18,8.969804239276277e-18,-5.673498337539902e-18,3.867182367874756e-18,-8.503203876994633e-19,5.736285053859085e-19,-6.188617053013766e-21,2.0321175160618376e-20,6.751590802867364e-19
31265029748469120,0,7.430360065935771e-17,-1.0146329321487277e-16,4.848916804631959e-17,-1.7658034874651804e-17,4.1204503270652e-18,5.23128249841337e-19,-1.827180996863246e-18,1.849809425714358e-18,-1.4127217483331169e-18,8.256918994135504e-19,-8.655245746355763e-20,-1.387278113663139e-19,2.6194793831795567e-19,1.4872482722588552e-19,8.647994407341353e-21,4.418074989772635e-19,-4.448823221945719e-19,9.401736897115026e-19,-8.133059841385383e-19,1.051553488547992e-18
35928500943041152,1,2.3680270290073853e-17,-2.6632141381740092e-17,1.0322721578380106e-17,-2.5963880166473713e-18,-2.7986104324929677e-20,1.5328299448447257e-19,2.7515664763893063e-19,-7.721587669827165e-19,1.0471798157432578e-18,-1.0765840471666861e-18,9.642869657375317e-19,-6.276385152017209e-19,1.6666916776582492e-19,2.0374749564678977e-20,-1.20126557393605e-19,9.697042916842573e-20,-1.8092105117796605e-19,2.0601251735474972e-19,-1.5320945840894616e-19,3.8523346691854294e-20
36876009385300352,0,1.0015264792271009e-17,-1.2521910983555283e-17,4.840324181901398e-18,-1.546303458231235e-18,-6.529845752387237e-20,1.4332947869730507e-19,-5.340845281553691e-19,3.0480914244513004e-19,-4.808360214093238e-19,2.2817192023385493e-19,-2.69967397150596e-19,1.2667308059039808e-19,-1.9106885705386998e-19,2.7504153416581e-19,-1.6165379280669276e-19,2.765905996220126e-19,-1.8509071585996017e-20,2.1529756112166987e-19,1.4513275606042925e-20,1.791421354188692e-19
44951132016854016,0,1.1613354802331409e-17,-1.151165871488225e-17,2.1848175937343352e-18,7.639789489973131e-19,-1.238254957644469e-18,3.5037185770095586e-19,1.7921330742452145e-19,-7.026071982166553e-19,1.047475357062379e-18,-9.504963126852431e-19,1.0407165586843573e-18,-5.805307044532115e-19,4.1578981230788796e-19,9.412872726872443e-20,5.160248618195351e-21,3.3350998213723784e-19,-4.586951348741095e-20,1.996479214068163e-19,9.274510483524005e-20,2.6826778967245928e-21
