source_id,y,c000,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018,c019,c020,c021,c022,c023,c024,c025,c026,c027,c028,c029
1792620565667968,0,1.7918379819981438e-17,-2.531412503452875e-17,1.263794314951147e-17,-4.7706977194998135e-18,1.219281799822241e-18,-8.148614389464599e-20,-2.406066482055126e-19,8.469986601208005e-20,-1.4511532959579604e-19,-4.7493430353245803e-20,-3.8592793262976584e-20,-1.236900559058383e-19,-1.6134997561065225e-19,-6.340032617394199e-21,-2.3686987303953413e-19,-6.333400290991768e-20,-1.1116442376657332e-19,-3.4985088892902e-20,-3.722183454628807e-20,8.327528378122615e-20,-4.757928060121603e-20,1.7353580417313745e-19,-7.984637604728983e-20,1.4240604200300385e-19,-3.999397367267366e-20,9.606403685655919e-20,-4.68733123338785e-20,-4.764954383506075e-20,6.730165867962646e-20,-8.446464938095345e-20
6052403489630720,0,1.0694524466432219e-16,-1.5381127856707316e-16,7.96197752086027e-17,-3.2049887930589476e-17,1.0523555045076227e-17,-2.0947759564359103e-18,1.909917904309139e-19,5.224731655646836e-19,-6.659324962090683e-20,-1.3050303437520449e-19,8.815216636224292e-19,-1.09262189668022e-18,7.788366431907622e-19,-2.6191521117401783e-19,-3.837326882249001e-19,5.982705093276241e-19,-1.1593067443164957e-18,1.2949326229626473e-18,-1.9309582920424983e-18,1.949040390568845e-18,-1.9052368104308613e-18,1.4268254531089224e-18,-9.865910576629655e-19,8.578711131146707e-19,-5.113391617217264e-19,6.063886947319692e-19,1.2584274799599593e-19,1.8772493986547714e-19,5.928005094687683e-21,6.185142983215734e-19
10844075163628928,0,1.99450517490626e-17,-2.391227003962867e-17,8.037280598159106e-18,-1.5675069161594686e-18,-1.0202008474628279e-18,5.602272289235086e-19,-7.039028500108167e-19,6.178488791841857e-20,-1.437025934724149e-19,-1.7068935405777942e-19,3.11689680771121e-20,8.392886355072404e-20,-3.196197439986816e-19,5.804310223552385e-19,-4.517790722438194e-19,4.564819214653288e-19,-2.7232748112915143e-19,3.7229972179847153e-19,-6.292665813703827e-20,1.5372021599137741e-19,2.975267459129349e-19,-2.0618210695768868e-19,4.250204963500017e-19,-2.9305797187814334e-19,1.214394706054675e-19,-7.28581053399301e-20,-7.622567132778823e-20,-2.816790424355551e-20,-6.50564456402595e-20,-2.875273646861981e-20
11015044926034816,0,1.65343024133481e-17,-2.0743682311286906e-17,9.582242340473702e-18,-2.6202493507555215e-18,1.0948790475075386e-18,9.430550769969964e-20,6.63455149824167e-19,-1.4219529388929967e-19,9.108650308391713e-19,-3.8768298010157183e-19,9.317540464924494e-19,-4.0432972912755637e-19,5.960390725122163e-19,-2.227425657099521e-19,2.698950314034467e-19,-3.0784294754608045e-19,2.0358089680315712e-19,-4.1124197522450086e-19,1.174306973718129e-19,-4.598614417808868e-19,1.5103581923470652e-19,-4.127818488199901e-19,8.692782997856627e-20,-1.6383496410367395e-19,-1.1235292720861785e-19,1.3062014880859719e-19,-1.47748746568749e-19,2.287721882979249e-19,5.070402972331398e-20,1.4716187449034472e-19
11963171843658240,0,1.518274915185798e-17,-1.8285856075476855e-17,7.596902485927114e-18,-2.079145377155161e-18,5.584488945170304e-19,4.4874596399802297e-20,5.383207360348435e-20,7.43811558858243e-20,1.4600752919237423e-19,-1.8464969667982981e-19,2.8773680743261105e-19,-2.6162512667090555e-19,5.2350497485506215e-20,-3.644973677438275e-20,-4.8063136616366646e-20,-1.123783143014945e-19,2.6519188417576932e-20,-1.4697319132166548e-19,9.065040631537082e-20,-1.5945432402248464e-19,1.9404998647070334e-19,-7.273145815411805e-20,1.6819583799895224e-19,-4.873431143094042e-20,-6.884300252268329e-21,1.5209288391505834e-19,-2.1051575749936898e-19,9.930554364387861e-20,-1.0546728770992165e-19,-1.7004018070131158e-20
16615171179593088,0,2.9741330746876296e-17,-2.9657778776830765e-17,9.402727159836161e-18,3.1025118578481155e-20,-5.168043251495768e-19,7.075107957113128e-19,7.646433218584546e-19,-6.187892079312445e-19,1.365259469154105e-18,-1.0687336775507768e-18,1.1190476069869637e-18,-6.786925651403732e-19,2.3658370340541907e-20,6.431449861913612e-20,-4.0024298869905543e-19,-2.944699908909533e-19,-1.4367408100053493e-19,-6.054263253382417e-19,-1.5883358503188747e-20,-6.516072212984726e-19,3.040550544178479e-19,-6.21492121851016e-19,4.366849512817006e-19,-1.8483099789315244e-19,-1.3953204392986626e-19,6.1274344855631815e-19,-2.2532450203497383e-19,3.763201197636148e-19,7.441888264024095e-20,-5.4634309012277524e-21
25501939551450880,0,7.888324394147612e-16,-1.051486245776418e-15,4.670365512672456e-16,-1.3912567045689778e-16,1.3975565271436768e-17,1.2789490543190543e-17,-4.525468100399875e-18,-8.529142374313325e-18,2.0267186274697074e-17,-2.3673305239645673e-17,2.5229553702612786e-17,-1.7925451304383e-17,9.840611882814854e-18,1.80465527210026e-18,-5.8229037502047065e-18,1.0048278744156339e-17,-7.461313489056459e-18,7.057914238215505e-18,-3.2166541501595174e-18,7.852355766271656e-19,3.735147057924667e-18,-5.721091594028772e-18,6.1103388025677e-18,-3.221005548413123e-18,-1.8983353156395373e-18,4.3655683182473e-18,-4.591178693011591e-18,4.051292482089319e-18,-2.7787385254761217e-18,2.6614208073087694e-18
30269452033850624,0,4.104592352904636e-16,-5.553523437126925e-16,2.6605745220977013e-16,-1.058372798329342e-16,3.603928007589799e-17,-1.0818095526889055e-17,3.4741604112657777e-19,2.659965297085904e-18,-1.816155612411018e-18,-1.8594995188423655e-18,6.7011352474705474e-18,-9.2934082208317e-18,8.987011529730158e-18,-5.602657761944165e-18,3.935513534555518e-18,-7.809325026543805e-19,7.034693263324607e-19,8.030754835137452e-20,2.0907357646885117e-19,8.562727007009707e-19,4.940302239176162e-20,9.566668041399655e-19,1.196298436785842e-18,-2.111070014873756e-18,2.668443723907222e-18,-2.092149355242989e-18,1.5413563302481613e-18,-3.408638965380874e-19,-1.316471036410107e-18,9.941320022452683e-19
31265029748469120,0,7.430834728503473e-17,-1.0148216640941856e-16,4.849405150820403e-17,-1.7669505486080808e-17,4.111214426843227e-18,5.269123095591596e-19,-1.8609712979097393e-18,1.8776815961914403e-18,-1.4832546810633862e-18,8.88200269633522e-19,-2.090263129540817e-19,-2.8162051165196585e-20,6.712425124836443e-20,3.2573002675692187e-19,-2.8864070740878376e-19,7.129658975456014e-19,-8.957327056275457e-19,1.3537662812005107e-18,-1.5296864447251757e-18,1.7173210654207794e-18,-1.4976845469340875e-18,1.4534004849541731e-18,-9.598577824378243e-19,7.09600292152452e-19,-5.773642945170394e-19,3.0408394743193273e-19,-2.315933401057602e-19,-9.321511935017506e-21,-7.426125935827884e-20,1.0509955853577074e-19
35928500943041152,1,2.36833415624197e-17,-2.6626886117534366e-17,1.0330999133018608e-17,-2.5944354091973268e-18,-1.3166971717340317e-20,1.484270655449735e-19,3.0135946347672845e-19,-7.877731148764703e-19,1.090432352343234e-18,-1.107683378234839e-18,1.0316656545287303e-18,-6.802526840050638e-19,2.6767720778958625e-19,-6.203751218267339e-20,2.848071751428478e-20,-2.776424915217892e-20,3.8681462054557997e-20,1.7103061706711135e-20,1.867751558528493e-19,-2.6402842283522453e-19,6.622395085163547e-19,-6.510873525815024e-19,7.304753517617358e-19,-4.3150698156754044e-19,1.8931845533365304e-19,4.2851371705408674e-20,-7.408876397706809e-20,4.855221592468706e-20,-5.993848542748014e-20,-1.0330910201710802e-19
