source_id,y,c000,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018,c019,c020,c021,c022,c023,c024,c025,c026,c027,c028,c029,c030,c031,c032,c033,c034,c035,c036,c037,c038,c039
1792620565667968,0,1.7965081394460856e-17,-2.5430127227495066e-17,1.2730723669376698e-17,-4.8851807250421656e-18,1.3101846878902325e-18,-1.9290873852963923e-19,-1.5286605177637248e-19,-2.2076069508386662e-20,-6.187262051724249e-20,-1.4796631142716526e-19,3.874159633719141e-20,-2.1610437793352012e-19,-9.143757675250648e-20,-8.880568447117597e-20,-1.7603230154733117e-19,-1.3377972786894945e-19,-6.124223566072735e-20,-9.109299784140003e-20,-3.1352788309790864e-22,4.416878007936386e-20,-2.6150092541566467e-20,1.5460164681721683e-19,-7.690947606697765e-20,1.4760980863600689e-19,-5.94377799148105e-20,1.3073503456532854e-19,-9.411350370900667e-20,2.4504170396138564e-20,-1.6124010080399937e-20,3.9959474788387404e-20,-1.327812320467309e-19,2.2584524101374964e-19,-2.944267413049373e-19,3.084097712115633e-19,-2.4343748591312273e-19,2.149834283046889e-19,-2.2203627953594244e-19,2.9405518140086944e-19,-2.0616517826803298e-19,2.331123359135851e-19
6052403489630720,0,1.0691084623720394e-16,-1.537908647551769e-16,7.955081041335358e-17,-3.202934388906465e-17,1.0454061280686347e-17,-2.0739582060136824e-18,1.2052986615685034e-19,5.437364721650938e-19,-1.3860247618820956e-19,-1.0857463917356096e-19,8.071673923386921e-19,-1.0697342319581163e-18,7.010130463801743e-19,-2.3765910171905917e-19,-4.66634808249374e-19,6.244833615066242e-19,-1.2496294191565918e-18,1.3239778848028733e-18,-2.0321921931183114e-18,1.982276494058326e-18,-2.0227768447205e-18,1.466476065324721e-18,-1.1292537482718543e-18,9.078555760535084e-19,-6.948461222645916e-19,6.743981093718812e-19,-1.3087049254579147e-19,2.9161590388079074e-19,-4.111661270580421e-19,8.144780134053403e-19,-1.077731489602958e-18,6.900555116438026e-19,-2.494247393631907e-19,-6.533198465404504e-19,1.4345924322784401e-18,-1.3678985919180103e-18,1.2722565777509447e-18,-6.828570685823724e-20,-2.68246026482197e-19,8.401655814659524e-19
10844075163628928,0,1.9959731007098823e-17,-2.3978894440030293e-17,8.06645203485872e-18,-1.6333494730631537e-18,-9.915928694050067e-19,4.95955347201142e-19,-6.762414913524907e-19,-1.1335492557800511e-22,-1.1738275366136406e-19,-2.293893437130532e-19,5.573489806273033e-20,2.9281648905860976e-20,-2.972448132158409e-19,5.307306392221696e-19,-4.320667603941604e-19,4.12674074678762e-19,-2.5579860995246053e-19,3.3539837913506845e-19,-5.017524787463525e-20,1.248325098824817e-19,3.0579023991800248e-19,-2.2581507682172274e-19,4.278820712284864e-19,-3.0198743412238373e-19,1.1757869616351384e-19,-6.927651137072827e-20,-8.911976459640426e-20,-9.531375564906857e-21,-9.270262438815257e-20,9.581108243544162e-21,-7.637805299788067e-20,7.744759855440413e-20,6.576816138375545e-21,5.724728799617915e-20,9.279250828110015e-20,-4.537865174339166e-21,-7.817487421384164e-21,3.096816844665213e-19,-3.2182168708866017e-19,2.874583495829374e-19
11015044926034816,0,1.6528492090892073e-17,-2.0722743208338887e-17,9.570665464790499e-18,-2.5994711347092784e-18,1.0834328964878953e-18,1.1476328008119987e-19,6.522248319842782e-19,-1.2221447933557347e-19,8.999322322316663e-19,-3.6833003115510276e-19,9.211948682660192e-19,-3.8574585138341477e-19,5.859208759521077e-19,-2.0505251562230203e-19,2.6027162560116296e-19,-2.91143611322955e-19,1.9448487985150135e-19,-3.95582305836064e-19,1.0886064901602067e-19,-4.452053111807491e-19,1.4293351228152908e-19,-3.9893411698243164e-19,7.913434008312396e-20,-1.5027925954749916e-19,-1.2019085105043076e-19,1.451287647908672e-19,-1.564074622373825e-19,2.474563152139981e-19,3.935054272324536e-20,1.8062196301413308e-19,-1.9415697642775303e-20,1.2248058085820697e-19,-8.030419899717467e-20,-7.282409294656852e-20,7.510814825616221e-20,-4.062789523327843e-19,1.608783588609511e-19,-7.406671149858663e-20,3.5123617828191156e-21,1.2929668402543394e-19
11963171843658240,0,1.5200887537483188e-17,-1.8319205363268736e-17,7.632844740913796e-18,-2.111841985784357e-18,5.933788518512303e-19,1.350175621831109e-20,8.704510497730818e-20,4.504126047405263e-20,1.7675213150800094e-19,-2.1118690800938917e-19,3.1519088429109506e-19,-2.8450192163201043e-19,7.55912957406492e-20,-5.468463723440737e-20,-3.009981430874406e-20,-1.2481632934607988e-19,3.7940116155615625e-20,-1.5221174921359144e-19,9.397074947032033e-20,-1.5572494327556387e-19,1.8726192349174887e-19,-5.769503227854238e-20,1.4855179019864558e-19,-1.9090978302857442e-20,-4.3480069640726e-20,2.014490753199312e-19,-2.7103348603758555e-19,1.7750198204769503e-19,-2.0498395687406584e-19,1.1127903181456623e-19,-2.0265884171118952e-19,2.824515465921353e-19,-2.168827191946503e-19,1.7582903559480955e-19,-2.2205506290031496e-20,-3.07150172549122e-20,7.114349847381994e-20,-7.941229765728438e-20,-3.1312483447872094e-20,-3.449538417259493e-20
16615171179593088,0,2.977415765828526e-17,-2.973626610491852e-17,9.467894503501283e-18,-4.637300522438924e-20,-4.53105915627204e-19,6.323083188805394e-19,8.258613445327785e-19,-6.906541565355633e-19,1.4229355240922164e-18,-1.1360634183959506e-18,1.1720457520013577e-18,-7.402093513601314e-19,7.07387853046281e-20,9.999481213479006e-21,-3.6046229236644843e-19,-3.4004076207338814e-19,-1.127702421174633e-19,-6.404936158842721e-19,4.293085037581612e-21,-6.740940387066062e-19,3.112566440500392e-19,-6.288277973557161e-19,4.2805812811793603e-19,-1.736124908436619e-19,-1.6782933699131e-19,6.474960577881372e-19,-2.7887800033912763e-19,4.431574085185144e-19,-1.318968130714248e-20,1.1312402004383472e-19,-1.2854794975556767e-19,2.707340812173195e-19,-4.274148364803554e-19,1.2706117999389427e-19,-1.3705424388245684e-19,-1.2467138432109438e-19,8.81529517916925e-20,1.309695364414488e-19,-1.720049606388573e-19,3.9824721774463216e-19
25501939551450880,0,7.884957174757374e-16,-1.0511355234548885e-15,4.663656984781969e-16,-1.3877807884532562e-16,1.3312458871692426e-17,1.313081547951618e-17,-5.175759466004699e-18,-8.197226144269076e-18,1.9634612793209617e-17,-2.3353936637861722e-17,2.4619318874009898e-17,-1.7621738731238356e-17,9.25687352723895e-18,2.0896935688779484e-18,-6.376743459054528e-18,1.0311832574488368e-17,-7.983101597370205e-18,7.297610283115221e-18,-3.706364006387376e-18,9.995922709908547e-19,3.273744753849302e-18,-5.531707406310154e-18,5.666180788894452e-18,-3.052182152371288e-18,-2.3519165754497552e-18,4.528018738204854e-18,-5.120339207585368e-18,4.249490242136878e-18,-3.58411606581605e-18,3.0460188753082813e-18,-2.2947335889387496e-18,1.6850900175439072e-18,-6.951182503637794e-19,-1.3409222656286436e-18,5.925684107991038e-18,-7.35233079474417e-18,6.946710592565968e-18,-1.3862053180022414e-18,-1.104548551123845e-18,3.349429292636599e-18
30269452033850624,0,4.106412837133631e-16,-5.558326523480578e-16,2.664182837275405e-16,-1.0631056533480968e-16,3.639023440369995e-17,-1.1277206104065218e-17,6.816319972478704e-19,2.2224461933710787e-18,-1.5059750131665355e-18,-2.2675931490615255e-18,6.979325938479135e-18,-9.663642494539377e-18,9.224317416318964e-18,-5.925765870018026e-18,4.1217126800459185e-18,-1.0464955115968405e-18,8.264452154188837e-19,-1.1566960943582115e-19,2.5391843878533407e-19,7.442886472867309e-19,-3.1189560773134017e-21,9.467307450879709e-19,1.0199429532709411e-18,-1.994826488321557e-18,2.328326836354378e-18,-1.814281858646901e-18,9.67945828239914e-19,1.590422238013081e-19,-2.280413447541803e-18,1.8512272584082315e-18,-2.0943943734624647e-18,1.8575177706875842e-18,-1.5679178498786799e-18,1.3372726426969576e-18,-1.728925078526567e-20,-6.80928614350211e-19,1.4585301078247652e-18,1.1318608721146869e-18,-1.6642866817115585e-18,1.3032053667683139e-18
31265029748469120,0,7.426650262208039e-17,-1.0135821117333429e-16,4.8410572025713924e-17,-1.754647690206112e-17,4.028354175122308e-18,6.481029410462224e-19,-1.9428350395328945e-18,1.9961558406643168e-18,-1.5638024138054453e-18,1.0031347894171437e-18,-2.8802930684934925e-19,8.249494118003967e-20,-1.0241486025892117e-20,4.315012474409562e-19,-3.64479271736351e-19,8.134394026847072e-19,-9.704594028878363e-19,1.448832769905866e-18,-1.6041904989315294e-18,1.8073537284211844e-18,-1.5736274858218136e-18,1.5395829302626446e-18,-1.040252276344351e-18,7.945856971417751e-19,-6.678445147237892e-19,3.935062068472979e-19,-3.437522503361381e-19,9.735017129110282e-20,-2.375828614630107e-19,2.6521480067389568e-19,-3.5775772748412852e-19,4.199068091495404e-19,-3.484799212194953e-19,1.4864207133393356e-19,2.2406433884897803e-19,-6.578618587810051e-19,9.847974258325083e-19,-9.36602523122557e-19,5.177300067986148e-19,-4.996483712921295e-19
35928500943041152,1,2.364740852382781e-17,-2.657161214163008e-17,1.0259589778228257e-17,-2.5399557449115325e-18,-8.319941800860432e-20,2.0130292032193585e-19,2.336445307778022e-19,-7.37341705919368e-19,1.026010256460854e-18,-1.0605858362563292e-18,9.715618974947077e-19,-6.374478588409236e-19,2.129848353496414e-19,-2.4579337184622745e-20,-1.96193675805039e-20,3.1642692017400058e-21,-1.5329005213497434e-21,4.014171702893062e-20,1.558831495580947e-19,-2.5049005128340126e-19,6.422870107070984e-19,-6.490292230801768e-19,7.2329802310046e-19,-4.434912148109853e-19,1.9696933780204326e-19,1.325649292913202e-20,-4.960492821417993e-20,-4.228571124129078e-21,-1.881368596474333e-20,-1.9007569455927562e-19,2.380194799272645e-20,-1.613920606668015e-19,2.423983136199408e-19,-1.5127340173528478e-19,4.367235290151463e-19,-2.897035867884498e-19,3.3036319746057803e-19,-1.5001259281612558e-19,-1.3907688610709346e-19,1.3643131950919518e-19
