source_id,y,c000,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018,c019,c020,c021,c022,c023,c024,c025,c026,c027,c028,c029,c030,c031,c032,c033,c034,c035,c036,c037,c038,c039,c040,c041,c042,c043,c044,c045,c046,c047,c048,c049
1792620565667968,0,1.7883234125850646e-17,-2.5256296639931127e-17,1.256793176917493e-17,-4.713269527092157e-18,1.1500968861392575e-18,-2.4830750251438686e-20,-3.0846003054022562e-19,1.4026659091318199e-19,-2.1120360138646737e-19,6.757836393763111e-21,-1.0258802604261426e-19,-7.085418011383379e-20,-2.2307053356644034e-19,4.5153670417879785e-20,-2.963310241008901e-19,-1.287649634340506e-20,-1.6864444325411655e-19,1.505592245474402e-20,-9.335302957646803e-20,1.3395014636543714e-19,-1.0348126201190756e-19,2.265071360834206e-19,-1.373360179356207e-19,2.002576437871606e-19,-1.0194699405410314e-19,1.6289262833830242e-19,-1.1791878621286245e-19,3.51112570961871e-20,-2.0722263937432087e-20,2.8152232442684316e-20,-1.180424333360887e-19,1.9098609723160574e-19,-2.607640819082482e-19,2.501432552535639e-19,-1.9221288071620553e-19,1.3340182156266445e-19,-1.5681104943414466e-19,1.9036887723710891e-19,-1.3827954819551318e-19,1.1343513358304352e-19,-9.382470899633974e-21,-7.431089074638021e-20,2.6223176316645814e-19,-4.0948359036970303e-19,4.465505831666305e-19,-4.81752940586291e-19,3.842772140134972e-19,-2.8211449174111837e-19,2.551135001894104e-19,-5.0147188444375756e-20
6052403489630720,0,1.0703351838894595e-16,-1.5417607706232002e-16,7.979476640778045e-17,-3.2410192373149264e-17,1.0693856049709842e-17,-2.446107821849298e-18,3.534019178029383e-19,1.8456177588049623e-19,8.460544115110026e-20,-4.505904070197491e-19,1.017999930774909e-18,-1.3905362961096738e-18,8.968010341640775e-19,-5.333644483784197e-19,-2.8850466342493673e-19,3.5753705813412317e-19,-1.0916990978002164e-18,1.0891759907993715e-18,-1.896916168654e-18,1.7826628911683818e-18,-1.912506904977266e-18,1.3046793086990508e-18,-1.0462281397568157e-18,7.86004077420687e-19,-6.411890560767241e-19,5.940211548632148e-19,-1.086133865748802e-19,2.5352370586188117e-19,-4.2231346648272905e-19,8.186055788099929e-19,-1.1244220369999196e-18,7.352347065654205e-19,-3.3431631351605853e-19,-5.697491118299934e-19,1.3073281349815548e-18,-1.2508850156625535e-18,1.0938310298730547e-18,7.292393097669343e-20,-5.252228451034904e-19,9.85350178977113e-19,-5.436798914096946e-19,7.767504874375395e-20,3.3615043710542377e-19,-2.0805994636618854e-19,-1.8753136432578023e-20,9.893412572023283e-19,-7.498957180846866e-19,1.0701585102984793e-18,-7.284945472969506e-19,1.0884119079875223e-18
10844075163628928,0,1.9867563538030247e-17,-2.3753974692103946e-17,7.883123856044619e-18,-1.410909379192789e-18,-1.1719020743651118e-18,7.134367398766206e-19,-8.515236984650294e-19,2.0993206387075582e-19,-2.856378352319467e-19,-2.925315886790992e-20,-1.0350584616746377e-19,2.1704306426002904e-19,-4.455036711987512e-19,7.036648872868552e-19,-5.674046138888219e-19,5.6834897049708955e-19,-3.76315686575529e-19,4.714102510409806e-19,-1.5402408736999245e-19,2.38814693528055e-19,2.2039015489844355e-19,-1.3618549829239966e-19,3.626287709695717e-19,-2.3898805796895893e-19,7.407243957769326e-20,-3.5149101819715406e-20,-1.093899739926622e-19,-6.512753687911986e-21,-8.836933725215477e-20,-2.0812200118489727e-20,-4.620360663898292e-20,1.1124057037529684e-20,6.368067942976136e-20,-4.804637860144304e-20,1.7766325607278677e-19,-1.5302251510618101e-19,1.0485045192290096e-19,1.1101899818506385e-19,-1.8579641656334284e-19,2.4071039481855857e-20,9.731255317032083e-20,-3.780403898743125e-19,4.946032030157881e-19,-5.517835533059459e-19,5.610430284888959e-19,-4.1336203421752496e-19,2.9993833017837955e-19,-7.231659032464462e-20,-2.347104962681416e-20,-7.696820578545175e-20
11015044926034816,0,1.6480919346049686e-17,-2.0674215338876795e-17,9.476040700007018e-18,-2.5514525664251277e-18,9.903719972240699e-19,1.6175862195994022e-19,5.617759328357663e-19,-7.676548520498909e-20,8.13151544144176e-19,-3.249641872008072e-19,8.391494439592923e-19,-3.450180407822036e-19,5.096910474075389e-19,-1.6754008249455186e-19,1.909532415548836e-19,-2.5745089148365973e-19,1.3319169042486963e-19,-3.6634564518221133e-19,5.672753144478682e-20,-4.210991788479479e-19,1.0112179317589211e-19,-3.8067936646236477e-19,4.8841412470379786e-20,-1.386553515507038e-19,-1.3771375662777769e-19,1.4926441236232398e-19,-1.5982238893122773e-19,2.4313615701346656e-19,5.1529480194005e-20,1.667126100817066e-19,1.010728584553123e-20,9.758199440853922e-20,-3.119085210172655e-20,-1.1057165916626193e-19,1.4705709603695042e-19,-4.595963062649246e-19,2.61173581249564e-19,-1.4748317926587773e-19,1.4419297982641038e-19,2.665480987267669e-20,2.3207687945851056e-19,-1.599827583982543e-19,2.4898760155548863e-19,-2.8820897322124665e-19,2.0833018623903524e-19,-1.6810776884643961e-19,5.050521187780639e-20,1.3466359812877944e-19,-1.1468967540852326e-19,2.235626137876149e-19
11963171843658240,0,1.5204194934543643e-17,-1.83202632142314e-17,7.639423390556621e-18,-2.1128925134711095e-18,5.998481231441776e-19,1.2468768314098648e-20,9.332891293019861e-20,4.404187999073521e-20,1.8276958143542347e-19,-2.121276681910899e-19,3.2085421432120784e-19,-2.8534678592612807e-19,8.080365352540865e-20,-5.538041076801975e-20,-2.5446862803326917e-20,-1.252897367522007e-19,4.1910724870301034e-20,-1.523645176878606e-19,9.711796316314813e-20,-1.5542773008725332e-19,1.894218298198673e-19,-5.677953313034196e-20,1.4953098666604574e-19,-1.733907007320181e-20,-4.391433854603196e-20,2.0432122565313004e-19,-2.731689477042123e-19,1.8186876804914677e-19,-2.091897114382703e-19,1.1764715505913535e-19,-2.0943339343567928e-19,2.915360642843413e-19,-2.2694969855314906e-19,1.8870619788631692e-19,-3.672969989530317e-20,-1.2257752716782303e-20,4.99673606788525e-20,-5.1903383122419436e-20,-6.46084974938391e-20,1.1014458782547023e-20,-7.475606259413783e-20,1.1363037894072236e-19,-2.903594970310919e-20,2.5139908406956484e-20,2.8718004164388914e-20,-9.239429335866126e-20,8.00149844233206e-21,-6.481843491371144e-20,6.055750984687583e-20,-4.907365622463142e-20
16615171179593088,0,2.976533523042205e-17,-2.9782857992227385e-17,9.45034230056967e-18,-9.241104288904769e-20,-4.703808925482866e-19,5.873736139556266e-19,8.090459190922188e-19,-7.339449179694889e-19,1.4067580592698931e-18,-1.177183272312021e-18,1.1566788115712675e-18,-7.786501324654679e-19,5.634678090158452e-20,-2.5278467397605226e-20,-3.737259230251149e-19,-3.717026174292043e-19,-1.2476654783403113e-19,-6.681231632060219e-19,-6.3158845280468404e-21,-6.973189845188919e-19,3.0213029319645015e-19,-6.473267045818461e-19,4.2047714482383987e-19,-1.871212623307137e-19,-1.7384583173669114e-19,6.391791215770857e-19,-2.833714525451066e-19,4.401699460164481e-19,-1.629042635094986e-20,1.1554570701069827e-19,-1.3052804639897033e-19,2.7861138529281037e-19,-4.288003407154883e-19,1.4048200241292217e-19,-1.3890577097763816e-19,-1.0534659268403781e-19,8.336274366890489e-20,1.5768300008170063e-19,-1.876014643470856e-19,4.394516199079515e-19,-8.537634845074677e-20,1.2855163365735924e-19,1.563693427901415e-19,-3.0210401587111315e-19,1.266801999040681e-19,-5.7315406207552526e-21,-2.0872483634082877e-20,1.0862082753881518e-19,1.1290348748461546e-20,3.7849226585653505e-19
25501939551450880,0,7.894916219911469e-16,-1.053330363317477e-15,4.683463866327535e-16,-1.4094837244977978e-16,1.52597639350015e-17,1.1009589323508253e-17,-3.2841595294304243e-18,-1.0244919009731696e-17,2.144809076165305e-17,-2.5303725886092742e-17,2.6332134385215267e-17,-1.9449403140288094e-17,1.0846339607360209e-17,4.081574495576998e-19,-4.933480359822072e-18,8.800127905276471e-18,-6.7090871534072105e-18,5.97904913014691e-18,-2.62488311576122e-18,-1.0299128122545461e-19,4.139070279044411e-18,-6.396017530989906e-18,6.291192730651601e-18,-3.6564548126287996e-18,-1.9923054245868856e-18,4.205159988689616e-18,-5.0528993949762866e-18,4.229445990035917e-18,-3.8387479333549576e-18,3.351145197330747e-18,-2.9073079219460028e-18,2.3406835033257595e-18,-1.7133785090514208e-18,-3.0231250769149165e-19,4.4285412794819286e-18,-5.880693332792841e-18,4.834741970464999e-18,6.147433794705143e-19,-4.172838077951163e-18,6.137055462446331e-18,-5.897397008195154e-18,5.13926132466535e-18,-2.8807912403202323e-18,1.087200197637005e-18,6.581576685380413e-19,1.5868888049771266e-18,-2.237655366900563e-18,3.511678755907221e-18,-2.186677193244597e-18,2.643750262639357e-18
30269452033850624,0,4.1109030226578797e-16,-5.570434712614788e-16,2.6731136132840035e-16,-1.0750792109042736e-16,3.7268430098503864e-17,-1.2447664374503114e-17,1.535014179315788e-18,1.0922586335912052e-18,-6.873501490158492e-19,-3.344236794255452e-18,7.753238778992549e-18,-1.0673617331628448e-17,9.9435590310902e-18,-6.856154916515084e-18,4.7763306404982044e-18,-1.884661409377056e-18,1.4065081399217742e-18,-8.493376279603788e-19,7.495289106751498e-19,1.2693944848957845e-19,3.981788814250882e-19,4.569746714132981e-19,1.3170840942856107e-18,-2.3463447836126303e-18,2.511411983922124e-18,-2.017601080035482e-18,1.026852569882884e-18,1.1320856530649435e-19,-2.356381841294436e-18,1.9716190759725244e-18,-2.3172182494161145e-18,2.1526821050280912e-18,-1.952317567955005e-18,1.8163536107066273e-18,-5.839248771290015e-19,-6.499038641963661e-21,6.74970679405005e-19,2.019110252189509e-18,-2.740705400620346e-18,2.4358670845290678e-18,-1.6942175059095074e-18,1.4416787668700412e-18,-1.809769078752967e-18,2.4284382323392443e-18,-1.6712317323570842e-18,1.9441000956366797e-18,-3.994298608420209e-19,1.0606982102033253e-18,-6.527185795131979e-19,1.5857911775523475e-18
31265029748469120,0,7.423351573003866e-17,-1.0151843739320864e-16,4.834494875744052e-17,-1.770485471097316e-17,3.963790978451534e-18,4.933980909466958e-19,-2.0056029180663457e-18,1.8468999323401033e-18,-1.6239964886239071e-18,8.610288565809039e-19,-3.4480957233091156e-19,-5.086386130674778e-20,-6.268688334887237e-20,3.0835046258375905e-19,-4.11566093254821e-19,7.01784373441489e-19,-1.0110363346669026e-18,1.3497454212537165e-18,-1.636948176303316e-18,1.7216399239523258e-18,-1.5970590144237598e-18,1.4677218283898457e-18,-1.0525986432742837e-18,7.366539271003409e-19,-6.670141306604044e-19,3.490781446581496e-19,-3.2719471055904003e-19,6.535745705722059e-20,-2.020778861648553e-19,2.437304202216023e-19,-2.9903671141056746e-19,4.057768033431913e-19,-2.604868105480833e-19,1.367760610905149e-19,3.507938027998458e-19,-6.760755806794845e-19,1.1673716488277956e-18,-9.776326576963353e-19,7.960450508046276e-19,-6.04467779159821e-19,5.620168653961976e-19,-3.87450079588965e-19,4.828358486342759e-19,-2.7343868085072214e-20,-1.1490104270540583e-21,3.833257815124639e-19,-2.500734723897834e-19,6.636210011769876e-19,-6.275043019636644e-19,8.900956721601556e-19
35928500943041152,1,2.3669212417216106e-17,-2.6691959275982395e-17,1.0302942673511858e-17,-2.6589300889127917e-18,-4.0609949198476186e-20,8.506540167987262e-20,2.749658370036536e-19,-8.494962961521627e-19,1.0655651723971695e-18,-1.1673393294819533e-18,1.0088616575793646e-18,-7.375212209809123e-19,2.475533867946368e-19,-1.1674538991394068e-19,1.1758183609536208e-20,-7.993365644889309e-20,2.621388766778977e-20,-3.281010585372252e-20,1.7958322587963054e-19,-3.1231921809285587e-19,6.615516391414771e-19,-6.988813506986107e-19,7.377679390487493e-19,-4.806570667115371e-19,2.0631444873245346e-19,-1.0684363526435896e-20,-4.5691188504767016e-20,-1.460450902424373e-20,-2.0631265685357116e-20,-1.8677819340413014e-19,1.5917653538782238e-20,-1.4458452542483364e-19,2.279720777051486e-19,-1.2144847260437338e-19,4.148556725948191e-19,-2.477793116552746e-19,2.9878766423276407e-19,-9.752180882720143e-20,-1.8847501086203607e-19,1.969797652905033e-19,-1.351125646909574e-19,6.76442010112012e-20,1.717605558481955e-19,-2.0754276417960754e-20,1.2201968317842751e-19,9.605212412506709e-20,-1.2419854409161864e-19,2.945323705736442e-19,-3.187339751150657e-19,4.727427556909637e-19
