source_id,y,c000,c001,c002,c003,c004,c005,c006,c007,c008,c009
1792620565667968,0,-1.0174363632738679e-15,3.410885348022795e-15,-4.44831973968824e-15,4.6968965742792376e-15,-2.3815363379056732e-15,1.4324642681977767e-15,-3.370231145042428e-16,1.3744038495841895e-16,-1.2714297030271533e-17,3.822231477135714e-18
6052403489630720,0,-5.183678192202203e-15,8.032214517700985e-14,-2.317953876834439e-14,1.1310140925846918e-13,-1.2643052444353124e-14,3.569319088174109e-14,-1.8196564601746983e-15,3.5687251159913165e-15,-6.975460552845449e-17,1.0394754633651193e-16
10844075163628928,0,-1.1973357907864868e-15,-5.6237071411810175e-14,-4.989683881572507e-15,-7.975312223599374e-14,-2.548788229268116e-15,-2.5470200544482758e-14,-3.4494635743358277e-16,-2.583345329024656e-15,-1.2463908994535222e-17,-7.644401402956573e-17
11015044926034816,0,4.065194556532853e-15,-2.8405940796802962e-14,1.7253282038528006e-14,-4.036683890158039e-14,9.199468486644268e-15,-1.2925872174783387e-14,1.3107329907548866e-15,-1.3148635207364225e-15,5.0082564704578714e-17,-3.9027227675844075e-17
11963171843658240,0,3.0237183349160565e-17,-8.343113421022222e-15,5.0668967741724497e-17,-1.2118345791309835e-14,2.3368441115340024e-17,-3.974791166251053e-15,4.41888855376102e-18,-4.1441453510520755e-16,2.3582282504594596e-19,-1.2610380963464632e-17
16615171179593088,0,8.739850359235202e-15,-1.379494695439584e-13,3.728473680533607e-14,-1.952781238693167e-13,1.996076677767218e-14,-6.222740309230622e-14,2.8523096902749575e-15,-6.296631383910619e-15,1.0921282207312831e-16,-1.8587267204970297e-16
25501939551450880,0,7.267775735363975e-14,-2.9887932479252566e-12,3.1239371982297293e-13,-4.2372283943393535e-12,1.70052571606209e-13,-1.352816839362838e-12,2.480367893597631e-14,-1.3718527820949222e-13,9.711096222971194e-16,-4.059016902509111e-15
30269452033850624,0,-6.053939416210391e-14,5.962923033327302e-13,-2.6250898670245555e-13,8.38409223343774e-13,-1.4123723636996254e-13,2.6472869368566023e-13,-2.021060564388267e-14,2.650808779807416e-14,-7.737249275994373e-16,7.736032967541863e-16
31265029748469120,0,-1.440267941882033e-14,1.6751474582876125e-13,-6.180849894857484e-14,2.3483996969727273e-13,-3.2968731328042827e-14,7.399522760892931e-14,-4.679653999243759e-15,7.398060641565557e-15,-1.7775304893475662e-16,2.1568450421330458e-16
35928500943041152,1,5.854664695360442e-15,-1.5173168548104493e-13,2.5058450358369627e-14,-2.1439536176086876e-13,1.347333881515436e-14,-6.81981245653284e-14,1.935013593701295e-15,-6.889242830533835e-15,7.450284053870213e-17,-2.030409755328142e-16
36876009385300352,0,-3.410315405926189e-15,2.5047028140474298e-14,-1.4561556251154106e-14,3.519242479375263e-14,-7.749854800163055e-15,1.1118228940630959e-14,-1.0992848881247493e-15,1.1149177034631197e-15,-4.176854705786082e-17,3.260885317838102e-17
44951132016854016,0,5.053838788503883e-15,-1.3499298347360999e-13,2.178408180492206e-14,-1.9077021190810315e-13,1.1769742687917562e-14,-6.067864462755968e-14,1.6967048056688606e-15,-6.128458431040888e-15,6.552695584052558e-17,-1.8057179773320488e-16
46608061680943872,0,4.758220334170474e-15,-1.6053661612035964e-13,2.033267314041586e-14,-2.2662342417247558e-13,1.0913694451102312e-14,-7.201389602787937e-14,1.5636906330512206e-15,-7.267013863853398e-15,6.002837473981347e-17,-2.139515652105458e-16
56252977678408192,0,3.8711945365272486e-15,-6.076672566731928e-14,1.6526572867204416e-14,-8.587916746144579e-14,8.851637953512154e-15,-2.7323002788390034e-14,1.2661432863174852e-15,-2.7604579127694807e-15,4.8551851964588493e-17,-8.135831831582066e-17
63139734399542528,0,-9.773983675424241e-16,4.331251193809812e-15,-4.236674286010137e-15,5.760586848295484e-15,-2.2645573840336083e-15,1.7025329841943164e-15,-3.2148768707277847e-16,1.5801439932765055e-16,-1.2204644764499582e-17,4.226111863769402e-18
64368713521485568,0,8.176523039200672e-15,-3.155672581379335e-13,3.500184078533303e-14,-4.458704182378299e-13,1.8892304690662014e-14,-1.4182995412157026e-13,2.7259070914000324e-15,-1.432727518692368e-14,1.0543459172342138e-16,-4.2223933449278803e-16
69784942159807232,0,-1.2751023729596425e-15,5.3581436842738064e-14,-5.4934716229884585e-15,7.536524065179487e-14,-2.936371439128403e-15,2.384905170807807e-14,-4.176765423219029e-16,2.396194883824201e-15,-1.590510197266286e-17,7.023552904933629e-17
69886853143994496,0,7.127574559353169e-15,-1.229621507498395e-13,3.049733350784491e-14,-1.7377441080989878e-13,1.6367513367968698e-14,-5.52804879394838e-14,2.3449106255446283e-15,-5.583961104194906e-15,9.00262468243739e-17,-1.645393260317647e-16
74703607425569024,0,1.0333261874100174e-14,-2.103840965705995e-13,4.4025002603363406e-14,-2.9671351025228286e-13,2.3582004109506652e-14,-9.42202624928913e-14,3.3761507407719463e-15,-9.501585769699178e-15,1.296190561649267e-16,-2.795340370567698e-16
78846635958426496,0,1.4359402103498433e-14,-5.205930291881253e-13,6.155592225290582e-14,-7.35768604668243e-13,3.317254027313963e-14,-2.341052048877768e-13,4.777876028822815e-15,-2.3655721303125878e-14,1.8453710550746378e-16,-6.974050827074931e-16
79376016447500416,0,-4.750313485142265e-15,1.5107203163901217e-14,-2.0667444835862397e-14,2.1031746464687832e-14,-1.1126164116265208e-14,6.5235196239850634e-15,-1.5905169684786265e-15,6.381571467514351e-16,-6.076168077010605e-17,1.810795549565483e-17
80762260092162688,0,2.5664419236637835e-14,-7.820331512906893e-13,1.1005505268886615e-13,-1.1053790418848106e-12,5.943074042191185e-14,-3.517607278257378e-13,8.579215933997932e-15,-3.554784091181927e-14,3.3205392583943214e-16,-1.0480017484358379e-15
83757226686850816,0,8.527140054166796e-16,-3.083320886349179e-14,3.522451102685514e-15,-4.340392230348277e-14,1.862228859313938e-15,-1.3769528359728005e-14,2.651282904171943e-16,-1.3878949555878624e-15,1.0162104516440466e-17,-4.082263183285617e-17
84006403509432192,0,1.7361820082590413e-14,-5.294906095971673e-13,7.459811044610116e-14,-7.485161861474887e-13,4.028899613269392e-14,-2.382036066706056e-13,5.812394280907819e-15,-2.407215457770785e-14,2.247536884060106e-16,-7.09692283388433e-16
85707760314515712,0,1.4448756757193704e-16,-6.535180573577847e-15,3.1838563659871116e-16,-9.501162599523958e-15,1.1286878322093155e-16,-3.14303348520217e-15,1.1875493695685019e-17,-3.3101373348084135e-16,3.418195278393649e-19,-1.0172747919006683e-17
93468972376758144,1,1.7628933784717635e-16,-7.121162467668495e-14,6.408475333711996e-16,-1.0032135910967809e-13,3.410468434802116e-16,-3.1832158426083185e-14,5.1324915722456274e-17,-3.208534367474187e-15,2.1208424554021127e-18,-9.437354340534833e-17
97013488627139328,0,4.314368853769647e-15,-1.4139638430886098e-13,1.828558200834693e-14,-1.997407221838689e-13,9.771501267521958e-15,-6.354020279002338e-14,1.3978950841419808e-15,-6.42038366487401e-15,5.368614872322412e-17,-1.8929861929601125e-16
99836961472298752,0,1.6542528501649095e-15,-8.568499192898262e-14,6.876331302332462e-15,-1.205630167792469e-13,3.6305051387449554e-15,-3.820639751051903e-14,5.146230317040504e-16,-3.846155088130812e-15,1.961252504633394e-17,-1.1298659828755552e-16
100734064176680704,0,9.597588962413989e-15,-3.4579793417682897e-13,4.096324050796499e-14,-4.888880917769232e-13,2.2121722024119814e-14,-1.5566573284725536e-13,3.201120145778001e-15,-1.574374375764935e-14,1.2437459068786405e-16,-4.6460582182529795e-16
101096662495962240,0,8.467603263184997e-15,-2.011923970663091e-13,3.62305083216783e-14,-2.841866584474675e-13,1.944300131038112e-14,-9.036295431038211e-14,2.786520469583183e-15,-9.1245500949594e-15,1.0706252209245442e-16,-2.6880608236498235e-16
102622917779071744,0,-1.873552110589996e-16,-6.656757466059969e-14,-7.223048636615189e-16,-9.423501248072281e-14,-3.1182114219171e-16,-3.003504155826143e-14,-3.229979842081368e-17,-3.0401778755681195e-15,-7.479442964471873e-19,-8.977959777546102e-17
102803104542235008,0,-1.668022277782567e-15,8.844899680300048e-15,-7.185599767368536e-15,1.2267197497284495e-14,-3.836279377111812e-15,3.810475243299656e-15,-5.442351985378841e-16,3.747237551909271e-16,-2.064356942738128e-17,1.0726786838844374e-17
107344877838785408,1,3.444382245107483e-14,-7.529370003763772e-13,1.4714341553932458e-13,-1.0626386856922582e-12,7.888888625219736e-14,-3.3761191577404014e-13,1.1295869699734864e-14,-3.4062905367614164e-14,4.3361970851284074e-16,-1.0026439372346046e-15
107585292928397568,0,2.7429763264260125e-14,-1.0094989920030528e-12,1.1802958838268112e-13,-1.4275778981290476e-12,6.395828737087236e-14,-4.545170155189282e-13,9.268230414227865e-15,-4.595764736761601e-14,3.602143008202894e-16,-1.3557486426212716e-15
108002248353357312,0,2.6760288871903216e-14,-7.818010350449411e-13,1.1520036697559473e-13,-1.1054593516806283e-12,6.225931219510773e-14,-3.5186270065765945e-13,8.986789481830505e-15,-3.556460378331623e-14,3.477071389893125e-16,-1.0486893872226292e-15
