source_id,y,c000,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018,c019
1792620565667968,0,-2.4491926139650218e-09,-3.4562234470150644e-10,-1.7856676480894252e-08,-5.909489256676093e-10,-1.7881479068297173e-08,-1.9689207786351006e-10,-5.4097237228667295e-09,-3.969835536734543e-12,-4.924843265002017e-10,3.9635079969314604e-12,2.375406672031005e-11,2.0772481498114503e-13,6.473824281282069e-12,-2.984852989309061e-14,3.8896490513374394e-13,-3.0451537647616448e-15,9.575227460470953e-15,-9.385941450615583e-17,8.393383107677947e-17,-9.44555762237019e-19
6052403489630720,0,-3.516386622315842e-09,-1.0145359431250604e-09,-2.5912103192088554e-08,-1.7130150566500722e-09,-2.6238116851876626e-08,-5.614157164561226e-10,-8.037025738594276e-09,-9.816038177850464e-12,-7.459174114129504e-10,1.1270744793247218e-11,3.439735502644238e-11,5.647798657173335e-13,9.757438298823323e-12,-8.481151024428277e-14,5.94352516410597e-13,-8.44366014241794e-15,1.4798720371932317e-14,-2.564095353670822e-16,1.3111197677890894e-16,-2.5465398946976837e-18
10844075163628928,0,-7.613672301864502e-09,1.698804472869558e-09,-5.560526554758334e-08,2.8947016604763778e-09,-5.5783924189938053e-08,9.604325746764652e-10,-1.6911445881247567e-08,1.8885734361156702e-11,-1.544649064923928e-09,-1.926725439189212e-11,7.393610712056419e-11,-9.98895127676087e-13,2.0287823101229758e-11,1.449298631188108e-13,1.2218881114789888e-12,1.4688563350996925e-14,3.014091371557674e-14,4.507558802645812e-16,2.647227182196777e-16,4.517816545406294e-18
11015044926034816,0,3.755150201906184e-09,-4.115837237351759e-10,2.74177079240055e-08,-7.024388805241254e-10,2.749900519704746e-08,-2.336186805419629e-10,8.33465220056354e-09,-4.711338157217916e-12,7.610441835459943e-10,4.681995007459105e-12,-3.6449070171745365e-11,2.445519579215486e-13,-9.996610123168971e-12,-3.5203790070879004e-14,-6.020016981006642e-13,-3.58225762241409e-15,-1.4849098212675726e-14,-1.1019558479811972e-16,-1.304162975642326e-16,-1.106876149049732e-18
11963171843658240,0,-9.869905149760449e-10,-1.6735922927542792e-10,-7.19571600780822e-09,-2.865539194233252e-10,-7.205176006405919e-09,-9.566893389679584e-11,-2.179528593924201e-09,-1.966085510429783e-12,-1.983658769097913e-10,1.925575921174336e-12,9.574339195812454e-12,1.0156081132757098e-13,2.6077137380399407e-12,-1.449955084063076e-14,1.5663679636128133e-13,-1.4846304829720397e-15,3.854945504008567e-15,-4.586497252197334e-17,3.3781773775199864e-17,-4.625457595045608e-19
16615171179593088,0,-4.746120488226481e-09,3.601993894425029e-10,-3.461205683609095e-08,6.090363559891486e-10,-3.466862664357732e-08,2.00001722927526e-10,-1.049098455103269e-08,3.6100166151962486e-12,-9.55397671909445e-10,-3.998664807753555e-12,4.604779331155613e-11,-2.0125572265746002e-13,1.2557729237737609e-11,3.0047615455165954e-14,7.546493596723137e-13,2.9941772945435065e-15,1.857989539457282e-14,9.088300849762799e-17,1.628834811460277e-16,9.016980584080738e-19
25501939551450880,0,-1.7469330144584177e-07,4.034167968578257e-08,-1.2783196798975017e-06,6.907549345992837e-08,-1.2850217119406672e-06,2.3063792307520963e-08,-3.904476913881044e-07,4.774400437134439e-10,-3.578813069103178e-08,-4.63032565762637e-10,1.699192524276754e-09,-2.441130360402978e-11,4.69629017763593e-10,3.4836690198084207e-12,2.8355177994352193e-11,3.563143321254236e-13,7.008968295107873e-13,1.0994144807255898e-14,6.1677759374136534e-15,1.1071765617380447e-16
30269452033850624,0,1.7374176718556704e-08,-6.323600279029912e-09,1.2557860986609648e-07,-1.0648676022922e-08,1.246034491330402e-07,-3.4781189038779853e-09,3.7305473774052943e-08,-5.922444411907398e-11,3.340253860576196e-09,6.96814314437567e-11,-1.672935622838e-10,3.4592288863070135e-12,-4.4096672396412795e-11,-5.239830822725791e-13,-2.617965033651141e-12,-5.188771201083324e-14,-6.379996545018348e-14,-1.5701011947840933e-15,-5.539108828046845e-16,-1.5542412192328746e-17
31265029748469120,0,-2.2024314316221344e-09,-3.7971745172951583e-10,-1.624463578050068e-08,-6.439486257594528e-10,-1.646592035349591e-08,-2.1225112121299788e-10,-5.0498469004815065e-09,-3.902574420536005e-12,-4.696165280392489e-10,4.266581654035117e-12,2.1549547258786336e-11,2.171628410456349e-13,6.140152806923861e-12,-3.211855161676989e-14,3.746047870320163e-13,-3.224905830163124e-15,9.340111612382066e-15,-9.844738665683491e-17,8.286265470085396e-17,-9.823485655495843e-19
35928500943041152,1,-3.0324542769328662e-09,-1.934445775321012e-12,-2.219748596527846e-08,-8.088495075126641e-13,-2.2321662780471015e-08,8.165481297308596e-13,-6.784967692685387e-09,2.173819681065529e-13,-6.222803643655143e-10,-1.0048156640209604e-14,2.9504082517364967e-11,-3.401097188405224e-15,8.164604994887542e-12,5.843548691542502e-17,4.931727908013804e-13,2.663906293794108e-17,1.2194843962969441e-14,1.1484919691360797e-18,1.0734885760833844e-16,1.412666277930339e-20
