source_id,y,c000,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018,c019,c020,c021,c022,c023,c024,c025,c026,c027,c028,c029,c030,c031,c032,c033,c034,c035,c036,c037,c038,c039
1792620565667968,0,-2.95810384409989e-10,-6.764398303857398e-09,-1.1871725202858833e-09,-7.400465237410684e-09,-3.964655286967785e-10,-5.723735323452466e-10,3.844594273161026e-11,2.5164397311881127e-10,6.744915219012443e-12,-4.269109022072635e-12,-8.708123446128095e-13,-2.8730044332806714e-12,1.143192466361314e-14,2.1181354214259913e-13,4.42216970834068e-15,4.313460270660392e-15,-3.7582093949936416e-16,-1.1019629444778048e-15,7.878448922177248e-18,4.278794721170288e-17,7.35911395363406e-19,7.064403991151519e-19,-6.166688285091867e-20,-1.2393860593814498e-19,1.3554187748462716e-21,4.0491355865921566e-21,5.971573381402955e-23,4.1670330751217757e-23,-4.418456695018253e-24,-7.388581590353505e-24,5.238265154944063e-26,1.6554529688546856e-25,4.352998899040083e-27,5.333763470185636e-27,-1.2815155902521578e-28,-2.6392792214957254e-28,-5.092030335936944e-30,-7.750527248192211e-30,-3.884515180332788e-32,-5.195141637691096e-32
6052403489630720,0,-1.5853119215808505e-08,4.821979753107118e-07,-6.466345666153854e-08,5.353730682961485e-07,-2.2218450208227144e-08,4.386113595452118e-08,2.0263390064560656e-09,-1.8315497860225547e-08,3.88606065659608e-10,2.480770034385658e-10,-4.807660943670239e-11,2.1490654620704291e-10,4.818758925054162e-13,-1.523750896258438e-11,2.6032018837722343e-13,-3.6645373463812316e-13,-2.1162372788442595e-14,8.277746069724426e-14,3.9302718075195667e-16,-3.0817749563212804e-15,4.4824827184045116e-17,-6.065497163998512e-17,-3.5589218654288426e-18,9.44051071059568e-18,7.275855734096882e-20,-2.9688408345920275e-19,3.727044420288494e-21,-3.684416360984653e-21,-2.596599697197073e-22,5.682861917587641e-22,2.746992696063132e-24,-1.2209067190137753e-23,2.644607490120514e-25,-4.243262432062059e-25,-7.455379592964459e-27,2.01335377674558e-26,-3.0880417723189774e-28,6.0707181862168665e-28,-2.402545120766081e-30,4.1306494499440124e-30
10844075163628928,0,-4.281343228346205e-09,1.1515000322783167e-07,-1.7409505222760304e-08,1.275038659243514e-07,-5.9499347447213786e-09,1.0340054570903175e-08,5.491556307634478e-10,-4.357164827948556e-09,1.0354491300750182e-10,6.169363002177692e-11,-1.2912580808295897e-11,5.0876895712378206e-11,1.3747063980615166e-13,-3.6324944924394135e-12,6.913353407198467e-14,-8.493874729472675e-14,-5.664779561739594e-15,1.9582281793292874e-14,1.0763885192467521e-16,-7.344917314856992e-16,1.1827097134787343e-17,-1.4036823110718245e-17,-9.484045118717215e-19,2.2279418375581898e-18,1.9657705083784013e-20,-7.053125969760692e-20,9.794869304537217e-22,-8.4889885083261e-22,-6.899856008167757e-23,1.338941310181702e-22,7.446996096886891e-25,-2.8975048050579195e-24,6.983409369189446e-26,-9.941509900515198e-26,-1.98411413116631e-27,4.75036696316387e-27,-8.158093285356407e-29,1.425999849607261e-28,-6.3257164336961714e-31,9.678915630388118e-31
11015044926034816,0,9.235766073189769e-10,-1.0432528893578632e-07,3.736523068466256e-09,-1.1569429938472396e-07,1.2647127533571461e-09,-9.436684634775076e-09,-1.196114197870269e-10,3.9560847364543e-09,-2.1835659812764897e-11,-5.464011045958589e-11,2.764896078837858e-12,-4.6321225338654855e-11,-3.4027445717042624e-14,3.294242618846603e-12,-1.4616159111218977e-14,7.826919576177453e-14,1.2115117459662027e-15,-1.7836235468595497e-14,-2.36811948726875e-17,6.661905720364707e-16,-2.453733615092516e-18,1.2946106618773785e-17,2.0135572485428914e-19,-2.0320498430755127e-18,-4.285582521893831e-21,6.408845748492931e-20,-2.024777458288717e-22,7.849021999690478e-22,1.4666076292925297e-23,-1.2223502711519133e-22,-1.6052638058978862e-25,2.634385206625746e-24,-1.4592262284257787e-26,9.104785085333825e-26,4.210352931506477e-28,-4.333251730718692e-27,1.7100430899381264e-29,-1.3040572136958823e-28,1.3187656518595422e-31,-8.863596060139911e-31
11963171843658240,0,-2.7463352505296313e-10,-5.0733768614576675e-08,-1.1140364091777853e-09,-5.62789295369095e-08,-3.79721917684809e-10,-4.595487919444521e-09,3.500743131126312e-11,1.9246461997263777e-09,6.573229168965651e-12,-2.6454237905566893e-11,-8.215532062524501e-13,-2.254730334273154e-11,7.996129534032073e-15,1.6022907171066151e-12,4.296753738572159e-15,3.818583052566981e-14,-3.5585497650092225e-16,-8.682646595653334e-15,7.025263174876496e-18,3.2403690747625484e-16,7.438930296996948e-19,6.317246301765643e-18,-5.933301598042962e-20,-9.894580856709005e-19,1.2329240508930622e-21,3.1183653533382724e-20,6.095255275383405e-23,3.8319232397438274e-22,-4.2476458990264324e-24,-5.953022364603092e-23,4.86591188744131e-26,1.281963602340283e-24,4.339212457980588e-27,4.436908544452772e-26,-1.2350055552217008e-28,-2.1100328124717863e-27,-5.044187572822577e-30,-6.353084783969107e-29,-3.8965310627921034e-32,-4.319332556791872e-31
16615171179593088,0,-3.3030161429087614e-09,-1.4614614011330905e-07,-1.344454643698383e-08,-1.620635613133251e-07,-4.605392160966348e-09,-1.3215549666792579e-08,4.218620654713444e-10,5.541556252509562e-09,8.024293509248928e-11,-7.663061926810299e-11,-9.966336125368993e-12,-6.487721312975902e-11,9.923454846615252e-14,4.6148170410054224e-12,5.3300535434711245e-14,1.095542507885898e-13,-4.362102095394391e-15,-2.4980728216729098e-14,8.284272236441505e-17,9.332628382725155e-16,9.191704775541717e-18,1.8118646272425722e-17,-7.31282256470157e-19,-2.845774991687083e-18,1.504351491494134e-20,8.977306822236959e-20,7.6038577776450355e-22,1.0982527483364097e-21,-5.300878176106071e-23,-1.7117155076185057e-22,5.768287494370346e-25,3.69006486835413e-24,5.402756142937819e-26,1.2746931463142013e-25,-1.5285300271523168e-27,-6.068322070624745e-27,-6.299468902390457e-29,-1.8258704083297663e-28,-4.888757044254915e-31,-1.2408924956242714e-30
25501939551450880,0,-9.830466476727989e-08,1.6651620289986873e-06,-3.998925693728729e-07,1.840411652973591e-06,-1.3676439241541856e-07,1.4819768944904348e-07,1.2599740277173337e-08,-6.284460755032793e-08,2.3812560948801425e-09,9.165631503504151e-10,-2.966416752719473e-10,7.313349607045631e-10,3.1182454665886845e-12,-5.2468973468641576e-11,1.588988455251773e-12,-1.2026716828897615e-12,-1.3012291258145257e-13,2.8134228628430223e-13,2.4695366439197746e-15,-1.0607648388355267e-14,2.7223046790931823e-16,-1.9851239100374571e-16,-2.1794574632278588e-17,3.1954926788991556e-17,4.509798778569701e-19,-1.016362014493582e-18,2.2543951303088177e-20,-1.1965774644341552e-20,-1.5849535104663044e-21,1.9181589791939016e-21,1.7113521621718837e-23,-4.172295909545377e-23,1.6060864118218726e-24,-1.4184744711616451e-24,-4.559138129576034e-26,6.812126515538962e-26,-1.8756240182208285e-27,2.038422797783475e-27,-1.4546331219588583e-29,1.3811077494736773e-29
30269452033850624,0,2.2752714342682086e-09,2.0043486332858381e-07,9.094294138594068e-09,2.2322859201878417e-07,3.018327044642547e-09,1.8498384815117902e-08,-2.9559843198820287e-10,-7.646643714268162e-09,-5.101075686010434e-11,9.82973891473872e-11,6.636242842361075e-12,9.021334473634178e-11,-8.843900748526654e-14,-6.347036587377263e-12,-3.312011979547276e-14,-1.573793172100323e-13,2.8430065275886493e-15,3.477633501703987e-14,-6.11418032501209e-17,-1.2841064483371602e-15,-5.5093647889093215e-18,-2.6087658304428578e-17,4.642854634365956e-19,3.976480816617248e-18,-1.0296074658699112e-20,-1.2414868957223807e-19,-4.448252175503673e-22,-1.5916187134778885e-21,3.303651919062215e-23,2.39788121976723e-22,-4.0293024553676776e-25,-5.111434431535479e-24,-3.255586993895271e-26,-1.801128551087456e-25,9.628020293231234e-28,8.48226509381303e-27,3.8058080491405307e-29,2.569661677575217e-28,2.896825541615791e-31,1.752968150665145e-30
31265029748469120,0,-1.2437518366292033e-08,3.955013163625271e-07,-5.073386577036018e-08,4.388519892263922e-07,-1.743354244639887e-08,3.5872043562140664e-08,1.5897338649117638e-09,-1.5009771468386403e-08,3.049443492059148e-10,2.0537044149556098e-10,-3.772213010386595e-11,1.7592706828418885e-10,3.779956025610109e-13,-1.2493246229905526e-11,2.0431075121723835e-13,-2.9857885510698793e-13,-1.660642842303831e-14,6.775221067129108e-14,3.082459659663171e-16,-2.5266303010038714e-15,3.518131932121728e-17,-4.94021411769601e-17,-2.7929725253319345e-18,7.722747371340626e-18,5.708742817586742e-20,-2.432289484467864e-19,2.9255858384853147e-21,-2.9978703704807676e-21,-2.0380348965651757e-22,4.647087875235233e-22,2.154669442635979e-24,-1.0000221999495422e-23,2.0758061858317026e-25,-3.4654541532072927e-25,-5.851135027635853e-27,1.6469141595305347e-26,-2.4239281726089886e-28,4.960808470657152e-28,-1.8859976221285996e-30,3.373543912459128e-30
35928500943041152,1,-3.0713920954116444e-09,3.258305019870793e-08,-1.2511866445271686e-08,3.5974810611301165e-08,-4.2900684316315506e-09,2.8848548861460147e-09,3.928627517427839e-10,-1.227939280825577e-09,7.486856743743097e-11,1.8220746480039806e-11,-9.290141857553635e-12,1.4261194330138732e-11,9.441485755102223e-14,-1.0261704441083446e-12,5.0003599838878735e-14,-2.323326791018944e-14,-4.080026766145008e-15,5.4845224340773875e-15,7.66551450039073e-17,-2.0745809825935482e-16,8.59918892865989e-18,-3.830994759429058e-18,-6.848226744273896e-19,6.222579259566057e-19,1.4072441674520114e-20,-1.985088315002964e-20,7.13324835203464e-22,-2.3035283728439075e-22,-4.984572771107714e-23,3.7322346084643404e-23,5.339059027668208e-25,-8.14554222237454e-25,5.069316493976691e-26,-2.7524244583132523e-26,-1.4332851736532173e-27,1.3262796171650705e-27,-5.917718484590853e-29,3.960059887830806e-29,-4.597015946277613e-31,2.6797077418126244e-31
