source_id,y,c000,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018,c019,c020,c021,c022,c023,c024,c025,c026,c027,c028,c029,c030,c031,c032,c033,c034,c035,c036,c037,c038,c039,c040,c041,c042,c043,c044,c045,c046,c047,c048,c049
1792620565667968,0,-1.6269993291860596e-09,-1.2052489938655866e-09,-6.3427926972160726e-09,-8.922239090225955e-10,-1.93102534338397e-09,5.98328241012868e-11,2.4249403496978355e-10,2.2852825828058858e-11,2.8325989491801974e-11,-3.542538973653962e-12,-4.764474325465654e-12,5.804908249348319e-14,1.679459778374234e-13,2.4079521568925482e-14,1.476009854052337e-14,-2.170077413067448e-15,-1.9611579601311577e-15,5.579594001382987e-17,8.78184013815412e-17,2.97023719396404e-18,2.1124759241429223e-19,-3.2199717515645087e-19,-2.4334618158384445e-19,1.3053647960777074e-20,1.34106597154435e-20,-1.7030195041889685e-22,-2.511638279100369e-22,-1.100768327677082e-23,-8.7810261180669e-24,7.905692625637277e-25,7.110408011843471e-25,-2.4126899674510286e-26,-1.8361582657225918e-26,2.0305242991614274e-28,-3.730145575299656e-29,1.578219741121083e-29,1.7697028593683594e-29,-7.84627871293741e-31,-5.112504278289168e-31,1.3689700157369227e-32,4.3360197575572735e-34,1.9160095078063157e-34,3.5742371706729887e-34,-1.4871583431631017e-35,-6.024814189844172e-36,1.4869842536896361e-37,-2.355829584598436e-37,9.410787454293004e-39,-1.5147400576749796e-39,6.77021215687328e-41
6052403489630720,0,-3.5204117930489005e-07,6.069133988650392e-08,-1.3814574434709371e-06,4.5536807558391145e-08,-4.258132928798525e-07,-2.918674362581815e-09,5.2351162043152314e-08,-1.1891828964123228e-09,6.341976888408113e-09,1.8085789304121322e-10,-1.0460384521287737e-09,-2.5683452612137044e-12,3.5703590137703866e-11,-1.2819636261592179e-12,3.3563717262609516e-12,1.1218588310375335e-13,-4.34853399798144e-13,-2.672566326393902e-15,1.9139465957023905e-14,-1.6515357716548908e-16,7.233629851489369e-17,1.7028846222404756e-17,-5.484210781005885e-17,-6.735205506474668e-19,2.97251320603363e-18,7.93481529718259e-21,-5.396689182409361e-20,6.218166946051546e-22,-2.036293046530399e-21,-4.2330296147709136e-23,1.5964769196923084e-22,1.2578090502179643e-24,-4.055978829166374e-24,-8.862014450853005e-27,-1.0936167961028534e-26,-8.847890526445393e-28,4.01144006957075e-27,4.168041793107339e-29,-1.1420525467259816e-28,-7.090410946265035e-31,5.536577332106963e-32,-1.1089649782555565e-32,8.099826686396541e-32,8.023725056775989e-34,-1.3451274624327794e-33,-7.706915507680558e-36,-5.341904452843572e-35,-5.127185405720799e-37,-3.454662073675291e-37,-3.739288019138258e-39
10844075163628928,0,1.2953953345848e-08,1.5497385985513437e-08,5.1511574005322035e-08,1.1597101566916399e-08,1.6280127705961673e-08,-7.476823027004986e-10,-1.9140035364088014e-09,-3.0174785235501754e-10,-2.498970767474741e-10,4.5904312485929034e-11,3.960942669031387e-11,-6.602794071470066e-13,-1.2578538274514444e-12,-3.215662224952713e-13,-1.3638578926596187e-13,2.8341350445071406e-14,1.680199655553992e-14,-6.954237668611385e-16,-7.123233136940668e-16,-4.1227248899754965e-17,-4.893613408993411e-18,4.288021343472986e-18,2.1919212153695027e-18,-1.7043541169887802e-19,-1.1472133374835822e-19,2.060435609488666e-21,1.9381359929360774e-21,1.5340891399099318e-22,8.626909187540974e-23,-1.0615414953669628e-23,-6.336275110297325e-24,3.175832288058283e-25,1.5525471646332996e-25,-2.422105132433339e-27,6.572747623702363e-28,-2.189532201722397e-28,-1.6263991908926256e-28,1.0559736429484453e-29,4.483976795938116e-30,-1.7965743963421903e-31,1.576058377504311e-33,-2.7345097522945342e-33,-3.286267947780773e-33,2.0178262888650564e-34,5.275766547722141e-35,-1.952141323789967e-36,2.172129077579636e-36,-1.2847599101515087e-37,1.423966884705538e-38,-9.340444677776299e-40
11015044926034816,0,2.8175032521213594e-08,-1.3134131982324266e-08,1.1059048262890775e-07,-9.84323598438905e-09,3.41056997021899e-08,6.322505134702807e-10,-4.188941335976418e-09,2.566463984609678e-10,-5.083102020076346e-10,-3.9018907949073883e-11,8.376196013017306e-11,5.559346653168029e-13,-2.854267847622605e-12,2.750185993111601e-13,-2.6922797291086236e-13,-2.414668218397926e-14,3.4837073848315316e-14,5.839177827577555e-16,-1.5318648565962034e-15,3.5370994847161357e-17,-5.907384511480518e-18,-3.6606091246858985e-18,4.3974459799237e-18,1.4509969103610953e-19,-2.381233576784714e-19,-1.7302870784224265e-21,4.315009654974472e-21,-1.3233950250034793e-22,1.6356449596082347e-22,9.081041432244172e-24,-1.2799130157698988e-23,-2.7070425007671225e-25,3.2483549782463303e-25,1.9877271156349624e-27,8.902623997337084e-28,1.8859437177448591e-28,-3.2182034953522586e-28,-8.992011291929606e-30,9.15325258134887e-30,1.5288215671596696e-31,-4.199830003215865e-33,2.3607107666768042e-33,-6.498660771256469e-33,-1.7243690842887555e-34,1.0780601467936708e-34,1.661472979335242e-36,4.286415640751535e-36,1.099871755244029e-37,2.7734207159871097e-38,8.009666472086783e-40
11963171843658240,0,2.6324962667746553e-08,-6.537375263207626e-09,1.0350099189772128e-07,-4.900210862950952e-09,3.2020558575298145e-08,3.1489779310925394e-10,-3.9110124679311425e-09,1.2779310169896793e-10,-4.790879957348015e-10,-1.944671162508677e-11,7.854715561125248e-11,2.7812675789589877e-13,-2.6532766381495753e-12,1.3731823957919148e-13,-2.547678247315191e-13,-1.2045716473778978e-14,3.275191026712884e-14,2.8954058564136123e-16,-1.433498624636044e-15,1.765163028935373e-17,-6.0681513381878146e-18,-1.8259828579377393e-18,4.152097632491507e-18,7.234914386566133e-20,-2.23841251018212e-19,-8.598975199282536e-22,4.0210504131740535e-21,-6.625752799445762e-23,1.5561732478358704e-22,4.533320606238734e-24,-1.2073868214032225e-23,-1.3500700900161044e-25,3.050478218431199e-25,9.740400812822226e-28,8.93436748768671e-28,9.436153549076633e-29,-3.0440044175270443e-28,-4.475109386226022e-30,8.622727024901242e-30,7.617956570059719e-32,-3.0627766698899594e-33,1.1808465499789368e-33,-6.147175905885354e-33,-8.596848250217011e-35,1.0154369007062368e-34,8.279545542758393e-37,4.0555994889746594e-36,5.487557887935674e-38,2.6285615399640664e-38,3.9978984576030385e-40
16615171179593088,0,1.752743625205357e-08,-1.8287335235564612e-08,6.934379461272768e-08,-1.3707501185367796e-08,2.170895352890656e-08,8.793842714614278e-10,-2.5960966905463343e-09,3.5748648108137844e-10,-3.295097759463409e-10,-5.429670001499361e-11,5.3009191844474986e-11,7.693828293535665e-13,-1.7309182051630688e-12,3.825299185243515e-13,-1.7783608769537734e-13,-3.3588750461540254e-14,2.231646100166458e-14,8.14397004888787e-16,-9.595302767822381e-16,4.925154912613638e-17,-5.4636291450362086e-18,-5.094341118365503e-18,2.875334338250843e-18,2.0190072119208184e-19,-1.5243702016935782e-19,-2.4086744853629626e-21,2.646658603788699e-21,-1.8390986459559954e-22,1.1084654727605283e-22,1.2633662781182956e-23,-8.333132211534829e-24,-3.766908422135935e-25,2.0692486402652735e-25,2.78998346391909e-27,7.576451148793767e-28,2.621534380351197e-28,-2.1225911759706122e-28,-1.2533544041419579e-29,5.920530127488273e-30,2.1284388447828035e-31,2.7135253032106998e-34,3.283303449677555e-33,-4.287934103802814e-33,-2.401228406918144e-34,6.968725497149877e-35,2.3130577692029496e-36,2.832035098491046e-36,1.5310134564461059e-37,1.8476594898686984e-38,1.1148174523119428e-39
25501939551450880,0,4.935031512908234e-08,2.3486712573562295e-07,2.0766890569969798e-07,1.7537028501276425e-07,7.232488443657125e-08,-1.1403241563656479e-08,-7.083108097569026e-09,-4.5484913692522845e-09,-1.230600051376796e-09,6.948994273510237e-10,1.6973818858635276e-10,-1.0300793209716324e-11,-3.8487995073838665e-12,-4.840888254601261e-12,-7.36709121186747e-13,4.284762209358458e-13,7.75027728178032e-14,-1.0595466823283268e-14,-2.8490411420184644e-15,-6.157068832438502e-16,-5.627485858668338e-17,6.456577696795204e-17,1.1281796653694239e-17,-2.5763988554721543e-18,-5.270700406591264e-19,3.1623112268694267e-20,6.5783670602372344e-21,2.2920552330154944e-21,5.198574540479163e-22,-1.596148090498195e-22,-3.192219020932499e-23,4.793048367517782e-24,6.9269020940301065e-25,-3.711089876858676e-26,6.801798090165164e-27,-3.2734828480565055e-27,-8.730114593208094e-28,1.5852264071290627e-28,2.1828943244390338e-29,-2.712239621099612e-30,6.693657215250922e-32,-4.065268819001541e-32,-1.7674628042669997e-32,3.026138102364086e-33,2.5596482122262955e-34,-2.9469462553474274e-35,1.1755902380899854e-35,-1.924923819841978e-36,8.000042428699616e-38,-1.396739131414507e-38
30269452033850624,0,-1.555062430735456e-07,2.1485952608420844e-08,-6.115800848465464e-07,1.6206305963809566e-08,-1.8930733276817924e-07,-1.0196456641832598e-09,2.3101789699924586e-08,-4.2636173324869914e-10,2.834142273013338e-09,6.433290407310337e-11,-4.6429961956489514e-10,-8.570274189764947e-13,1.5663209348634238e-11,-4.626944868568342e-13,1.5079922282165566e-12,4.0077140440070513e-14,-1.9367693378619817e-13,-9.301837823310104e-16,8.47136999828525e-15,-6.05340155025679e-17,3.630576530434327e-17,6.134953504528007e-18,-2.4567784297293302e-17,-2.405374913619718e-19,1.3236656684027907e-18,2.7276026227960997e-21,-2.3751083628717893e-20,2.2859083925504047e-22,-9.216412825421623e-22,-1.5309059139535228e-23,7.142976471282705e-23,4.508851409211376e-25,-1.803673621630729e-24,-2.990467456263217e-27,-5.32339823591497e-27,-3.2448372451836824e-28,1.8013802428176613e-27,1.5058555136633772e-29,-5.10032433773651e-29,-2.5372483834344287e-31,1.7525577300150946e-32,-4.1074410711516136e-33,3.6376484964368944e-32,2.9109959736166976e-34,-6.006147455329486e-34,-2.758557372064541e-36,-2.3999382176675313e-35,-1.865205498512692e-37,-1.5557235529543828e-37,-1.3659529190260572e-39
31265029748469120,0,-2.52398056765328e-07,4.9735855317657386e-08,-9.903039312541336e-07,3.7289319696168594e-08,-3.051623470914378e-07,-2.3956276416096022e-09,3.753620133551237e-08,-9.727850302358682e-10,4.543473170687933e-09,1.4806813892056849e-10,-7.49733071430594e-10,-2.118141346635621e-12,2.5609865637345165e-11,-1.0469393687636388e-12,2.403674709380423e-12,9.177107598243417e-14,-3.116046140565891e-13,-2.197628147279348e-15,1.3720602655466755e-14,-1.346005973065511e-16,5.138909118364476e-17,1.3914077249358503e-17,-3.9282953316987006e-17,-5.510622699226913e-19,2.1300555154754073e-18,6.532209672455383e-21,-3.8702699082431665e-20,5.060990373735861e-22,-1.457533470297125e-21,-3.456116433637974e-23,1.1436360786388084e-22,1.0285279553762471e-24,-2.90672809119576e-24,-7.34303830307413e-27,-7.786076756133315e-27,-7.204763413805989e-28,2.8728515302180068e-27,3.4063256052733807e-29,-8.182132191859788e-29,-5.800813118027306e-31,4.047848392618684e-32,-9.017029367870487e-33,5.800743027799536e-32,6.5501592513377515e-34,-9.637160183911212e-34,-6.304889638619511e-36,-3.825526690431426e-35,-4.182969048049224e-37,-2.473582761337e-37,-3.048388401813572e-39
35928500943041152,1,6.393887493370882e-08,5.225939047076418e-09,2.517045136028612e-07,3.908571400974265e-09,7.80605021861408e-08,-2.5086775904885643e-10,-9.493043918108785e-09,-1.0163103967454209e-10,-1.1714315165819606e-09,1.5363638872239466e-11,1.9130053821414102e-10,-2.147451362542798e-13,-6.417295275345778e-12,-1.0653354659793075e-13,-6.248957442671311e-13,9.434768744665267e-15,7.992551923844021e-14,-2.396025026894152e-16,-3.4852709561090175e-15,-1.3719517649720372e-17,-1.5808632746291562e-17,1.4290664552533625e-18,1.0167258963702708e-17,-5.690898593875266e-20,-5.461803076147168e-19,7.001686296595574e-22,9.742155507642696e-21,5.000936388017032e-23,3.8339648606163855e-22,-3.521508166572265e-24,-2.9544594992863e-23,1.0593076366384591e-25,7.4370417985512755e-25,-8.893816908036909e-28,2.293506223093122e-27,-7.16505956489229e-29,-7.465215739225231e-28,3.5696986625672476e-30,2.1076441799681488e-29,-6.024542100025457e-32,-5.671845541821278e-33,-8.967084922537774e-34,-1.507694661010537e-32,6.749448784145744e-35,2.4817609915130264e-34,-6.543593792938203e-37,9.949479315572031e-36,-4.2776644227025744e-38,6.457939320149761e-38,-3.102350863172298e-40
