source_id,y,c000,c001,c002,c003,c004,c005,c006,c007,c008,c009
1792620565667968,0,-3.667782187168462e-11,2.758089003949878e-10,-8.501081463934315e-10,1.2990199842226748e-09,-7.640267402589598e-10,-5.967974734612567e-10,1.4364999929641404e-09,-1.1237239366754675e-09,4.255381163145741e-10,-6.553281374206748e-11
6052403489630720,0,-2.0112266535185012e-10,1.5139922745989927e-09,-4.671424059191093e-09,7.146378312447447e-09,-4.210989166487056e-09,-3.279945423439011e-09,7.912777104074385e-09,-6.195901366485387e-09,2.3480649425815756e-09,-3.618295707648025e-10
10844075163628928,0,-3.5135270631183764e-11,2.6344983955086684e-10,-8.096820337470568e-10,1.2334400769256079e-09,-7.218461270494277e-10,-5.681525254131907e-10,1.3593365513358122e-09,-1.060638082383345e-09,4.008601886251868e-10,-6.163256603953364e-11
11015044926034816,0,1.5587061183880485e-10,-1.1654401575794978e-09,3.570199011790478e-09,-5.4166682089208144e-09,3.1454533168005035e-09,2.507441776083154e-09,-5.9364192771766086e-09,4.606902907402566e-09,-1.7322795283133894e-09,2.649395977984361e-10
11963171843658240,0,4.683427233341808e-12,-3.285560368168916e-11,9.353716342922864e-11,-1.2935170431421296e-10,6.204920610318258e-11,6.593761797587304e-11,-1.244935158517969e-10,8.471168977761568e-11,-2.7894998990833847e-11,3.676761244377587e-12
16615171179593088,0,3.3716785207939715e-10,-2.524021307490433e-09,7.741954271264432e-09,-1.1763347595129894e-08,6.848843488978259e-09,5.437197545225194e-09,-1.291566307992363e-08,1.0039102591591072e-08,-3.7801576868958755e-09,5.7892398722104e-10
25501939551450880,0,3.126344881698961e-09,-2.336693530968391e-08,7.154741008744627e-08,-1.0847798725053777e-07,6.290402365370614e-08,5.026481153805412e-08,-1.1876397200489967e-07,9.206282124763231e-08,-3.45786446833209e-08,5.2821302316630105e-09
30269452033850624,0,-2.2894176050308254e-09,1.719122782528271e-08,-5.2903851709721466e-08,8.068825148367566e-08,-4.72938884986772e-08,-3.714937014212092e-08,8.900929858234301e-08,-6.94710351691e-08,2.6253493668131388e-08,-4.0347070758348e-09
31265029748469120,0,-5.210173275988856e-10,3.915374160947109e-09,-1.2059385470072655e-08,1.8411522435980646e-08,-1.0811577962902672e-08,-8.467099220153767e-09,2.033694309403073e-08,-1.5892056337987046e-08,6.012298021298928e-09,-9.250011519776733e-10
35928500943041152,1,2.2803418055942e-10,-1.7094414342310404e-09,5.2510879188659384e-09,-7.991962284422926e-09,4.666589233702643e-09,3.687912821321936e-09,-8.792586451553881e-09,6.846111714269013e-09,-2.5816790722222177e-09,3.9593343566392354e-10
36876009385300352,0,-1.25359934505307e-10,9.399757220125036e-10,-2.888313198173578e-09,4.397737759628801e-09,-2.5700927543278294e-09,-2.0281417948865826e-09,4.841339869406573e-09,-3.772094921014862e-09,1.4234008990935508e-09,-2.1845161890144556e-10
44951132016854016,0,1.9997703433394576e-10,-1.499582400614839e-09,4.60792208264372e-09,-7.015590423445835e-09,4.098951375404357e-09,3.23628514524588e-09,-7.721627986697207e-09,6.014288653700859e-09,-2.268636754970901e-09,3.480132960719246e-10
