source_id,y,c000,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018,c019
1792620565667968,0,4.830257170023007e-10,-2.494585961221507e-09,3.9554583231697725e-09,-3.760770324448032e-10,-3.0445251227796753e-09,-1.110748390367899e-09,2.2653410040189433e-09,3.1053340818138926e-09,-3.3935879531301035e-11,-3.5265894877624367e-09,-2.7454921547541553e-09,1.3533726503186338e-09,3.848433731693898e-09,1.85483382420626e-09,-2.6070089842778693e-09,-4.031912674743792e-09,9.605502166830722e-10,5.612350219444771e-09,-4.48564390568014e-09,1.0178198868742977e-09
6052403489630720,0,5.038336359408585e-09,-2.5979819019995484e-08,4.1101719772260915e-08,-3.803507445066556e-09,-3.1607623978502986e-08,-1.163813881938309e-08,2.3409003748065458e-08,3.225764332280691e-08,-1.8640464159873846e-10,-3.646401860428654e-08,-2.8550464122619497e-08,1.383942492804716e-08,3.9790390891400705e-08,1.932073621242077e-08,-2.681175160875807e-08,-4.1696319725987734e-08,9.768526547157649e-09,5.7934745368141215e-08,-4.6183997737798256e-08,1.0461518937305616e-08
10844075163628928,0,1.3782475577557824e-09,-7.1556208180043615e-09,1.1432743456730905e-08,-1.1864955792102009e-09,-8.826077451006477e-09,-3.1172991865923437e-09,6.672357419423746e-09,8.982927326823922e-09,-2.6045645114710177e-10,-1.0366789020700888e-08,-7.910155968558806e-09,4.131503158857996e-09,1.131509265073773e-08,5.310259397806746e-09,-7.80990709221883e-09,-1.1846484456772449e-08,2.9909806139159036e-09,1.6599636127657017e-08,-1.3392317671366947e-08,3.0578560384600417e-09
11015044926034816,0,4.05261486397829e-09,-2.0937147584990422e-08,3.3217773065131127e-08,-3.1837293942852816e-09,-2.5572803293923993e-08,-9.301272867263675e-09,1.9056739945324834e-08,2.6075464971383187e-08,-3.3425049278171805e-10,-2.9662259918283527e-08,-2.3040854667134774e-08,1.1434697731600287e-08,3.237158729232921e-08,1.5551666650503557e-08,-2.1982782865256308e-08,-3.391366062894554e-08,8.1448484043903e-09,4.725223813238061e-08,-3.7818937403896596e-08,8.590068111581625e-09
11963171843658240,0,1.7856399979324557e-09,-9.22658702415935e-09,1.4641263035445442e-08,-1.4061170312127856e-09,-1.127260964923588e-08,-4.097432967696043e-09,8.403036627420793e-09,1.1494073901618353e-08,-1.5087775418862761e-10,-1.307883876076278e-08,-1.0156198978269374e-08,5.0444832139479564e-09,1.4273273546996737e-08,6.854911062799858e-09,-9.694430763764548e-09,-1.4952865970171118e-08,3.592799879310925e-09,2.0834681110548012e-08,-1.667590607798481e-08,3.787702645242445e-09
16615171179593088,0,7.214856542504578e-09,-3.7326046000637486e-08,5.933835504902705e-08,-5.823360217244274e-09,-4.571786925191204e-08,-1.648797851902649e-08,3.4212439288928715e-08,4.659014288880813e-08,-8.187237751106303e-10,-5.322446132628774e-08,-4.112485877862538e-08,2.0726093347085918e-08,5.808883320450594e-08,2.771183721552329e-08,-3.964332553703467e-08,-6.084490911057279e-08,1.4841520353386352e-08,8.492412682994291e-08,-6.813925471265897e-08,1.5502582581335387e-08
25501939551450880,0,1.372992438183752e-07,-7.107520760525135e-07,1.1308807404687343e-06,-1.1207202002932284e-07,-8.716025649914289e-07,-3.132374404046851e-07,6.533861656830613e-07,8.880486781042904e-07,-1.7309903599709947e-08,-1.0162465333093462e-06,-7.835720301372777e-07,3.972884670137818e-07,1.1091329234417302e-06,5.276914122829085e-07,-7.583621216861016e-07,-1.1616616131169422e-06,2.8498793776205955e-07,1.6224212919389e-06,-1.302923618740756e-06,2.9660306404758366e-07
30269452033850624,0,2.1331869323401467e-08,-1.0992081376171555e-07,1.73720473455225e-07,-1.5857931905383628e-08,-1.33540396843473e-07,-4.94027481227973e-08,9.8665425918636e-08,1.363388210737717e-07,-4.086008125904692e-10,-1.5373311489734804e-07,-1.2075473508552665e-07,5.797293639359184e-08,1.6774705048295507e-07,8.180921974332933e-08,-1.1266309738793506e-07,-1.757973714487839e-07,4.0746929992257224e-08,2.4396827940675616e-07,-1.941461160948055e-07,4.392392193035666e-08
31265029748469120,0,-2.7255370498342957e-10,1.4805114663291596e-09,-2.5173811784084715e-09,4.370368150657989e-10,1.9883329013443298e-09,5.192361239484112e-10,-1.6899932153228945e-09,-1.9866755990861915e-09,3.5096981719783453e-10,2.590897260956431e-09,1.6889085974481088e-09,-1.3092735765131163e-09,-2.8332322579232294e-09,-1.0686760903060294e-09,2.2215866362114192e-09,2.9529546928725996e-09,-1.058258701784189e-09,-4.3430837929718176e-09,3.738173653521752e-09,-8.894796084005395e-10
35928500943041152,1,5.577973154230732e-09,-2.888791924465793e-08,4.599303772570946e-08,-4.59201474419168e-09,-3.545689208106489e-08,-1.2707084923707724e-08,2.661601971862884e-08,3.611879930496522e-08,-7.607116364486719e-10,-4.1390490237509454e-08,-3.185787011354745e-08,1.623490589328529e-08,4.517464494415497e-08,2.144197019674702e-08,-3.093953654436473e-08,-4.731149892433942e-08,1.1667519679879437e-08,6.611686930556881e-08,-5.314226704645687e-08,1.2104545639597489e-08
36876009385300352,0,-9.529700566105546e-10,4.929422795565122e-09,-7.835128640328527e-09,7.679698344646284e-10,6.036095390144759e-09,2.1774647061755426e-09,-4.516375868089051e-09,-6.150876613740976e-09,1.0794884293827644e-10,7.0264788137009986e-09,5.42876200631541e-09,-2.736941680859405e-09,-7.668944696784166e-09,-3.6573962565105784e-09,5.2353750974076506e-09,8.033023541756894e-09,-1.9618710925921794e-09,-1.1214118743285665e-08,9.000281310555435e-09,-2.0481986626298953e-09
44951132016854016,0,5.292608449625963e-09,-2.7405318611856216e-08,4.3621651516023234e-08,-4.342681071748457e-09,-3.362547818273552e-08,-1.206377436365903e-08,2.522792869788681e-08,3.425573733615569e-08,-7.007385794452036e-10,-3.923440511449376e-08,-3.0218750089931196e-08,1.5369686313744445e-08,4.282110759502977e-08,2.0343195148785087e-08,-2.930904226348088e-08,-4.484761949533707e-08,1.103817833480805e-08,6.265947766898816e-08,-5.0347200688818275e-08,1.1465437426295398e-08
46608061680943872,0,4.384257162501509e-09,-2.2731490705346554e-08,3.625008347534184e-08,-3.6861838732580964e-09,-2.7963717327569638e-08,-9.952911546489274e-09,2.106160232457939e-08,2.8473027259716337e-08,-7.079576727902507e-10,-3.273913014698668e-08,-2.509318175895811e-08,1.2942214695843624e-08,3.573361097872698e-08,1.6866856619802792e-08,-2.4568186475868677e-08,-3.7418420971489205e-08,9.337816291138803e-09,5.236265217579179e-08,-4.216796529201026e-08,9.617024839131733e-09
56252977678408192,0,2.6387548580086995e-09,-1.3656537211731645e-08,2.1721647550560322e-08,-2.144913177659432e-09,-1.6739102236445728e-08,-6.023213098111545e-09,1.254049567262193e-08,1.705579932038784e-08,-3.2147924915820717e-10,-1.9506638711640916e-08,-1.505067767575869e-08,7.616631368728582e-09,2.1289763932382572e-08,1.0137162954318071e-08,-1.454903430983773e-08,-2.2298836649838586e-08,5.462170478733068e-09,3.113853310061876e-08,-2.500126614952701e-08,5.690739267227616e-09
63139734399542528,0,1.8397125945996182e-09,-9.499979551620177e-09,1.5061110293556457e-08,-1.4301745988941806e-09,-1.1591683192963716e-08,-4.2303641321114995e-09,8.623571915082064e-09,1.1822806446386251e-08,-1.281237640536537e-10,-1.3425371855752313e-08,-1.0452204039510339e-08,5.15231809185768e-09,1.4650972913141153e-08,7.0606233178387e-09,-9.926215280657599e-09,-1.534980991268688e-08,3.659156962897238e-09,2.1368753163643948e-08,-1.7081594645282742e-08,3.8764953109114935e-09
64368713521485568,0,9.341721281747873e-09,-4.842253772815967e-08,7.719115175233812e-08,-7.8164266612297e-09,-5.9537556059711506e-08,-2.122490158088047e-08,4.4807355699424787e-08,6.062861667751842e-08,-1.4530921417512119e-09,-6.965724858055221e-08,-5.344274848343809e-08,2.748534660898018e-08,7.602757662825639e-08,3.5934279269690376e-08,-5.222305426525769e-08,-7.961478807105976e-08,1.981092876058578e-08,1.1137421786817696e-07,-8.964788528606542e-08,2.0439044488351475e-08
69784942159807232,0,1.0977538848175567e-11,-2.5889461102638134e-11,-2.9747740296473824e-11,8.39911881637563e-11,4.4387449140285e-11,-6.755118308080184e-11,-1.1872323879624517e-10,-2.9530357199002575e-11,1.3243228170275284e-10,1.6810264581345064e-10,3.0401925678792784e-13,-1.8898270200427091e-10,-1.8518189226225025e-10,2.7147639229011714e-11,2.4300808642052256e-10,1.8739845368521034e-10,-1.814987932687724e-10,-3.4962337991845544e-10,3.808015767389204e-10,-1.018221048371925e-10
69886853143994496,0,6.161049183326358e-09,-3.18781106502284e-08,5.068644182917729e-08,-4.984141870289305e-09,-3.9054645538121246e-08,-1.4074915284906007e-08,2.9236348524323254e-08,3.9798093486977654e-08,-7.148473478552902e-10,-4.548104639829476e-08,-3.512674839073718e-08,1.772489576189708e-08,4.963779674018212e-08,2.366709186081504e-08,-3.388888587870996e-08,-5.199204537687628e-08,1.269713943773258e-08,7.257735591008777e-08,-5.8243632516869626e-08,1.3252806572997686e-08
