source_id,y,c000,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018,c019,c020,c021,c022,c023,c024,c025,c026,c027,c028,c029
1792620565667968,0,-5.7915319557043e-10,2.229024652956e-09,-1.809442544626846e-09,-1.6406821686344236e-09,6.751544918774091e-10,1.9276743774810815e-09,1.4329382774066403e-09,-3.896685509898717e-10,-2.10716312315514e-09,-2.117363564546758e-09,-3.8789218677185355e-10,1.539580994106006e-09,2.3174079513655986e-09,1.6604877578355515e-09,7.907329535860297e-11,-1.5650345095135952e-09,-2.4020581612399867e-09,-1.8846616924614693e-09,-1.250162662945099e-10,1.9438271948106223e-09,2.9069770925875247e-09,1.8125910558777115e-09,-8.384463538942081e-10,-3.0625426799745328e-09,-2.7370238204507036e-09,4.256401191164801e-10,3.6518875501696195e-09,2.2173522765706016e-09,-4.6639926211788385e-09,1.4905244137109938e-09
6052403489630720,0,-7.287603984030156e-09,2.8036735163177876e-08,-2.273748356690513e-08,-2.0645091851522493e-08,8.465056343026762e-09,2.4228773945298796e-08,1.8034631050734346e-08,-4.862837779372147e-09,-2.646562031362755e-08,-2.6629088472450882e-08,-4.918789870489441e-09,1.9308408642124968e-08,2.9111181602298497e-08,2.0889927306935342e-08,1.0404870679287995e-09,-1.9618247404833018e-08,-3.0159332995569504e-08,-2.369755324787241e-08,-1.6244945071671617e-09,2.4358505877969877e-08,3.648762377614565e-08,2.2794344360923398e-08,-1.0462297673567225e-08,-3.840059990731589e-08,-3.436675535942258e-08,5.283941051549757e-09,4.57810689142874e-08,2.784219837057624e-08,-5.845692847052494e-08,1.8669842317969164e-08
10844075163628928,0,-1.094750470517943e-09,4.215867824297485e-09,-3.4272259110553395e-09,-3.100819090558567e-09,1.2833241968977747e-09,3.6496119427898127e-09,2.706866485140557e-09,-7.465316544284428e-10,-3.9940714436959685e-09,-4.004180608726639e-09,-7.228310048827976e-10,2.9258292460515594e-09,4.39116858632203e-09,3.137834575584269e-09,1.3664486357933846e-10,-2.977246914614906e-09,-4.555777783147575e-09,-3.564463392501567e-09,-2.2094078011932104e-10,3.700905692290481e-09,5.5169088888572086e-09,3.426774699629802e-09,-1.6103924290081072e-09,-5.824804823683743e-09,-5.190681491222322e-09,8.267104396474608e-10,6.949518418709231e-09,4.204979000430062e-09,-8.880408332338643e-09,2.8421813233882855e-09
11015044926034816,0,-1.2205385823378505e-09,4.744883973734601e-09,-3.937830555545802e-09,-3.4614637466194246e-09,1.5424531379070164e-09,4.1752119137806725e-09,3.0128007036578514e-09,-9.750026775173944e-10,-4.637130799972811e-09,-4.5292306429939435e-09,-6.819002422186076e-10,3.4916167077819714e-09,5.082399839947856e-09,3.5312378477490786e-09,6.184089618059263e-12,-3.5792937790796303e-09,-5.322050598883594e-09,-4.056184827920357e-09,-8.844992061748834e-11,4.46820084275729e-09,6.478001659947255e-09,3.893817332755493e-09,-2.0738466926642273e-09,-6.9543432770795565e-09,-6.056787954714218e-09,1.1393637096249948e-09,8.31724691972252e-09,4.904559069625645e-09,-1.0656433080151543e-08,3.4425096822649464e-09
11963171843658240,0,-1.1209616310824947e-09,4.327272106753026e-09,-3.5363220974823843e-09,-3.1765763632821676e-09,1.3395623973899178e-09,3.7619085103191615e-09,2.7714763366195555e-09,-7.964161777589846e-10,-4.132255242490833e-09,-4.116445551667698e-09,-7.134843176925082e-10,3.04765668755423e-09,4.539760456430363e-09,3.2224795597042237e-09,1.0888034242305402e-10,-3.1063222360293942e-09,-4.720443590924078e-09,-3.6707488017473487e-09,-1.9371484750107816e-10,3.864452074425031e-09,5.72297179413692e-09,3.5283276509248124e-09,-1.7073651141866181e-09,-6.065067383227894e-09,-5.3766690032229946e-09,8.907217095492907e-10,7.239104283134164e-09,4.3551966496738565e-09,-9.254914752590509e-09,2.967936596224316e-09
16615171179593088,0,-2.6759167595759083e-09,1.0370143967126151e-08,-8.548265820627848e-09,-7.585433607461997e-09,3.3005805189289616e-09,9.076169419655334e-09,6.608342330246706e-09,-2.0343526463425396e-09,-1.0032403187259282e-08,-9.881680168883443e-09,-1.5839292069646321e-09,7.488719881924673e-09,1.1006522064131856e-08,7.71664710751058e-09,1.1810152642779868e-10,-7.659527447246082e-09,-1.1491611266556542e-08,-8.83157194471709e-09,-3.060893595000873e-10,9.549884738302907e-09,1.3965231955842466e-08,8.481555004915802e-09,-4.348207219669608e-09,-1.491549344312689e-08,-1.3082881666699759e-08,2.3438907256887864e-09,1.7826260717580753e-08,1.0595419073971693e-08,-2.282223339280861e-08,7.3521281786090736e-09
25501939551450880,0,-1.1384870909117427e-07,4.386334529107957e-07,-3.569149268762858e-07,-3.225347696377042e-07,1.339067231515815e-07,3.800254000704315e-07,2.815676163168962e-07,-7.815374852918033e-08,-4.1614501510003284e-07,-4.168150331496491e-07,-7.482510429906224e-08,3.0512950393436123e-07,4.5747910169303803e-07,3.2663061835309354e-07,1.383633902452928e-08,-3.1051593822577895e-07,-4.747594404628179e-07,-3.7120799003544024e-07,-2.266092169436189e-08,3.8595843033456e-07,5.749694930524071e-07,3.5690360232701667e-07,-1.6812780256546766e-07,-6.072062224376397e-07,-5.408896560351027e-07,8.636089161040512e-08,7.243889635654596e-07,4.381681437036098e-07,-9.255984301746711e-07,2.9624543081341534e-07
30269452033850624,0,-4.919530387179467e-08,1.8905675346438666e-07,-1.5294781067761768e-07,-1.3934795324294025e-07,5.6623309386663506e-08,1.6306549117995092e-07,1.21772170969974e-07,-3.215883833007295e-08,-1.778017152928296e-07,-1.794659684945262e-07,-3.379077384156704e-08,1.2926882879334922e-07,1.9565046440975226e-07,1.4087543367000394e-07,7.716932349471724e-09,-1.3121432134800137e-07,-2.024610084464665e-07,-1.5959955044818753e-07,-1.1719987557525837e-08,1.6282287294873155e-07,2.4478265193823683e-07,1.5354668968712848e-07,-6.930235903409337e-08,-2.570580048019223e-07,-2.307380463681998e-07,3.462710427979253e-08,3.063596995826832e-07,1.8694196926575635e-07,-3.9103995372505986e-07,1.247312249361398e-07
31265029748469120,0,-2.442855223491714e-09,9.3741274892022e-09,-7.55807263861421e-09,-6.919258184356189e-09,2.77583229678884e-09,8.064535099800089e-09,6.050550526591469e-09,-1.5497437668560274e-09,-8.770960638554968e-09,-8.89428466712391e-09,-1.7215297172127954e-09,6.3437689133932034e-09,9.657225947838706e-09,6.989437102238676e-09,4.355296165705683e-10,-6.428527314140785e-09,-9.975865820055561e-09,-7.903859805924503e-09,-6.409329509552795e-10,7.967962778441817e-09,1.2048291991084902e-08,7.607634878083882e-09,-3.3396919050786597e-09,-1.2606669353502623e-08,-1.1371446755402703e-08,1.6364132866683763e-09,1.5013783654550207e-08,9.213798618029858e-09,-1.9149349473879842e-08,6.094156256055951e-09
35928500943041152,1,-3.252798829376783e-09,1.2554497882033337e-08,-1.0256311639293452e-08,-9.216459126023316e-09,3.882737009596896e-09,1.0910688144695885e-08,8.040334097289908e-09,-2.3067037549786097e-09,-1.1982603085600143e-08,-1.1939069760389365e-08,-2.0715740838491064e-09,8.836099614911496e-09,1.3164257221706707e-08,9.345176972243818e-09,3.164647614496894e-10,-9.007179615679516e-09,-1.368784857447425e-08,-1.0643585420022548e-08,-5.603573907009119e-10,1.1207511077731793e-08,1.6595616921248745e-08,1.022925644960837e-08,-4.9551931877265595e-09,-1.7591175419943776e-08,-1.5590983265908535e-08,2.5887034650372446e-09,2.0999450514480384e-08,1.2628983970331263e-08,-2.6850590090805947e-08,8.612655210514159e-09
36876009385300352,0,-2.9000870039139334e-10,1.0981139308715464e-09,-8.584854836503362e-10,-8.201932170395382e-10,2.9232133425708555e-10,9.222467899019923e-10,7.20390361242797e-10,-1.3618700445034375e-10,-9.800953198075025e-10,-1.0348843793368294e-09,-2.463747083689141e-10,6.76318012349688e-10,1.0845927181202486e-09,8.196320804727161e-10,1.0137417979504172e-10,-6.758917512280964e-10,-1.1034352424155187e-09,-9.118285327403645e-10,-1.301527123649806e-10,8.306310248831334e-10,1.3209817053886133e-09,8.798549764683746e-10,-3.0157357931201046e-10,-1.3414654337318597e-09,-1.2601481958969528e-09,1.1948082419004117e-10,1.5898976782938307e-09,1.021750531384343e-09,-2.017132629004644e-09,6.302707697828835e-10
44951132016854016,0,-3.6022307518969387e-09,1.3891277064039176e-08,-1.1326596193202847e-08,-1.0205876618181057e-08,4.269384233626348e-09,1.2054441900517956e-08,8.906432706465557e-09,-2.5149889757230418e-09,-1.3220115696713764e-08,-1.3205488445427317e-08,-2.3296266811868946e-09,9.72201147003327e-09,1.4528343234216936e-08,1.0342170948934892e-08,3.927222449916359e-10,-9.902257071535288e-09,-1.5092174311965874e-08,-1.176678949563944e-08,-6.672375237373128e-10,1.2314922194294265e-08,1.8288387176994726e-08,1.1310973508203915e-08,-5.406267773568728e-09,-1.9350947703586983e-08,-1.7192405227195597e-08,2.801792664501929e-09,2.309308011577553e-08,1.3926738809878651e-08,-2.9517932379659283e-08,9.458256604337462e-09
46608061680943872,0,-3.0655037786869927e-09,1.1816045045832697e-08,-9.624979205211809e-09,-8.684266010043752e-09,3.6201798259440407e-09,1.024536468093607e-08,7.579164220145015e-09,-2.124053863642255e-09,-1.1228360800896e-08,-1.1228955452142375e-08,-1.995602815489719e-09,8.24713992620822e-09,1.234108418354449e-08,8.79562390789147e-09,3.4929598002425387e-10,-8.397763989200678e-09,-1.2814917399826766e-08,-1.0002046623340399e-08,-5.832322149693716e-10,1.0442730310151026e-08,1.5525782537924148e-08,9.614656134746403e-09,-4.572653580222965e-09,-1.6417553972873444e-08,-1.4599069862750556e-08,2.3636596948729588e-09,1.9591551666424112e-08,1.182622093502814e-08,-2.5040715475138418e-08,8.021176048057778e-09
56252977678408192,0,-8.929760074957296e-10,3.463391786085205e-09,-2.860043017798071e-09,-2.531438066822113e-09,1.1086269535598766e-09,3.0354352821248736e-09,2.2046233838192616e-09,-6.882622878752516e-10,-3.359602741907374e-09,-3.3012850428352047e-09,-5.200449063669951e-10,2.5140578626151355e-09,3.6847318492644554e-09,2.576575306826216e-09,2.923328701949936e-11,-2.5733096322660616e-09,-3.850445276544912e-09,-2.9517508317755056e-09,-9.08162906094037e-11,3.209952896738004e-09,4.681636162592874e-09,2.8341763479793937e-09,-1.4706698540891612e-09,-5.008491885018891e-09,-4.383195315085102e-09,7.980161770142173e-10,5.987688319275208e-09,3.5496764999040808e-09,-7.66819603758227e-09,2.4727051136390555e-09
63139734399542528,0,-2.39966862263775e-09,9.23324483150538e-09,-7.490544296043022e-09,-6.7979371130404756e-09,2.7909024892664877e-09,7.981131911571295e-09,5.937862310100588e-09,-1.6060039663031526e-09,-8.72020239604438e-09,-8.769787502656858e-09,-1.6149929510753877e-09,6.365432649225472e-09,9.591262540071138e-09,6.878762140035564e-09,3.3692351545963966e-10,-6.468834657857351e-09,-9.93847751594854e-09,-7.804724764826164e-09,-5.282915249560946e-10,8.033048302755306e-09,1.202532879925256e-08,7.506748354605974e-09,-3.456232422117198e-09,-1.2661102275508912e-08,-1.1324743462023647e-08,1.749355348883723e-09,1.5095969257850678e-08,9.174653625740252e-09,-1.9277619619695832e-08,6.158537051872628e-09
64368713521485568,0,-7.0237610406377734e-09,2.7065425609872752e-08,-2.2032146846811817e-08,-1.989742992552164e-08,8.274319866806927e-09,2.34558540262293e-08,1.7367634636039617e-08,-4.8400211560518105e-09,-2.569377111783154e-08,-2.571808207058971e-08,-4.596918221396265e-09,1.8853469912532524e-08,2.8243196116711942e-08,2.0149166753089132e-08,8.297129227051604e-10,-1.9191971626686397e-08,-2.9317831712484663e-08,-2.2904594883485915e-08,-1.3692886265228311e-09,2.386058293212602e-08,3.5512623071024266e-08,2.2019332484711325e-08,-1.042009168062439e-08,-3.752736772611095e-08,-3.3400832701019464e-08,5.369429968746941e-09,4.47768604012279e-08,2.7057304523521385e-08,-5.722346518809025e-08,1.8322661478856292e-08
69784942159807232,0,1.2329032112734652e-09,-4.7247018985930404e-09,3.79846531910926e-09,3.4905768211865683e-09,-1.3862134020653196e-09,-4.0549012857252165e-09,-3.0525324695053336e-09,7.644246437469201e-10,4.4014032273037906e-09,4.477332457162206e-09,8.8200498625129e-10,-3.1726306353941483e-09,-4.847689345901597e-09,-3.519248215480801e-09,-2.3451476379787085e-10,3.2131897088229463e-09,5.00237958446591e-09,3.9738118654967376e-09,3.3726599454951285e-10,-3.982514927332903e-09,-6.038889648461188e-09,-3.824180538085772e-09,1.6592073249925017e-09,6.310361929660224e-09,5.703084457164456e-09,-8.084335208738787e-10,-7.516030901360023e-09,-4.621165583666469e-09,9.586776421231223e-09,-3.049540790441331e-09
69886853143994496,0,-1.7151255550437885e-09,6.668605209683127e-09,-5.536809597695709e-09,-4.863301308469349e-09,2.1712569473640575e-09,5.869489081744833e-09,4.231688188574006e-09,-1.3760022944626525e-09,-6.521493480245488e-09,-6.363867671904312e-09,-9.50924923913419e-10,4.915498494138657e-09,7.146678575994789e-09,4.959524807736732e-09,-6.335822100819876e-13,-5.041438209720515e-09,-7.486612873726645e-09,-5.698534595930166e-09,-1.1232416849511632e-10,6.296333005720271e-09,9.115486747825054e-09,5.468957437581932e-09,-2.9333263302841384e-09,-9.796037706045642e-09,-8.520009685589608e-09,1.618744298172394e-09,1.1719593929661477e-08,6.899077757645303e-09,-1.502030463279646e-08,4.855812190348203e-09
74703607425569024,0,-2.541705994053769e-09,9.841386159061936e-09,-8.097389156159096e-09,-7.203471446418074e-09,3.1143320563187113e-09,8.600377161258646e-09,6.276532104087508e-09,-1.906658323217782e-09,-9.494408073042478e-09,-9.371889873557826e-09,-1.5251951043484694e-09,7.071462140233268e-09,1.0418748262303372e-08,7.3207570969359346e-09,1.3605129665312804e-10,-7.229332092578967e-09,-1.087003105787089e-08,-8.370369544000533e-09,-3.151115580763487e-10,9.011880603589732e-09,1.3205153629741336e-08,8.038707311992143e-09,-4.085686316331835e-09,-1.4088040755434339e-08,-1.2376500675175518e-08,2.193655086368092e-09,1.6836116447881806e-08,1.0023675968664316e-08,-2.155242935723024e-08,6.9393841588608424e-09
78846635958426496,0,-1.2959686649373742e-08,4.9880005836063625e-08,-4.049621428173879e-08,-3.670918321234805e-08,1.511698429379412e-08,4.3138337499253095e-08,3.2055685023254325e-08,-8.736459285728963e-09,-4.716228230907943e-08,-4.737116852298437e-08,-8.654546617563436e-09,3.447576959345582e-08,5.18639503902368e-08,3.7140581783261124e-08,1.7358087191454318e-09,-3.5056274997142665e-08,-5.37688145018229e-08,-4.215888617897136e-08,-2.7512956128918345e-09,4.355437565053496e-08,6.508229080406423e-08,4.053934486870997e-08,-1.8833796955258075e-08,-6.860834101248011e-08,-6.126611509187833e-08,9.595453783570636e-09,8.182942106206027e-08,4.963315993556412e-08,-1.04530827135911e-07,3.342272333619844e-08
79376016447500416,0,-4.368762659071378e-09,1.6793024547590364e-08,-1.3593118657740293e-08,-1.2374630660327837e-08,5.038927675697785e-09,1.4490340392702034e-08,1.081250529576362e-08,-2.8698629329828247e-09,-1.5806466980035423e-08,-1.5942002250964936e-08,-2.987473785613913e-09,1.1501940882933941e-08,1.7391443951315596e-08,1.2511519833019206e-08,6.692468197071161e-10,-1.1678456531940226e-08,-1.8002203841524692e-08,-1.4178786418621805e-08,-1.0224674183148292e-09,1.4494736420082773e-08,2.1769369206140608e-08,1.3639854318872508e-08,-6.185632805123608e-09,-2.2875484290603776e-08,-2.0515878922472204e-08,3.10090839179267e-09,2.7266394930417555e-08,1.662157274041092e-08,-3.480774920775432e-08,1.1107192105102693e-08
80762260092162688,0,-1.150380118490893e-08,4.4450549760561945e-08,-3.640709975479489e-08,-3.2596283836155394e-08,1.3862834377470237e-08,3.8706941367371485e-08,2.8422626784908132e-08,-8.329608472113306e-09,-4.259041462558805e-08,-4.2289008625342036e-08,-7.16894978323578e-09,3.1524116102060014e-08,4.6770184591366965e-08,3.307456355550943e-08,9.310121903222043e-10,-3.217123083303851e-08,-4.869266930889361e-08,-3.772325255789026e-08,-1.7714014187869713e-09,4.006063038102756e-08,5.908162573594705e-08,3.624340368385824e-08,-1.7887920744938748e-08,-6.278386925009913e-08,-5.545498683018499e-08,9.449500657066277e-09,7.498305058920555e-08,4.4917046808621776e-08,-9.592249952663114e-08,3.081491065091399e-08
83757226686850816,0,-2.4934104899152817e-09,9.586920919877793e-09,-7.764911373484325e-09,-7.0626369118327245e-09,2.882598811752116e-09,8.276194914044379e-09,6.170269169079299e-09,-1.646805368645033e-09,-9.032096538861673e-09,-9.101729499918712e-09,-1.6967212069836964e-09,6.578697757655323e-09,9.936660008504817e-09,7.141632275096506e-09,3.7190556417390377e-10,-6.681764208936983e-09,-1.0288965697683283e-08,-8.096028815585146e-09,-5.720984550091069e-10,8.294949543459975e-09,1.2444560237975568e-08,7.787534115036356e-09,-3.5500173704365394e-09,-1.3085890914121135e-08,-1.1725187180627365e-08,1.7860631333859038e-09,1.5599959292678524e-08,9.499372679301942e-09,-1.991759553251367e-08,6.358541200955612e-09
