source_id,y,c000,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018,c019,c020,c021,c022,c023,c024,c025,c026,c027,c028,c029,c030,c031,c032,c033,c034,c035,c036,c037,c038,c039
1792620565667968,0,-1.1672670412688277e-09,3.740830275728347e-09,-1.5705369335965383e-09,-3.340325172522564e-09,-7.459322091050711e-10,1.9865221512440943e-09,3.1705118810659287e-09,2.117899524365916e-09,-6.575981552222471e-10,-3.1695064144401315e-09,-3.5333699261895144e-09,-1.7876466056716159e-09,6.99194816881891e-10,2.64898912550816e-09,3.3828605557192763e-09,2.7532467385162036e-09,1.021574040730002e-09,-1.2136047968891492e-09,-3.11711374898111e-09,-3.8522816514389816e-09,-2.959993935782031e-09,-6.985740367570039e-10,1.9652201616370916e-09,3.822318127715816e-09,4.043778270642163e-09,2.547384180194416e-09,-3.2187305052310736e-11,-2.6370759193926106e-09,-4.170732939197136e-09,-3.879544694777379e-09,-1.6849247650641086e-09,1.6115508343133627e-09,4.394432429772327e-09,4.773410681101315e-09,1.7158125983169438e-09,-3.478921082802244e-09,-6.4053269280000895e-09,-1.6857637535530196e-09,8.658657921484723e-09,-3.2659662375060304e-09
6052403489630720,0,1.321524840661034e-08,-4.270046549686728e-08,1.8510452380538723e-08,3.812423180411681e-08,7.926901302138408e-09,-2.3357049815931407e-08,-3.644875895719029e-08,-2.3682689680743195e-08,8.596896087691264e-09,3.718502572823629e-08,4.055972304589296e-08,1.9695952595630506e-08,-9.26645380185442e-09,-3.153199541547215e-08,-3.939694071371866e-08,-3.1364645532792677e-08,-1.0692425139899529e-08,1.5469565025456655e-08,3.7296985051313334e-08,4.509607050693484e-08,3.375680199399619e-08,6.656821466685169e-09,-2.4604957028994494e-08,-4.581452521274101e-08,-4.746002226845382e-08,-2.892869236559221e-08,1.98339544121771e-09,3.2627312246501376e-08,5.0076716227783916e-08,4.563266102597829e-08,1.8712189932162743e-08,-2.0803706935441427e-08,-5.348489500929912e-08,-5.6908408641486314e-08,-1.9237408549909896e-08,4.327748105513691e-08,7.742536110849512e-08,1.9174160842505412e-08,-1.0556592649854781e-07,4.02500141791139e-08
10844075163628928,0,-3.49754837027939e-09,1.1224963010630842e-08,-4.73966846063054e-09,-1.0022915076286366e-08,-2.2109993264107426e-09,5.992459367258253e-09,9.525508893056687e-09,6.332109954195914e-09,-2.023914542942509e-09,-9.557242194759166e-09,-1.0612807129433967e-08,-5.330959309970112e-09,2.157879275604553e-09,8.008852505660615e-09,1.0187035285670454e-08,8.258400727970208e-09,3.0201240297426782e-09,-3.716953181470269e-09,-9.43322679853568e-09,-1.1611494838542033e-08,-8.880238071354001e-09,-2.034599665142384e-09,5.9982665694399545e-09,1.1571165125784392e-08,1.2194460440379908e-08,7.636661430740383e-09,-1.7208151068576175e-10,-8.030772436516566e-09,-1.262999185987056e-08,-1.1703936402210967e-08,-5.031463114669476e-09,4.948082033996568e-09,1.3341150653221646e-08,1.4436197844368417e-08,5.1322792078542045e-09,-1.0605323360259309e-08,-1.9421086305895444e-08,-5.055224473895267e-09,2.6295227175672077e-08,-9.93837704899887e-09
11015044926034816,0,5.398786077477664e-09,-1.7387123621464237e-08,7.443739796902236e-09,1.5523275593728642e-08,3.320697768097073e-09,-9.401366029424666e-09,-1.4797872722328345e-08,-9.718525102625787e-09,3.328633862736737e-09,1.497938269992621e-08,1.6474212204071853e-08,8.12691909709552e-09,-3.57275197997383e-09,-1.2633822899199445e-08,-1.5913487795964538e-08,-1.2773814901311392e-08,-4.498940521449701e-09,6.049304124201411e-09,1.4916662960513973e-08,1.817976440408552e-08,1.3739404787684248e-08,2.905622860174859e-09,-9.686165913261697e-09,-1.83137898958351e-08,-1.911423996111516e-08,-1.1789732354250211e-08,5.694347713620075e-10,1.2901615545937112e-08,2.000798047790839e-08,1.8363606395392252e-08,7.685340639494999e-09,-8.113789240404532e-09,-2.1273639534903162e-08,-2.2795500612128083e-08,-7.871645929778868e-09,1.7092089836742497e-08,3.0872452019023253e-08,7.80491220782893e-09,-4.1977523326157e-08,1.5949894264855026e-08
11963171843658240,0,-1.325442159347786e-10,4.0174327127824586e-10,-1.2975235284161823e-10,-3.593599525192096e-10,-1.1965808076036617e-10,1.6789893570205744e-10,3.238597351811422e-10,2.6131852824794166e-10,2.9286819986195332e-12,-2.734367445082873e-10,-3.6558495125400753e-10,-2.411502441139084e-10,-1.218347033451994e-11,1.9760180051872114e-10,3.1190339579205165e-10,3.019216016431085e-10,1.7707310189806846e-10,-1.9926320063091225e-11,-2.18953304980832e-10,-3.394993779331047e-10,-3.228724998286466e-10,-1.6725842091728161e-10,6.189092656142666e-11,2.624265111727011e-10,3.4806576499719867e-10,2.8718251955639476e-10,1.1000433759519115e-10,-1.089878026587203e-10,-2.7963479155449486e-10,-3.2699527707736593e-10,-2.204375584084242e-10,4.587883941358766e-12,2.4259786413315326e-10,3.480594900849982e-10,2.1220987603246848e-10,-1.243485349187104e-10,-3.9036518382562364e-10,-1.8927489498305598e-10,4.6160673219729573e-10,-1.4265693471375278e-10
16615171179593088,0,-3.879957871738505e-10,1.1993065596797964e-09,-4.277707120779103e-10,-1.0731363153048391e-09,-3.1717589301862197e-10,5.485242894864288e-10,9.859691755495558e-10,7.480694055706608e-10,-6.523172564192538e-11,-8.864101624589932e-10,-1.109850155132267e-09,-6.745457575139499e-10,4.958316926913457e-11,6.786099312222663e-10,9.871330251592315e-10,9.012926395663169e-10,4.672350738114174e-10,-1.6623599504346923e-10,-7.699140684302642e-10,-1.093034160972547e-09,-9.680176633835797e-10,-4.172076428563527e-10,3.26531574082745e-10,9.299427756931987e-10,1.130758954554738e-09,8.548847982694042e-10,2.283695386098429e-10,-4.884403044516051e-10,-9.985682097075553e-10,-1.0705964201246435e-09,-6.322098928041005e-10,1.6399703224135e-10,9.385804085107341e-10,1.2006607141437052e-09,6.196534581908816e-10,-5.942448801107473e-10,-1.4430479961000737e-09,-5.683882781743119e-10,1.803266892118255e-09,-6.103473217758028e-10
25501939551450880,0,1.0897720454120662e-07,-3.533405566057884e-07,1.5520439233532611e-07,3.154476227674279e-07,6.353619561315147e-08,-1.9565039322571417e-07,-3.0249106599213006e-07,-1.94225482652357e-07,7.49608063041879e-08,3.112003888236e-07,3.3637940478618613e-07,1.6045502959636256e-07,-8.120092045980088e-08,-2.6544653292581517e-07,-3.2870398306803434e-07,-2.592558926583567e-07,-8.502104764076903e-08,1.33715905634366e-07,3.146417705520918e-07,3.770498579380056e-07,2.7913173447408405e-07,5.036027737438956e-08,-2.1129842082665824e-07,-3.867835655210446e-07,-3.972316086643859e-07,-2.387405800214888e-07,2.222154917405632e-08,2.7896209334602135e-07,4.230830888885718e-07,3.822810394181298e-07,1.5286651596296916e-07,-1.8079026701970244e-07,-4.5439712218261e-07,-4.794298951275794e-07,-1.5780897674146495e-07,3.709121224182045e-07,6.560167604246033e-07,1.5829163270066726e-07,-8.976237952461266e-07,3.4374471608014683e-07
30269452033850624,0,8.723049847732793e-08,-2.819365171643446e-07,1.2234743931338094e-07,2.517254418539119e-07,5.221386595789504e-08,-1.5437002662515856e-07,-2.4072558718115445e-07,-1.562758908197886e-07,5.699122383603481e-08,2.457455794030363e-07,2.678730899659568e-07,1.2991799032980102e-07,-6.144340604616253e-08,-2.08473296059451e-07,-2.6031081563959386e-07,-2.0710887124515252e-07,-7.04279955346217e-08,1.0245715819495623e-07,2.4661783888150154e-07,2.98014155897282e-07,2.2292464243118828e-07,4.373069870187956e-08,-1.6287150456935387e-07,-3.0294288931398906e-07,-3.1365973409257626e-07,-1.9103137280386718e-07,1.3363586776754983e-08,2.1589512141082176e-07,3.311288766402491e-07,3.0160010444532604e-07,1.23509668479623e-07,-1.3776911597721208e-07,-3.5375739316484365e-07,-3.7623374175091715e-07,-1.2701480047294272e-07,2.863571058949416e-07,5.120092766606955e-07,1.2664237326459221e-07,-6.982008441468048e-07,2.662580671913665e-07
31265029748469120,0,3.6022931479308496e-09,-1.165697707282116e-08,5.0816181140565766e-09,1.0407945316845221e-08,2.1359029533139115e-09,-6.409540808328051e-09,-9.963760006690821e-09,-6.442766516346701e-09,2.398817806276477e-09,1.0200531611500679e-08,1.108557110168502e-08,5.345080216718842e-09,-2.5900025697660006e-09,-8.670330914768807e-09,-1.0794492234823634e-08,-8.562404928577817e-09,-2.8759471802035394e-09,4.297994956974518e-09,1.0263485734729507e-08,1.2366854473156034e-08,9.218432279972691e-09,1.7597574121269818e-09,-6.816443804702598e-09,-1.260994807685133e-08,-1.3020755300949512e-08,-7.895814490880907e-09,6.114850663638462e-10,9.0214014826577e-09,1.3785582099588085e-08,1.2523835728779836e-08,5.0903983518764865e-09,-5.7845111515299846e-09,-1.4751323107541468e-08,-1.5649104189837924e-08,-5.242258205912839e-09,1.1970596173298116e-08,2.1331295001937693e-08,5.237051838757055e-09,-2.9116584739567894e-08,1.1117034672566139e-08
35928500943041152,1,1.0833975319127124e-09,-3.5582125417617483e-09,1.6388641495868687e-09,3.1754017225687645e-09,5.62672973484006e-10,-2.058882855509227e-09,-3.0785940140379348e-09,-1.889826215049572e-09,8.983263022556059e-10,3.2644117421112923e-09,3.4144419809263837e-09,1.519888905153649e-09,-9.87925588808618e-10,-2.8425135904545763e-09,-3.4102723431412938e-09,-2.5984859982613612e-09,-7.247101559191214e-10,1.5619086005987015e-09,3.394299409633418e-09,3.9415320863452825e-09,2.800939565832834e-09,3.2701171059197166e-10,-2.418855350332911e-09,-4.183700592087838e-09,-4.168070577277142e-09,-2.3772102332682823e-09,4.45489323824804e-10,3.149272495418328e-09,4.588733090704611e-09,4.024145833907722e-09,1.4617592891972322e-09,-2.14990367142121e-09,-5.0236336099508974e-09,-5.148847442167999e-09,-1.5338806839024963e-09,4.222510563851757e-09,7.187244884712428e-09,1.5772080625436296e-09,-9.95463692088645e-09,3.8687022275477605e-09
