source_id,y,c000,c001,c002,c003,c004,c005,c006,c007,c008,c009
1792620565667968,0,1.3634117901809054e-17,-2.2442032379393726e-17,1.5984267043640403e-17,-7.569230455160143e-18,2.5176368473660514e-18,-2.3231069886746768e-19,-3.2943044939746365e-19,2.959138098714814e-19,-2.529028780141045e-19,4.025056608674478e-20
6052403489630720,0,7.968884946819503e-17,-1.34275639182477e-16,9.805563908505294e-17,-4.943241148146416e-17,1.8948208276621008e-17,-4.628785663261745e-18,2.260708318518872e-19,1.7431296466009356e-18,-1.387504197385174e-18,1.0946347952274282e-18
10844075163628928,0,1.7358670618170035e-17,-2.305563202272281e-17,1.1653719362007961e-17,-3.020106069169594e-18,-1.098077401697447e-18,1.0726871546261505e-18,-1.3314541328161412e-18,2.5203672035289013e-19,-2.4792235432790586e-19,-8.050048374011622e-19
11015044926034816,0,1.3229736189186292e-17,-1.9158763704329136e-17,1.170479508751051e-17,-4.190857093391245e-18,1.0239600360631106e-18,4.939696195437733e-19,1.3219969815845075e-19,2.7863055259584716e-19,9.962033073913098e-19,-4.109819119247651e-19
11963171843658240,0,1.2608276003120947e-17,-1.704117595696887e-17,9.672969551541979e-18,-3.356628326994903e-18,9.08761645231423e-19,8.23642381639667e-20,-1.2079293095695516e-19,4.794347196742418e-19,4.690803703121617e-21,-1.3279545541751232e-19
16615171179593088,0,2.659625518354979e-17,-2.969204821478948e-17,1.2645081452226475e-17,-3.0634081059618654e-19,-2.110714656422234e-18,2.4645355522999013e-18,-1.2366360068152062e-19,4.371440910701012e-20,2.172376259314046e-18,-1.957359277502111e-18
25501939551450880,0,6.319392323554051e-16,-9.682731636673004e-16,6.104726318849155e-16,-2.2910642169777115e-16,2.3081326763932103e-17,4.28980756901761e-17,-3.9802772411681303e-17,1.2821075075576798e-17,1.9316555046337865e-17,-4.274406939202669e-17
30269452033850624,0,3.1935666366340406e-16,-4.903832034650661e-16,3.2716220472423525e-16,-1.5995504682765377e-16,6.529869930466307e-17,-2.3714737181627222e-17,6.514838010111988e-19,1.1061551925327038e-17,-1.539033267206312e-17,8.146542332467646e-18
31265029748469120,0,5.793946550929662e-17,-9.109509157654877e-17,6.198672007081748e-17,-2.922275522284794e-17,9.712153465626588e-18,-1.1907666259391845e-18,-2.3809053102666038e-18,3.362690755093181e-18,-3.535724983395469e-18,2.2712971234769354e-18
35928500943041152,1,2.0214048590614803e-17,-2.5001450522848217e-17,1.3617580068843573e-17,-3.987564348768236e-18,-6.532165457183787e-19,1.490257351675415e-18,-8.307513333597503e-19,-3.6314539908840345e-19,1.4819523842670613e-18,-2.1381526011877607e-18
36876009385300352,0,8.430376538237545e-18,-1.1644729649039922e-17,6.658145504410604e-18,-2.7012798151687414e-18,5.621567650778767e-19,-1.2630455383186514e-19,-5.356554121475071e-19,3.749382215989039e-19,-8.30827354183069e-19,3.433922836126137e-19
44951132016854016,0,1.0942434919642446e-17,-1.1935733423091752e-17,3.702351380448115e-18,1.1808638725773027e-18,-2.786335190961282e-18,1.7699651914639446e-18,-1.0897297751651114e-18,-3.826964671008289e-19,1.3034110879345163e-18,-1.9015376479071296e-18
46608061680943872,0,1.8605669180885397e-17,-2.112258634039113e-17,8.34106197893831e-18,-4.9211356935368815e-19,-1.6548281952787483e-18,1.0222978252293515e-18,-3.498454359189488e-19,-6.650412708879087e-19,1.1940376022365759e-18,-2.2530481566238318e-18
56252977678408192,0,8.942795429583285e-18,-1.306482091874365e-17,7.772054786048674e-18,-2.176705652292972e-18,-1.2833452044816546e-19,9.59615043641651e-19,-1.8552000160604531e-19,-1.4346505896491022e-19,9.657555637564941e-19,-8.567556349158001e-19
63139734399542528,0,1.0148538469370847e-17,-1.396179261131561e-17,8.176570187617599e-18,-3.2386072207883476e-18,1.0200784987995971e-18,-7.842429814908589e-20,-1.7590560881238463e-19,5.528684602409616e-19,-2.4276527268477485e-19,4.4503687771283316e-20
64368713521485568,0,5.2440898817377343e-17,-7.112195109962953e-17,3.856085588570741e-17,-1.0636582473357497e-17,-1.99812117326296e-18,3.637210980207672e-18,-2.0398433917986396e-18,-7.76243543032936e-19,2.097222649230266e-18,-4.446452884529617e-18
69784942159807232,0,7.445325432541067e-18,-1.0861143343511676e-17,6.597629878528401e-18,-2.5859879811719456e-18,7.028409187004244e-19,5.691429064263496e-20,-1.4013581091828037e-19,6.135160677112822e-19,-3.1637188095861286e-19,7.396254804630838e-19
69886853143994496,0,1.7371941392762254e-17,-2.260389032513703e-17,1.0900713802713459e-17,-1.524765021032495e-18,-1.8715874277953365e-18,2.0605263759589598e-18,-5.385483265470712e-19,-3.349775994731772e-19,1.790731871994635e-18,-1.7327053663107124e-18
74703607425569024,0,3.877938214494057e-17,-5.874301781049785e-17,3.626261569919496e-17,-1.292158516587522e-17,1.107460413254553e-18,1.8502343414980102e-18,-7.776457375709499e-19,-1.130624413001816e-18,2.5782811489710814e-18,-2.9436739402376824e-18
78846635958426496,0,5.221000062038659e-17,-8.000246808564175e-17,4.922335552499001e-17,-1.6427431925200886e-17,-5.682680049103252e-19,4.7781476395191615e-18,-3.0956648843214386e-18,-9.695533005191627e-19,3.670668145675212e-18,-7.344125921799829e-18
79376016447500416,0,3.1883988060640897e-17,-5.1277599981012345e-17,3.6130834143786624e-17,-1.8577411059872586e-17,7.659812865801408e-18,-2.5459969732168408e-18,-1.8089773298596736e-19,9.18116833731711e-19,-1.2086239532278931e-18,1.9068846644729221e-19
80762260092162688,0,1.3228374948038044e-16,-1.9240401795852062e-16,1.113282904545096e-16,-3.315261743000557e-17,-4.122131726562644e-18,1.1384947370051502e-17,-6.8197398856146955e-18,-1.457372060069149e-18,6.6049576571646324e-18,-1.1036135236385405e-17
83757226686850816,0,1.3193936551123378e-17,-2.0771565833903906e-17,1.3762601722353332e-17,-6.060934487098397e-18,1.783033743471039e-18,-2.302647280023262e-19,-3.057137862025811e-20,-1.7634073062796663e-19,2.021366556139046e-19,-4.298886773521848e-19
