source_id,y,c000,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018,c019
1792620565667968,0,1.3636359891772065e-17,-2.2435867734504653e-17,1.5995505106091133e-17,-7.554785291772484e-18,2.5379832784631804e-18,-2.094389182007367e-19,-2.9977414309326943e-19,3.274409680147281e-19,-2.1364708931713165e-19,8.07433696650327e-20,2.3690300412851563e-19,-3.121850973528528e-19,-7.314737237535622e-20,1.0300493332513971e-19,-5.860731948700378e-19,-1.8805390200075885e-19,-3.136885131687759e-19,-3.2831839481953277e-19,-3.5515912953344703e-20,-1.1327819511702184e-20
6052403489630720,0,7.968230544366793e-17,-1.3427178002263805e-16,9.802281332261281e-17,-4.9423300655153383e-17,1.888867796463464e-17,-4.6141668162608464e-18,1.3907393945171442e-19,1.7636640683029317e-18,-1.5030704237775702e-18,1.1216496736192018e-18,1.7054318662037595e-18,-3.3120181899439597e-18,3.69081933812983e-18,-2.5585285705779283e-18,1.4756620536471174e-18,-9.718236035568342e-19,-2.1699100973941906e-19,8.495398881690071e-19,-3.9468499136258044e-18,4.983769064873857e-18
10844075163628928,0,1.7364792369075514e-17,-2.308084857453284e-17,1.1684401874740605e-17,-3.0791788622160513e-18,-1.0425396034373725e-18,9.791976874502679e-19,-1.250532965617084e-18,1.2325447924201758e-19,-1.4085979555358154e-19,-9.702653106594173e-19,8.395740156459012e-19,-9.675150363550978e-19,-9.952062271146189e-20,8.78103666531569e-19,-1.0012439065046107e-18,8.25567246951219e-19,-9.388310601140371e-19,1.1271934565795502e-18,-8.496053659621409e-19,1.0245116998383774e-18
11015044926034816,0,1.3218333153717745e-17,-1.9138779889550006e-17,1.164762814425891e-17,-4.144038048052051e-18,9.20422631213062e-19,5.680791279669655e-19,-1.8797875543202312e-20,3.8074265409237216e-19,7.961764869597839e-19,-2.7990266996944285e-19,1.6157165616674227e-18,-6.239731080323789e-19,1.3148989518212818e-18,4.67043897399048e-20,4.998346932688331e-19,-1.2223247972413347e-19,4.801899336379974e-19,-5.540387760709371e-19,1.9076505424246213e-19,-1.0755585843598901e-18
11963171843658240,0,1.260677037352781e-17,-1.7030741687739454e-17,9.665419742041127e-18,-3.3321804843607202e-18,8.950810264069245e-19,1.2106804210027464e-19,-1.4076021764575494e-19,5.32773846060211e-19,-2.17880809488232e-20,-6.430680765427953e-20,7.527657538769257e-19,-6.266957889762011e-19,2.176112307642312e-19,1.684794711971664e-19,-2.526863272193662e-19,-5.0053470603381744e-20,-1.2592594783373518e-19,-2.2286400134808705e-19,-1.761560976815924e-20,-5.011123917848021e-19
16615171179593088,0,2.6591576692729445e-17,-2.9668094898537013e-17,1.262161719439574e-17,-2.50221536739754e-19,-2.153251980496443e-18,2.5533671535899265e-18,-1.8579144105637815e-19,1.661130933480135e-19,2.0899098713136013e-18,-1.8002356687648817e-18,3.359285766941898e-18,-1.8289846160752746e-18,8.112139097983524e-19,1.0718870942400942e-18,-1.0771708108717443e-18,3.5979374703886964e-19,-5.636383405151983e-19,-8.761975086456073e-19,-6.574102784471003e-19,-1.523167131245842e-18
25501939551450880,0,6.317910880147319e-16,-9.681856132043578e-16,6.097297095513704e-16,-2.289006947208371e-16,2.173482359219585e-17,4.322545354094487e-17,-4.17687020602816e-17,1.3275597829951282e-17,1.670831272783923e-17,-4.21548440232744e-17,6.128192575606563e-17,-6.184364776033053e-17,4.375593600608322e-17,-1.4302086870782666e-17,-5.383682809176183e-18,2.1994089274808534e-17,-2.2022064517827217e-17,2.5872986527626247e-17,-1.9852514933560118e-17,1.3024710628835882e-17
30269452033850624,0,3.192461870535182e-16,-4.900784135399992e-16,3.2660835647166533e-16,-1.5924069078465107e-16,6.429562373450484e-17,-2.2583193499542548e-17,-8.113382649061382e-19,1.2622232083994563e-17,-1.7328045915423503e-17,1.0152594977881889e-17,4.218949170844377e-18,-1.883463183438101e-17,2.1364392204125553e-17,-1.702873166108195e-17,1.1938876989897477e-17,-3.23949742883694e-18,2.0120681690900217e-18,-1.2989846180254024e-18,7.693882667161752e-20,2.6253349797241074e-18
31265029748469120,0,5.794373800805528e-17,-9.112257284020119e-17,6.200812787007374e-17,-2.9287103178964984e-17,9.750877260000601e-18,-1.2925187703830951e-18,-2.3245423913804207e-18,3.222697046726216e-18,-3.461261058952005e-18,2.0919344415347004e-18,-4.518947387850316e-19,-1.140394126871969e-18,1.15224407844766e-18,-8.870752505149615e-19,1.1562453676492428e-18,-6.261425012670392e-19,-9.507211768914805e-20,1.4730754874857824e-18,-3.0792908209451406e-18,4.0889328709963466e-18
35928500943041152,1,2.020763938682531e-17,-2.49908698320683e-17,1.3585441969103395e-17,-3.962756502206412e-18,-7.114517847452403e-19,1.5295792527412073e-18,-9.157461983052598e-19,-3.0885882604540694e-19,1.3692418938387684e-18,-2.0682874378783207e-18,2.588837810335203e-18,-1.9821985496405613e-18,8.168690704070931e-19,-1.9241924069456298e-19,-2.184633311923207e-20,-4.924038615195255e-20,-3.648719668495379e-19,6.855080020123796e-19,-5.800725534563818e-19,1.4979682945710943e-19
