source_id,y,c000,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018,c019,c020,c021,c022,c023,c024,c025,c026,c027,c028,c029
1792620565667968,0,1.3637246188362997e-17,-2.2442016003258396e-17,1.5999945696030523e-17,-7.569181884408554e-18,2.5460144706323914e-18,-2.322047731624163e-19,-2.8808747124972908e-19,2.9611747107181496e-19,-1.9821232122056913e-19,4.06086701700548e-20,2.5620500663374917e-19,-3.614465915399306e-19,-4.983410097299985e-20,4.424311549571301e-20,-5.58581779625692e-19,-2.567424051859756e-19,-2.8183174938924425e-19,-4.074065985076705e-19,9.107454295124654e-22,-1.0132807613308652e-19,-4.9134999739651036e-21,3.877831565555694e-19,-2.414904932588931e-19,4.492143490930422e-19,-1.0828811577822326e-19,5.845559224912597e-19,-3.6841126334675917e-19,-2.1634148364603436e-20,3.170212950393667e-19,-4.048468733093165e-19
6052403489630720,0,7.970500401858293e-17,-1.343378121149502e-16,9.813653518288735e-17,-4.9577798500653676e-17,1.9094336043454997e-17,-4.858137378660485e-18,4.382994248448375e-19,1.4286617372830855e-18,-1.1079490264757565e-18,6.935356362469464e-19,2.1994443071600222e-18,-3.8358020443237144e-18,4.28734368997718e-18,-3.1809642199728694e-18,2.178893308590365e-18,-1.6962509854058506e-18,5.976533946354188e-19,1.950026198635167e-20,-3.0156494885742916e-18,4.044304635342789e-18,-5.353860308517931e-18,3.559981204168236e-18,-3.1027761533488206e-18,2.066261587662708e-18,-2.514966708100025e-18,1.9183320908661357e-18,5.577064902569851e-19,-5.873495323625098e-19,2.7923588943119546e-20,2.9645962140117174e-18
10844075163628928,0,1.7360223134092685e-17,-2.3069718081191047e-17,1.1661508866670224e-17,-3.0531327969413197e-18,-1.0839431166355249e-18,1.020337793245758e-18,-1.3107806877587942e-18,1.797652799291673e-19,-2.204282189424606e-19,-8.98014064592593e-19,7.400717499745882e-19,-8.790674841386783e-19,-2.1969832660862806e-19,9.832805838111983e-19,-1.1429567370444221e-18,9.480729252748985e-19,-1.103044146181076e-18,1.2676808145358744e-18,-1.0373742210069247e-18,1.1836724371177776e-18,2.8717905757889603e-19,-1.7922676872690966e-19,1.5768084910505913e-18,-1.0698120958906847e-18,7.363561593469544e-19,-2.4399782909687446e-19,-1.9573001508278435e-19,-6.26374619591535e-20,-3.0644532470883333e-19,-1.3781452410828262e-19
11015044926034816,0,1.3217480918294913e-17,-1.9131966474383555e-17,1.1643355111324762e-17,-4.1280610839127124e-18,9.12681419440585e-19,5.934090095115822e-19,-3.009238018504495e-20,4.1572237052089524e-19,7.812061563044297e-19,-2.3486963101912883e-19,1.59691094568932e-18,-5.683781983217007e-19,1.2920623802205543e-18,1.1347258089710505e-19,4.727362769858612e-19,-4.3579815897190175e-20,4.485648998185738e-19,-4.626948617994832e-19,1.5431649891995717e-19,-9.70626617250479e-19,5.13814822543926e-19,-1.5003208211180964e-18,6.694820639308996e-19,-1.1529734251296186e-18,-1.9026279679568683e-19,-2.2074215606024697e-20,-7.880855299186617e-19,7.119950247903381e-19,2.388389451606049e-19,7.053604696687189e-19
11963171843658240,0,1.2605576039374326e-17,-1.7031067449450543e-17,9.659428867394433e-18,-3.332934070217884e-18,8.842168152471421e-19,1.199024951299901e-19,-1.5663591143651046e-19,5.312218407912531e-19,-4.287457006949128e-20,-6.620938140899553e-20,7.262083324063989e-19,-6.289016720181044e-19,1.8526250002940897e-19,1.6603008977967334e-19,-2.9120604970215966e-19,-5.2672651991559783e-20,-1.7105423524316784e-19,-2.2556396641710386e-19,-6.984587907075509e-20,-5.037873536427953e-19,5.072808503494189e-19,-3.000186833252145e-19,8.610987011359547e-19,-5.901115747079437e-19,4.97937736217643e-19,4.618225576238179e-19,-7.120821255214999e-19,4.99444200287618e-19,-4.967986939703387e-19,-8.150183064562512e-20
16615171179593088,0,2.6588035703588102e-17,-2.966167128607524e-17,1.2603873309278886e-17,-2.351420246683962e-19,-2.185354116869293e-18,2.5773213008596323e-18,-2.3252984785561376e-19,1.9928595148979678e-19,2.028137331760004e-18,-1.7573743483703026e-18,3.2819655568721726e-18,-1.7758391827421513e-18,7.177224267723934e-19,1.1360380865285687e-18,-1.1875600635799358e-18,4.357968363570991e-19,-6.91745894053745e-19,-7.873723207297252e-19,-8.041400152085915e-19,-1.420429310426163e-18,4.410180923095884e-19,-2.5790246595566105e-18,2.2252269355568285e-18,-2.332768647321684e-18,-1.4968124921408058e-19,1.8781524895997667e-18,-1.1951505487499061e-18,1.7538435100662532e-18,3.5054664346836253e-19,-2.6186729408288167e-20
25501939551450880,0,6.317665426539629e-16,-9.681271587435415e-16,6.096065604069826e-16,-2.2876331723897716e-16,2.151138119663812e-17,4.3444118562217203e-17,-4.2095478967158255e-17,1.3579275679734778e-17,1.6273808693584852e-17,-4.176105603175992e-17,6.073395305237056e-17,-6.13532678028905e-17,4.30874105397623e-17,-1.3707237537226597e-17,-6.181174831494311e-18,2.2702687292504105e-17,-2.2958244176364793e-17,2.670601193918962e-17,-2.0938375017329978e-17,1.399422553232884e-17,5.086140865931483e-18,-2.051015792925341e-17,3.2852567099506936e-17,-2.627435445088828e-17,3.5004675361266814e-18,8.717412553263869e-18,-1.4423640385019382e-17,1.2478325883158627e-17,-1.3089117017384797e-17,1.2756435979976384e-17
30269452033850624,0,3.19227734758666e-16,-4.900532475495568e-16,3.265159447188129e-16,-1.5918184493806842e-16,6.412865472085564e-17,-2.2490371444711808e-17,-1.053927321243681e-18,1.2749484240128577e-17,-1.7647759975442554e-17,1.0314872955953748e-17,3.820196023016998e-18,-1.8636611852346462e-17,2.088432016216369e-17,-1.6794159957409333e-17,1.1374894319050073e-17,-2.96750306907792e-18,1.3613353462635235e-18,-9.886728908943086e-19,-6.635571787448228e-19,2.974840416650624e-18,-3.816807457339914e-18,9.350580240723112e-18,-1.1697216705574315e-18,-4.550073669236344e-18,8.960378564990137e-18,-9.116324621799194e-18,1.0041951531037214e-17,-3.916890446359281e-18,-6.201174845199723e-18,4.764966595083929e-18
31265029748469120,0,5.796485048828035e-17,-9.117491982466994e-17,6.211389117910584e-17,-2.9409625106739074e-17,9.942091983278894e-18,-1.4861194470960155e-18,-2.0464474245995862e-18,2.9566137279855503e-18,-3.094249886946165e-18,1.751486523579035e-18,6.644910347000139e-21,-1.5575363068427049e-18,1.7054599372275305e-18,-1.3836501172677498e-18,1.8077694025774177e-18,-1.205249464354153e-18,6.588143576200838e-19,8.0803284357317e-19,-2.218638242437293e-18,3.334312722609039e-18,-3.6412405899385485e-18,4.2791583485115765e-18,-2.6340192295309094e-18,2.3450476996417326e-18,-1.9625340545436935e-18,1.3148053987633087e-18,-8.799245657341072e-19,-2.9050262751389607e-19,-3.4980416641817984e-19,5.037519006026687e-19
35928500943041152,1,2.0198150472393438e-17,-2.4967870292306862e-17,1.3537901927511135e-17,-3.90892199163918e-18,-7.974235568438111e-19,1.6146516817501407e-18,-1.0408296671078837e-18,-1.919223195863548e-19,1.2040762635198293e-18,-1.9186469662020955e-18,2.3823420462038578e-18,-1.7988135804782606e-18,5.675349971768775e-19,2.5934597393571316e-20,-3.1576525944949333e-19,2.054698832747387e-19,-7.053340705627407e-19,9.781008615279812e-19,-9.692163913374953e-19,4.819084322737177e-19,1.0817778515314621e-18,-1.7772055681132616e-18,2.706280174103884e-18,-1.9353117939444274e-18,1.0249521994822635e-18,1.4018369993142587e-19,-1.9785776908279342e-19,4.677828237959133e-19,-2.8233741405032324e-19,-4.951700769795931e-19
36876009385300352,0,8.436863604323203e-18,-1.1669532689009344e-17,6.690648059927387e-18,-2.759368483639219e-18,6.209429723521851e-19,-2.1819271591223497e-19,-4.501058276573077e-19,2.4844859035096893e-19,-7.178282472174264e-19,1.8121863231733095e-19,-3.581787655153593e-19,-3.03746435601423e-19,-2.5388710580629993e-19,2.0039654909715875e-19,-4.2832900475450407e-19,3.814333133039528e-19,7.235677267676637e-21,3.2697839205486307e-19,1.683869394405053e-19,5.524310938370581e-19,1.2260819544652343e-19,8.583634100424823e-19,1.2008494925792966e-19,6.054302489269044e-19,-2.2859074067847145e-19,2.707063515284987e-19,-4.713360439557572e-19,-1.2500606170258656e-19,-7.014223673650622e-19,-3.719877878318449e-20
44951132016854016,0,1.092899841752705e-17,-1.192011750525102e-17,3.6349892217126934e-18,1.2174417641215807e-18,-2.9083409656203014e-18,1.827841915274216e-18,-1.2676688980720192e-18,-3.029942854409237e-19,1.0676818024932975e-18,-1.7992973528981363e-18,2.2600243050956422e-18,-1.967838884776284e-18,1.1922017570060773e-18,-2.4798613068521017e-19,-4.9655430302899674e-20,9.028184700240265e-19,-4.567652936458045e-19,8.511172269189299e-19,2.1033448128890273e-19,1.4792695652898084e-19,1.1408345712228192e-18,-7.18444596190285e-19,1.664927644203242e-18,-8.446494472326886e-19,2.4683959523674823e-19,4.972384697645792e-19,-9.676735715195811e-19,9.036356317920683e-21,-4.189223785937909e-19,-4.1749651348965626e-19
