source_id,y,c000,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018,c019,c020,c021,c022,c023,c024,c025,c026,c027,c028,c029,c030,c031,c032,c033,c034,c035,c036,c037,c038,c039
1792620565667968,0,1.3642351624714842e-17,-2.246064146203495e-17,1.6025458465253066e-17,-7.612588676837802e-18,2.5918754142629808e-18,-3.002626117502738e-19,-2.219908232607157e-19,2.0362467305818393e-19,-1.120558151212872e-19,-7.600249811299813e-20,3.6216804911843703e-19,-5.017397784197034e-19,7.55870372738089e-20,-1.1915290686664342e-19,-4.1416663404232877e-19,-4.424933407943783e-19,-1.1902490936069303e-19,-6.1456824263671365e-19,1.8134514510082534e-19,-3.287322067746662e-19,1.9219910794321332e-19,1.4155501694211553e-19,-2.88560148318631e-20,1.8585374997362208e-19,1.1848637907764156e-19,3.0604473596177435e-19,-1.2911762231486317e-19,-3.1301436995386807e-19,5.669676611737372e-19,-7.065158890160393e-19,3.4615072357307407e-19,6.412868077260373e-20,-6.491019172118087e-19,7.485559872854551e-19,-5.414989838377601e-19,1.8969802287919268e-19,-6.273859908035379e-19,9.518956771007864e-19,-1.1300056421614879e-18,1.294298452231515e-18
6052403489630720,0,7.970499712746281e-17,-1.343374652558677e-16,9.813657435991351e-17,-4.957701215486119e-17,1.909471641882412e-17,-4.856967412686555e-18,4.395545595222672e-19,1.4301255959760139e-18,-1.1050434405167029e-18,6.951672844365861e-19,2.2050228731949376e-18,-3.834168387931182e-18,4.296869620604822e-18,-3.1795379807134296e-18,2.193897279368958e-18,-1.6952896972124873e-18,6.199251333678327e-19,1.968620467181032e-20,-2.984061382472896e-18,4.043347200554512e-18,-5.310652906631718e-18,3.557450237892786e-18,-3.0454026397549153e-18,2.0616609976668077e-18,-2.440654325040605e-18,1.9110971337005363e-18,6.519293825202175e-19,-5.978533699218832e-19,1.4518980376476533e-19,2.950120229785227e-18,-5.885490678717398e-18,5.784629333969726e-18,-5.654309493033051e-18,-2.660331037489366e-20,4.2733348635875115e-18,-7.582247763606723e-18,7.513781280446787e-18,-2.671069978487655e-18,-1.4702750772885432e-18,4.6648110982531805e-18
10844075163628928,0,1.7361715026016694e-17,-2.3079395992466205e-17,1.1668959108163429e-17,-3.075663501349264e-18,-1.0705718291440889e-18,9.850790376583408e-19,-1.2915572057218947e-18,1.3198048733859807e-19,-1.9545578744070197e-19,-9.5803790969628e-19,7.706515540336963e-19,-9.509484603881821e-19,-1.8369589937426684e-19,9.00031073023064e-19,-1.10176510056428e-18,8.540630258215812e-19,-1.0569512093588799e-18,1.163651453776021e-18,-9.867281812677068e-19,1.0705099963966632e-18,3.4196439348706216e-19,-3.0047939425367497e-19,1.6352493515651405e-18,-1.1979472263601962e-18,7.978959599463601e-19,-3.7763879737323983e-19,-1.3172143252775232e-19,-2.002398314728572e-19,-2.406697631750274e-19,-2.7767410916640193e-19,-3.798803734419509e-19,8.443218718754291e-20,-9.36410394468048e-20,5.804994864371829e-21,7.15993445869642e-19,-1.043706917531386e-18,8.283320809810434e-19,8.875324173387619e-19,-1.763926989199573e-18,1.5960412197325964e-18
11015044926034816,0,1.3217061806507e-17,-1.912953287517368e-17,1.1641265540583962e-17,-4.122400682447199e-18,9.08945496747362e-19,6.022523446815266e-19,-3.543065414293042e-20,4.27677798096393e-19,7.743304328944051e-19,-2.199023779973753e-19,1.5885849529542419e-18,-5.505319974471546e-19,1.2823972379660638e-18,1.3402847507761525e-19,4.618688778145036e-19,-2.0524013116806795e-20,4.366597747672871e-19,-4.373937656346753e-19,1.415675501271428e-19,-9.433838350486183e-19,5.004467325605049e-19,-1.4714926436505773e-18,6.557511689388266e-19,-1.122971672513766e-18,-2.0406840090196232e-19,8.632175754576537e-21,-8.016468919960123e-19,7.428801182659531e-19,2.258694688727936e-19,7.358436097439265e-19,5.329599768775781e-21,1.0463694133956714e-18,-7.011695612936452e-19,6.867207261844789e-19,-3.586326397384666e-20,-2.0274384885360524e-18,8.4892810238114265e-19,-7.548440868181922e-19,1.9251498556869345e-20,7.178877829734223e-19
11963171843658240,0,1.2608142534509166e-17,-1.703856404672486e-17,9.672266830134962e-18,-3.3504463131287234e-18,9.073475159377641e-19,9.232761091343504e-20,-1.2317688605388413e-19,4.935145690240738e-19,9.581027697812522e-22,-1.141361217834619e-19,7.804632050335199e-19,-6.871450197371355e-19,2.499830488864255e-19,9.737196542892237e-20,-2.1599135128954148e-19,-1.3183413173493447e-19,-8.534323073416812e-20,-3.1529578510173534e-19,2.632487340427669e-20,-6.041217864549867e-19,6.1382297388749465e-19,-4.109394261930058e-19,9.778586516865185e-19,-7.115395520988542e-19,6.246837621755426e-19,3.300431755602264e-19,-5.756720698007167e-19,3.5755914074273317e-19,-3.5114734195509844e-19,-2.3314537165345885e-19,-4.532281185286896e-19,1.0092371821945865e-18,-1.0706019820128756e-18,1.041702205571141e-18,-2.814276607049087e-19,7.344357626868449e-20,4.642647833853553e-19,-3.3503366189888454e-19,-1.7162589368112663e-19,-1.9152706856472584e-19
16615171179593088,0,2.6591947633903618e-17,-2.967467305388661e-17,1.2623429495767367e-17,-2.6544321706806375e-19,-2.1501686477906426e-18,2.5298104146357126e-18,-1.8174647195334064e-19,1.3471397522077427e-19,2.0944633731346304e-18,-1.838790105354337e-18,3.363744645881378e-18,-1.8737998460972152e-18,8.148173150204602e-19,1.0219283246178213e-18,-1.0753498395120124e-18,3.0604792516530487e-19,-5.647013962471074e-19,-9.321180700779506e-19,-6.626414273744154e-19,-1.5793789809094782e-18,5.964725999422236e-19,-2.7512176107685245e-18,2.394002940477119e-18,-2.5170618298195503e-18,3.162899750847899e-20,1.6830953427692564e-18,-1.0022598190741824e-18,1.5495572552613778e-18,5.538881835637938e-19,-2.3797034524160567e-19,5.240713976560852e-19,9.779997261405647e-19,-1.8018715573784913e-18,7.5450580453515365e-19,-8.282063375914795e-19,-1.273953846653748e-18,9.353869511810897e-19,-3.826296298089997e-19,-9.427711199074554e-19,2.2111689435580264e-18
25501939551450880,0,6.317410947440811e-16,-9.680815303886764e-16,6.094796134440355e-16,-2.2865705258209497e-16,2.1284114907918315e-17,4.361052369070603e-17,-4.242090400467879e-17,1.380500760286815e-17,1.5853428041809432e-17,-4.1477173606227957e-17,6.022294750900607e-17,-6.101283252028191e-17,4.249134224405167e-17,-1.3312338896866848e-17,-6.8553956759296764e-18,2.3149388555860028e-17,-2.37022372924412e-17,2.7201199200260102e-17,-2.1742171624497876e-17,1.4533840718935742e-17,4.234202514870773e-18,-1.9930995629273876e-17,3.196592047402103e-17,-2.566141966208288e-17,2.594357954371581e-18,9.357397256026985e-18,-1.5332168087868066e-17,1.3137660154531474e-17,-1.3981297620888908e-17,1.342644410496578e-17,-1.5164008633172007e-17,1.6170707392017667e-17,-2.276376736480363e-17,1.2004974934784333e-17,1.3200499552370763e-17,-3.7248931186327446e-17,4.0052795635644335e-17,-1.6674005307941322e-17,-6.054107222648749e-18,1.8596875760891057e-17
30269452033850624,0,3.192526643271053e-16,-4.901369444285334e-16,3.2664062090416176e-16,-1.593770044061998e-16,6.435318433458557e-17,-2.2796656435086918e-17,-7.293781232167735e-19,1.2332652219193507e-17,-1.7223009877654265e-17,9.788377268404387e-18,4.345280957344835e-18,-1.927149947566611e-17,2.1509747066215862e-17,-1.7535678758985054e-17,1.2100449224684104e-17,-3.813289198728551e-18,2.1864766415824428e-18,-1.9356366264221825e-18,2.6018577807484837e-19,1.9306404863587883e-18,-2.7960110163397876e-18,8.214059382369016e-18,-5.410368196657974e-20,-5.772915512967093e-18,1.0167787849498106e-17,-1.041831201127047e-17,1.1337221325993851e-17,-5.289611119787651e-18,-4.822958350732122e-18,3.3311834037367698e-18,-6.44552008212875e-18,5.643429851591402e-18,-8.246148191905337e-18,7.4241898647289e-18,-2.8178212039948536e-18,-7.480664868923788e-18,1.2281906543716115e-17,2.5519199935810255e-18,-9.12207074107927e-18,7.235724709874728e-18
31265029748469120,0,5.796253972546693e-17,-9.116194151452714e-17,6.210239624053609e-17,-2.937951282563084e-17,9.921649339516611e-18,-1.439285631988907e-18,-2.0754083259706046e-18,3.0195115365394903e-18,-3.131100400968165e-18,1.82953379008543e-18,-3.7259044201718157e-20,-1.465526098648556e-18,1.655555967098284e-18,-1.2791524091031971e-18,1.753146286732667e-18,-1.0900460918468158e-18,6.009899305449198e-19,9.31837384216683e-19,-2.2779016705040518e-18,3.4642782081551745e-18,-3.699932244163044e-18,4.4125012041022175e-18,-2.6898810648641213e-18,2.478641255357261e-18,-2.013068898269447e-18,1.4451905993026526e-18,-9.224130183479336e-19,-1.6709344350452541e-19,-3.8133203990745503e-19,6.161481968468305e-19,-1.4376449796654303e-18,2.528751690604809e-18,-3.1321821944123397e-18,3.245116046479104e-18,-1.7722356151992274e-18,-6.265741359192969e-19,3.8550540656434784e-18,-3.697200532279127e-18,2.8377140781659672e-18,-2.7741737093813004e-18
35928500943041152,1,2.019429875065914e-17,-2.4958167001459833e-17,1.3518653019442496e-17,-3.8862877000093144e-18,-8.320296712153639e-19,1.6501987630518613e-18,-1.090716348497498e-18,-1.4349696293803592e-19,1.1390301862385755e-18,-1.8574018488915793e-18,2.302313327495791e-18,-1.7248414066746457e-18,4.72769845685679e-19,1.1249454947109824e-19,-4.2493497586341644e-19,3.0441757326513044e-19,-8.284729061549583e-19,1.0891599919937026e-18,-1.1057664558015272e-18,6.047102575000544e-19,9.325157892242058e-19,-1.6431383975609673e-18,2.54516453574329e-18,-1.790580492998922e-18,8.53016170494427e-19,2.948406661011506e-19,-3.793943206002365e-19,6.31479333756649e-19,-4.720611740056486e-19,-3.234740242074135e-19,-8.350373575069167e-19,-2.1393886805106988e-19,-6.360325326498073e-20,3.1100576899884917e-20,1.488857135725613e-18,-1.2163207922429024e-18,2.1387649066331845e-18,-1.1851775973114362e-18,-7.622900594344915e-19,7.575010776866269e-19
