source_id,y,c000,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018,c019,c020,c021,c022,c023,c024,c025,c026,c027,c028,c029,c030,c031,c032,c033,c034,c035,c036,c037,c038,c039,c040,c041,c042,c043,c044,c045,c046,c047,c048,c049
1792620565667968,0,1.3635507760043692e-17,-2.2438548363790304e-17,1.5991356954199362e-17,-7.561312827264956e-18,2.530988829219796e-18,-2.2046670568807327e-19,-3.0880671455304153e-19,3.108899318630953e-19,-2.2355386147092964e-19,5.728202385300272e-20,2.2763684381590057e-19,-3.4429907373530806e-19,-7.991521550563059e-20,6.015380465412859e-20,-5.881545002614759e-19,-2.4405035843865586e-19,-3.085827286591305e-19,-4.001666036650587e-19,-2.043569243825908e-20,-1.0199876220554951e-19,-1.8034135086930823e-20,3.765528173677277e-19,-2.4336654247213023e-19,4.246296472381545e-19,-9.575549214247175e-20,5.437317406357787e-19,-3.3822509353133712e-19,-8.160665170448767e-20,3.681092888295098e-19,-4.86822098247863e-19,1.6281244258727956e-19,2.6653263341656495e-19,-8.116085400538063e-19,9.280808702195066e-19,-6.779608449747058e-19,3.408942563505268e-19,-7.328498378127269e-19,1.069630024359003e-18,-1.1999593802090785e-18,1.373951516438664e-18,-1.317591531734363e-18,1.2216747064551018e-18,-1.6782415523193264e-19,-7.381732683027926e-19,1.2954567332881815e-18,-1.983889811640806e-18,1.5391716547430556e-18,-1.5642787715074425e-18,1.570471124002317e-18,-3.118871231195769e-19
6052403489630720,0,7.971554799875899e-17,-1.3438536605701684e-16,9.818915968580475e-17,-4.968804328263974e-17,1.91886581167172e-17,-5.02935458320096e-18,5.736244642730386e-19,1.1991825820718677e-18,-9.326357391076452e-19,4.095080301452351e-19,2.4134001211613496e-18,-4.16965108232494e-18,4.538253412803779e-18,-3.5588881261726535e-18,2.4647143344026453e-18,-2.1114869348320478e-18,9.15980982026839e-19,-4.2528678035839556e-19,-2.6675850066921127e-18,3.578686550158182e-18,-4.9791883567106125e-18,3.083145040389882e-18,-2.704970103725617e-18,1.5886136922971744e-18,-2.0978147907945376e-18,1.4509335924349893e-18,9.90145997351143e-19,-1.0329652229652062e-18,4.713849623560406e-19,2.5525391796315956e-18,-5.578952511730589e-18,5.4370869246032234e-18,-5.375136107750681e-18,-3.1190429553784273e-19,4.5175617046172246e-18,-7.793791417203788e-18,7.715836334289974e-18,-2.7984503869881258e-18,-1.317001235833433e-18,4.6304360930972554e-18,-3.561142231341727e-18,-3.229171907983799e-19,2.8132371886763207e-18,-5.3329764453825165e-18,2.672224302498409e-18,1.8461045710822554e-18,-2.3012093434567087e-18,3.169844246291749e-18,-4.4845907788998194e-18,6.769305902918538e-18
10844075163628928,0,1.735383196732037e-17,-2.3050111587055627e-17,1.162965752578554e-17,-3.007642238630071e-18,-1.1408351956126253e-18,1.0910903028145237e-18,-1.3919528059540047e-18,2.747936356572906e-19,-3.2476918728804888e-19,-7.800703090690945e-19,6.140356828780114e-19,-7.39955454896614e-19,-3.655796149426167e-19,1.1414143597388414e-18,-1.3064439272494767e-18,1.1226714046546097e-18,-1.2814975058771735e-18,1.4557692592674832e-18,-1.2277473884449805e-18,1.3818577878999382e-18,8.833787122820167e-20,2.5252858225616007e-20,1.3733450439103451e-18,-8.632293315110231e-19,5.324855600406103e-19,-3.985528370115968e-20,-3.9546393065025053e-19,1.3422356071760582e-19,-4.972292437719871e-19,4.670037425810421e-20,-6.234859124799947e-19,3.916789777312045e-19,-3.1837752329347993e-19,2.8876105759888356e-19,5.16046137873289e-19,-7.921493232976251e-19,6.589322673384679e-19,1.1008519855419357e-18,-1.897375806677936e-18,1.7647952612204024e-18,-1.3668335256226911e-18,-2.1793859278273904e-19,1.002672822865099e-18,-1.915122834688781e-18,2.431341214612349e-18,-2.187861556563677e-18,1.879214922307989e-18,-2.036853900947128e-19,-1.4448708383319504e-19,-4.786986672388817e-19
11015044926034816,0,1.3212816795001162e-17,-1.9122868196670504e-17,1.1620085257462365e-17,-4.106880085196112e-18,8.710102755235802e-19,6.265541550058146e-19,-8.979134262590609e-20,4.60637952685956e-19,7.040309424944557e-19,-1.7846199921595832e-19,1.5030015083850992e-18,-5.008540422248048e-19,1.1823660776257631e-18,1.9162573813009997e-19,3.4842213065663887e-19,4.458624351294686e-20,3.1104010871194022e-19,-3.65278025393939e-19,5.2416200930687885e-21,-8.648844587022004e-19,3.5511588956685707e-19,-1.387358086066744e-18,5.03357728011629e-19,-1.0340874017721347e-18,-3.613411614652131e-19,1.0123624753173223e-19,-9.613828989572812e-19,8.380263906959036e-19,6.63008483734383e-20,8.322090186049724e-19,-1.5125655382369428e-19,1.142494432366639e-18,-8.518173189361105e-19,7.810264221049765e-19,-1.77534215688759e-19,-1.936624178676653e-18,7.192809038793196e-19,-6.692498889918474e-19,-9.540615595645791e-20,7.965237973121622e-19,4.545955539483515e-19,-5.958518098035247e-20,8.327721654551395e-19,-1.368493522282633e-18,1.1639428598117972e-18,-1.5779054255163782e-18,6.536545250666597e-19,1.323752357522943e-19,-7.060262327021227e-19,1.3904328959268586e-18
11963171843658240,0,1.2608497408873536e-17,-1.703898923304232e-17,9.674043011322251e-18,-3.351457647797569e-18,9.105520619358481e-19,9.068438652928805e-20,-1.185319873175065e-19,4.911687829236974e-19,7.059050004553118e-21,-1.1727842744797205e-19,7.880378539493181e-19,-6.911987860601484e-19,2.590487508772986e-19,9.227382088447005e-20,-2.05420284195086e-19,-1.3812379043503573e-19,-7.325869676166586e-20,-3.229337629566155e-19,3.992122546260322e-20,-6.132691938440367e-19,6.289159221697994e-19,-4.217555050520997e-19,9.944154116405525e-19,-7.241747351374875e-19,6.42649976822974e-19,3.154548785866066e-19,-5.563761775623368e-19,3.409082732948802e-19,-3.3063043591157e-19,-2.5193529528913186e-19,-4.31630578750949e-19,9.882730823474809e-19,-1.0480978079020773e-18,1.0185781516567055e-18,-2.58225130414181e-19,4.823020973190162e-20,4.879240313333303e-19,-3.6220366220690515e-19,-1.4778209443153684e-19,-2.2045545131084844e-19,-3.751000715712972e-19,6.767346049765101e-19,-2.7929663676419817e-19,4.854508569374996e-19,9.989734018328961e-20,-3.182067385026364e-19,-1.3618684761792984e-19,-2.4384835362053406e-19,3.72790230565751e-19,-3.05210360453942e-19
16615171179593088,0,2.6591252118066436e-17,-2.968054502492611e-17,1.2619965930101491e-17,-2.790457616815598e-19,-2.1563440713288804e-18,2.508714430067147e-18,-1.9053207434793373e-19,1.0649766556836204e-19,2.0832156007256707e-18,-1.8736173270595527e-18,3.3502301010656033e-18,-1.914592404471516e-18,7.992798895807367e-19,9.759510777872559e-19,-1.0926168245226116e-18,2.557990651532453e-19,-5.833546847864902e-19,-9.855979227650183e-19,-6.822880467081358e-19,-1.6349295048137703e-18,5.7627407570198025e-19,-2.8075703255507634e-18,2.3737397454439024e-18,-2.572856035723953e-18,1.1829811320342527e-20,1.6292916156783788e-18,-1.0210312704382703e-18,1.4992208204956446e-18,5.367345238445271e-19,-2.8334999527028537e-19,5.091406687739579e-19,9.390411399956589e-19,-1.8139730418773574e-18,7.233640738130227e-19,-8.36887665222797e-19,-1.2959993362031788e-18,9.3068218899053e-19,-3.944672808791283e-19,-9.429987267255868e-19,2.2104297447850912e-18,-1.010997149463947e-18,1.4783670357545059e-18,5.428696587671345e-19,-1.96676046538492e-18,8.005230491586529e-19,-6.492504446254978e-19,-1.6018109554831514e-19,-5.030420469552076e-19,6.950305129422672e-20,2.3540076240152604e-18
25501939551450880,0,6.318298132831012e-16,-9.6836750204517e-16,6.099221535743082e-16,-2.293211244417497e-16,2.207624378264547e-17,4.2576065992751663e-17,-4.128689426524405e-17,1.2412412704684025e-17,1.7317989952144682e-17,-4.3210967366873604e-17,6.20029156416296e-17,-6.306600803139333e-17,4.456752163096489e-17,-1.565799831677669e-17,-4.5064962190565525e-18,2.0543412852623834e-17,-2.1108643548892805e-17,2.4372490448946147e-17,-1.8936645269937508e-17,1.1525466159733713e-17,7.214031513711431e-18,-2.3070530951976425e-17,3.5077524975748484e-17,-2.887837262017829e-17,5.790424729042222e-18,6.121615483888095e-18,-1.2103450301712246e-17,9.945861534824206e-18,-1.0775737167529279e-17,1.0344777472405066e-17,-1.2040664242266795e-17,1.3267481392763481e-17,-1.978392824666205e-17,9.349172562488359e-18,1.597462622613347e-17,-3.958945154762266e-17,4.2559698319833335e-17,-1.8634611680317395e-17,-3.873335332577674e-18,1.7075213804920854e-17,-2.4123389707927486e-17,2.3067221394077173e-17,-1.6054139459823782e-17,-1.945283195754945e-18,1.2193410279132952e-17,-3.1302166074959175e-18,-6.827477331088831e-18,1.3256928437403613e-17,-1.3461119803348963e-17,1.644262997068435e-17
30269452033850624,0,3.192920120973283e-16,-4.902925743069514e-16,3.268368572179996e-16,-1.5973828504224964e-16,6.470428912531582e-17,-2.3359110137308808e-17,-2.270799020474245e-19,1.1576127782532072e-17,-1.6574912010851866e-17,8.847589815950429e-18,5.131980439617585e-18,-2.0383939723481653e-17,2.24259457727924e-17,-1.880425737073627e-17,1.3135034924020111e-17,-5.21949581190677e-18,3.3262276629131827e-18,-3.457900319937074e-18,1.489690369501926e-18,3.169695095146962e-19,-1.4944017132431716e-18,6.536661017885701e-18,1.299726849479888e-18,-7.483468780247543e-18,1.1551790134690711e-17,-1.2128802940467613e-17,1.2727331464537441e-17,-6.964556315880682e-18,-3.452568048824501e-18,1.7290061217421923e-18,-5.122076830476345e-18,4.152291257897012e-18,-6.997788950013775e-18,6.082547840010971e-18,-1.672969420074528e-18,-8.63519924411635e-18,1.32953003795686e-17,1.6200592192342221e-18,-8.266720690508309e-18,6.5587144253283136e-18,-2.8812263528506117e-18,-9.567826322067634e-19,-5.020103355218308e-18,7.040084160071244e-18,-8.171022143159406e-18,7.188191943700591e-18,-4.1969410758064504e-19,1.5816163665502193e-18,-4.018116173633945e-18,9.862723386451377e-18
31265029748469120,0,5.7959106610321e-17,-9.118079645337163e-17,6.208521670513708e-17,-2.9423114231952985e-17,9.890669302467623e-18,-1.5066891238370512e-18,-2.1202792001406327e-18,2.929789873124313e-18,-3.1899767584119337e-18,1.7195160186855374e-18,-1.1026277056901126e-19,-1.5932838410785225e-18,1.5683177174881147e-18,-1.4215686086436489e-18,1.6516076161812154e-18,-1.2435294815604295e-18,4.851567808353775e-19,7.713626840679904e-19,-2.407917565686843e-18,3.3013352896431918e-18,-3.843876958009034e-18,4.252007965553537e-18,-2.8473208216595605e-18,2.32584042507229e-18,-2.1833526667641865e-18,1.3055600143895446e-18,-1.1046371939792589e-18,-2.8795185522612585e-19,-5.743094033917922e-19,5.196549823334979e-19,-1.6398804583065269e-18,2.4620532730860154e-18,-3.341858255285686e-18,3.2133043870083712e-18,-1.987210352629462e-18,-6.189351827461522e-19,3.6372329616515195e-18,-3.646276706927227e-18,2.6197763150590203e-18,-2.6770657207944672e-18,2.0212504078311035e-18,-2.854868709707046e-18,3.2016840527783277e-18,-2.1169018222168954e-18,1.2105402034041222e-18,-3.9103997328779507e-19,4.0369908618313375e-19,1.3035638399073854e-18,-3.8628978305303274e-18,5.5358911855868724e-18
35928500943041152,1,2.019616590358454e-17,-2.497322484578144e-17,1.3527954255357987e-17,-3.921192810346744e-18,-8.154326895830998e-19,1.5959993930795567e-18,-1.0670734754705e-18,-2.1611800266103636e-19,1.1693562957788293e-18,-1.9472484062793094e-18,2.3388457353647885e-18,-1.830389766611072e-18,5.149160427145553e-19,-6.901582996475117e-21,-3.778836639845065e-19,1.7335796796023647e-19,-7.773406319156677e-19,9.489468644118466e-19,-1.0514902250296747e-18,4.581680754563576e-19,9.888913804828425e-19,-1.7928903230273786e-18,2.602495915013179e-18,-1.940158233621481e-18,9.10073439605438e-19,1.4904299761226765e-19,-3.2391008220696213e-19,4.93232879901537e-19,-4.194954589587883e-19,-4.503048098888782e-19,-7.867543153258269e-19,-3.254840174173837e-19,-2.095222757575555e-20,-6.138696080440516e-20,1.5245804062809531e-18,-1.2861948916582863e-18,2.1663618626058976e-18,-1.2292292473337932e-18,-7.438734083607744e-19,7.419942342295178e-19,-1.2181369263487338e-18,1.5748070982916432e-19,8.436495321278881e-19,-8.006315511515622e-19,1.3292482773838206e-18,-6.742548947416242e-19,2.2207221253721404e-19,3.394630657934531e-19,-1.962116876546456e-18,2.940192314303005e-18
