classifier,basis,n_coeffs,poly_mean,og_mean,diff_mean,p_value,p_adjusted,significant_adj
RandomForest,chebyshev,5,0.728082690932096,0.828334018080404,-0.10025132714830809,0.001953125,0.15625,False
RandomForest,chebyshev,10,0.7291452525818654,0.828334018080404,-0.0991887654985388,0.001953125,0.15625,False
RandomForest,chebyshev,15,0.70082767781378,0.828334018080404,-0.1275063402666241,0.001953125,0.15625,False
RandomForest,chebyshev,20,0.6953972054742755,0.828334018080404,-0.1329368126061285,0.001953125,0.15625,False
RandomForest,chebyshev,25,0.6899235432462414,0.828334018080404,-0.13841047483416272,0.001953125,0.15625,False
RandomForest,chebyshev,30,0.6830949478175758,0.828334018080404,-0.145239070262828,0.001953125,0.15625,False
RandomForest,chebyshev,35,0.6865274940697538,0.828334018080404,-0.14180652401065025,0.001953125,0.15625,False
RandomForest,chebyshev,40,0.6830453079599884,0.828334018080404,-0.14528871012041558,0.001953125,0.15625,False
RandomForest,chebyshev,45,0.6797582084936453,0.828334018080404,-0.1485758095867587,0.001953125,0.15625,False
RandomForest,chebyshev,50,0.6828155663223642,0.828334018080404,-0.14551845175803985,0.001953125,0.15625,False
RandomForest,legendre,5,0.7689233528296471,0.828334018080404,-0.05941066525075682,0.001953125,0.15625,False
RandomForest,legendre,10,0.7740151682647655,0.828334018080404,-0.05431884981563856,0.001953125,0.15625,False
RandomForest,legendre,15,0.7755577825433786,0.828334018080404,-0.05277623553702544,0.001953125,0.15625,False
RandomForest,legendre,20,0.7758421183939377,0.828334018080404,-0.05249189968646626,0.001953125,0.15625,False
RandomForest,legendre,25,0.7681626492455333,0.828334018080404,-0.06017136883487077,0.001953125,0.15625,False
RandomForest,legendre,30,0.7628255018665246,0.828334018080404,-0.06550851621387938,0.001953125,0.15625,False
RandomForest,legendre,35,0.7588838973239608,0.828334018080404,-0.0694501207564433,0.001953125,0.15625,False
RandomForest,legendre,40,0.7510167297419578,0.828334018080404,-0.0773172883384462,0.001953125,0.15625,False
