representation,n_features,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,f1_mean,f1_std,brier_mean,brier_std
chebyshev_1_L2,1,0.7900757040380395,0.018709091607694395,0.4952803189239784,0.041584303842188974,0.6702380952380953,0.05603092707458418,0.7700370857288621,0.04677863845621916,0.5163267145440777,0.027485118488734025,0.12919036471344253,0.006234430208370798
chebyshev_2_L2,2,0.8641363352133912,0.027061153483146534,0.626791291423664,0.04312185379857664,0.7992599742599743,0.06089546138957652,0.8254243274532505,0.017289701824194016,0.6379935903577864,0.04497934233366422,0.11250187537907419,0.007579834153757653
chebyshev_3_L2,3,0.8689122244944606,0.024418336670244675,0.6873505928925876,0.050889022130805,0.7740830115830116,0.06763579972437128,0.846690736416616,0.02550277583567268,0.6465538669137786,0.04408801108102882,0.12965323996783723,0.007798059664182247
chebyshev_4_L2,4,0.8675163531843868,0.03170480398451971,0.7219649244450296,0.08800181343051618,0.752557915057915,0.0833412796594473,0.8807958715146282,0.021457941155514693,0.6724220461062567,0.045188025099877675,0.10421729979422167,0.027821496064376144
chebyshev_5_L2,5,0.91480986180425,0.02662353334931266,0.8499701794457378,0.04462392823906987,0.8297619047619047,0.035376471652896105,0.9388566214704787,0.01021890187992119,0.799044132234848,0.03526418363581418,0.07610559528931311,0.01227293363515097
chebyshev_6_L2,6,0.9193852981031915,0.02641935294095315,0.8631820958460092,0.03808120079953992,0.8297297297297298,0.033144548790835636,0.9424082177265859,0.01775403691305724,0.8050869946551323,0.040076111324229675,0.0724157083605212,0.008079432127857944
chebyshev_7_L2,7,0.9178004964158644,0.02706168713687632,0.8642267858929088,0.03783932675865478,0.8261422136422137,0.02832291618576321,0.9494947314718521,0.014359068934637682,0.8141840604820612,0.038210635593712676,0.07200583548629771,0.008145340998343726
chebyshev_8_L2,8,0.9152378702912914,0.027094750842749444,0.8620247878190792,0.03913327493640923,0.8404761904761905,0.03798448732338515,0.9486038890960108,0.005060459550057008,0.8203456407712718,0.019537391858056027,0.07239006704458643,0.008715710239828913
chebyshev_9_L2,9,0.9140221028954031,0.027492133495870045,0.8583214213094138,0.03794933540300717,0.8279601029601029,0.03328908075928975,0.9481682789474718,0.01470895150645651,0.8130082197240676,0.037235931873218046,0.07316154967763483,0.008026310789281536
chebyshev_10_L2,10,0.9188260035146503,0.02190041479582577,0.859662956177554,0.039466440531631834,0.8315315315315315,0.026618252635136966,0.9583511567215431,0.010196165100393981,0.8317108304906572,0.030541770320783847,0.07225534785647754,0.008777375734822387
