representation,n_features,classifier,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,youden_j_mean,youden_j_std,f1_mean,f1_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,precision_mean,precision_std,accuracy_mean,accuracy_std,brier_mean,brier_std,log_loss_mean,log_loss_std
og_xp_110,110,XGBoost,0.9527419227114349,0.0073271406324634525,0.903935098932973,0.012138374827924481,0.8089978618942034,0.023400898296307596,0.840939341377011,0.020154497318065838,0.8526785714285715,0.024989368487718263,0.9563192904656319,0.012413771483004746,0.8309151175622269,0.03882045042574991,0.9357015985790408,0.00931634731214728,0.04816360175609589,0.005394348394911518,0.1981093445078966,0.027279351543859232
og_xp_110,110,RandomForest,0.9495466423820084,0.008334384063268344,0.8962969101708881,0.011855844961348476,0.8005365061767501,0.02477096967661721,0.8325736024764122,0.018189516772283868,0.8473214285714287,0.026769174787820066,0.9532150776053214,0.010631203924528808,0.8194507959289018,0.03165064050742795,0.9321492007104796,0.008152475774095207,0.05240211528299208,0.004814794287697049,0.20215238385463702,0.014011231549631548
og_xp_110,110,SVM_RBF,0.9450289040228064,0.009527384260339852,0.8941632807115883,0.012834479259380171,0.7849976243268927,0.03058495641288437,0.8111485296536964,0.03160652740249183,0.8446428571428571,0.02461437277158968,0.9403547671840355,0.019844479676509486,0.7821485387843902,0.05334859754762135,0.9213143872113676,0.016323215592154373,0.05020295468428243,0.0035680960840552057,0.1915736277402276,0.012059165426651537
chebyshev_10_L2,10,SVM_RBF,0.93727035159962,0.01073203166364489,0.8827073017519937,0.018634310332413917,0.7876643173899271,0.03115790639620655,0.8138334303540622,0.024547365693496,0.8455357142857143,0.03094379459659531,0.9421286031042129,0.013805517414546992,0.7858755707272916,0.03986676761087676,0.9229129662522203,0.011486696803105073,0.054477800379770736,0.005888693872450175,0.2043886257267956,0.017307743842923627
legendre_10_L2,10,SVM_RBF,0.9361755622426354,0.009912804639173033,0.8846122480600286,0.015832741738418483,0.7833742477035159,0.03655124368188991,0.8184316658453327,0.021575006957229637,0.8339285714285714,0.03975192346920002,0.9494456762749446,0.010336812261373014,0.8051290068756496,0.03078372915173667,0.9264653641207815,0.008669274229827398,0.05302726661566457,0.005963647931237989,0.2020828084411186,0.017119134167588815
legendre_40_L2,40,SVM_RBF,0.9337484162179284,0.008126246548973171,0.8725896277400794,0.01297720777169512,0.7440212226797593,0.026009818487988137,0.7739070177041275,0.02101550465391233,0.8178571428571428,0.037220233811579725,0.9261640798226164,0.021191638042048974,0.7379920654966431,0.05221372071473281,0.9046181172291297,0.012588894788381932,0.05877477480579344,0.00469888238571187,0.21621885037789018,0.011708487076245399
chebyshev_30_L2,30,SVM_RBF,0.9309570003167564,0.009806957838579202,0.8774860291649424,0.01317972636776348,0.7781418276845107,0.023435361622345066,0.7975702545310905,0.02345699577036877,0.8473214285714287,0.019942697104465466,0.9308203991130821,0.014324022522247622,0.7543370331479486,0.03868968902438785,0.9142095914742452,0.011783458364752643,0.05646911518995462,0.0050706604655824635,0.2125686928486835,0.013682920857002625
chebyshev_40_L2,40,SVM_RBF,0.9300522648083623,0.01383297432906601,0.870432992572477,0.012451879397496184,0.7513976876781754,0.033599997460468746,0.7766773291164328,0.0211770200961074,0.8267857142857142,0.04948000581100096,0.9246119733924612,0.02410865695535858,0.7368079936589107,0.05150086483528595,0.9051509769094139,0.012922788211493912,0.05916910898151647,0.0051949564358106555,0.21841635898350226,0.01308421424421914
og_xp_110,110,LogisticRegression,0.9282229965156794,0.01532813012413992,0.8760983980666108,0.01943991718870827,0.7853876306620209,0.019194378145634364,0.819147275133207,0.015033026053112816,0.8366071428571429,0.01976423537605237,0.9487804878048781,0.008456137315573433,0.8030485189347422,0.02575545390676656,0.9264653641207815,0.00681262278917348,0.06732345898371876,0.007639705960214826,0.26522712249573843,0.03139320486304155
chebyshev_50_L2,50,SVM_RBF,0.9258295058599936,0.01234897743666165,0.8630581171988888,0.013042497531560565,0.7492100886917961,0.0278342837849898,0.7708151710951097,0.035924595865592525,0.83125,0.02709804676211915,0.917960088691796,0.02930410584124028,0.7224354802361089,0.0680843812481007,0.9007104795737122,0.02120639043358762,0.06144406867568564,0.00480569889097985,0.22777326224505043,0.012703715249030061
legendre_40_L2,40,XGBoost,0.9252098511244853,0.01584870767544667,0.8675175127641873,0.019378777159010936,0.7418890560658854,0.029448815998600827,0.7892419121479833,0.018551186961060652,0.7973214285714285,0.035726684355768146,0.9445676274944568,0.01292893989987871,0.7833684679073307,0.03547076109214039,0.9152753108348135,0.008120163020008876,0.06151624172925949,0.006352563220921349,0.2658757369690984,0.044036786877858176
legendre_50_L2,50,LogisticRegression,0.9246911624960406,0.015238916595315228,0.872523206798404,0.020757209127912825,0.7764887551472918,0.03448176917007041,0.8094927422558513,0.0241381777031949,0.8321428571428571,0.03664462850386045,0.9443458980044346,0.01356602799338463,0.7898082138024354,0.03835316416205142,0.92202486678508,0.010834975264656054,0.07182183912552506,0.004670395945224596,0.2835464332144082,0.017329211062559694
legendre_20_L2,20,SVM_RBF,0.9245149667405764,0.012199254432320375,0.8760944087961018,0.011948689911605238,0.788539356984479,0.027012510682620172,0.8166986284429427,0.017668064823811044,0.84375,0.026369114801591306,0.9447893569844789,0.006045263871893172,0.7917313005308164,0.019038088706870515,0.924689165186501,0.007114656665861358,0.05651341549740672,0.004918124197335706,0.21634820632044405,0.012553677407576645
legendre_50_L2,50,SVM_RBF,0.9243724263541336,0.015010627841743326,0.860732840155926,0.020528155803196925,0.7341582198289516,0.04023195157281855,0.7740055925541374,0.034066418505159554,0.8017857142857142,0.04587583063808974,0.9323725055432373,0.02598958015154063,0.7521014545334316,0.05791451416181849,0.9063943161634104,0.018211212904513135,0.06229135265476872,0.007481237742813208,0.22921064860696844,0.020118335329521307
legendre_30_L2,30,LogisticRegression,0.9241704941400062,0.01321858921098479,0.8725260900316656,0.020450945861671992,0.7876049255622426,0.03263397868212519,0.8229958571650389,0.029309634848576138,0.8366071428571429,0.02663648908960053,0.9509977827050997,0.01311561119351699,0.8107476514209951,0.04272257035467742,0.9282415630550622,0.012949885721247906,0.07027289995813432,0.007890848625628602,0.27933657483993224,0.02726802678657939
chebyshev_30_L2,30,LogisticRegression,0.9234835286664556,0.012285669719332457,0.8701778682406157,0.020707444291918165,0.7851540228064618,0.03194730500893317,0.8204403743444473,0.021181256181573294,0.8348214285714286,0.0318466288080844,0.9503325942350334,0.0076951456525176055,0.8072478636775561,0.024030067968987264,0.9273534635879219,0.008350024350652316,0.07220994851493061,0.003864685350625285,0.28409551126194404,0.018925106084922174
legendre_40_L2,40,LogisticRegression,0.9233251504592968,0.012331508286135533,0.8713583732190964,0.019259388562738643,0.78071349382325,0.03637542228286707,0.8142772524960004,0.02402729531022293,0.8339285714285716,0.03792745790969999,0.9467849223946786,0.011825572801182556,0.7970223617199872,0.03320280323715112,0.9243339253996448,0.010295827173136353,0.06887863745775692,0.008495013475290173,0.2721319766256865,0.034811557810930205
chebyshev_50_L2,50,LogisticRegression,0.9226520430788723,0.013435190500583298,0.868340566607905,0.02028797393743411,0.776944092492873,0.03493315582525007,0.8091567213378538,0.03208603046064262,0.8339285714285714,0.03625581507819304,0.9430155210643015,0.021675876964906422,0.7890803015065149,0.05958925963172602,0.9213143872113676,0.016237088012662226,0.07212446230245949,0.0037244869476570817,0.28477721460661864,0.017801374901616332
legendre_30_L2,30,SVM_RBF,0.9226282863477986,0.013521891447575828,0.8691734066871846,0.021413879795196173,0.7617477035159961,0.039555487011288935,0.802998066845044,0.03837872988784217,0.8160714285714284,0.03011693009684171,0.9456762749445676,0.019617456674038428,0.7924240083702888,0.06170378205908247,0.9198934280639431,0.018064330300157312,0.05745500414234779,0.008326833616633956,0.21860980202351077,0.024431814193244684
chebyshev_20_L2,20,SVM_RBF,0.9219492397846057,0.014128947936883893,0.8726186474165252,0.020704875993005533,0.7720185302502376,0.037317427803722276,0.8082060527254592,0.03281165450714752,0.8267857142857142,0.03372432255765548,0.9452328159645234,0.01701692581317064,0.7925858622968174,0.05471878178107205,0.9216696269982239,0.015012121244538056,0.05657416228757058,0.007642848344140532,0.21420235146104205,0.02001250658636277
chebyshev_10_L2,10,LogisticRegression,0.921476084890719,0.013777374895480952,0.8696580850326171,0.020592172733531044,0.7926928254672158,0.03367795912445235,0.8328833048929207,0.022800223436750425,0.8348214285714286,0.03320820476848421,0.957871396895787,0.008427017184768189,0.8318593282361355,0.02803585834994561,0.933392539964476,0.009105125221568776,0.06956355059359715,0.003778353008415419,0.28438100957619084,0.018172640122328946
chebyshev_40_L2,40,LogisticRegression,0.9214305511561609,0.013443913517024845,0.8681177191406821,0.022983340934969596,0.782043870763383,0.03580383452570089,0.816273201855308,0.022384485800579203,0.8339285714285714,0.036741188957168984,0.9481152993348114,0.008374998063098474,0.8003391081226703,0.025721952527798374,0.9253996447602132,0.008741754328142929,0.07196107010281565,0.0032172741110823443,0.2842267845874774,0.01681094982503443
legendre_10_L2,10,LogisticRegression,0.9201219512195122,0.01379085747972998,0.8700904746724702,0.019669122026908358,0.7918118466898955,0.034841382028108006,0.8305272478272145,0.026038717107391293,0.8357142857142857,0.03155323400166329,0.9560975609756097,0.00910021816503851,0.8260103709229402,0.0300358581188317,0.9321492007104796,0.0106834752574446,0.06954439555761277,0.0038955896843211077,0.2832740122703157,0.017728078874964266
chebyshev_30_L2,30,XGBoost,0.9194666613873931,0.015547296671588294,0.8369810807170632,0.03002125616583402,0.7026429363319606,0.043915618297953096,0.7334391969594256,0.04134168900749086,0.7973214285714285,0.034206775031415726,0.9053215077605321,0.028164397563655953,0.6818786706443659,0.06392820461473224,0.8838365896980461,0.023447620004201027,0.06943013109266757,0.0083340106641341,0.29271201644853867,0.0466652335582629
legendre_20_L2,20,LogisticRegression,0.9193775736458664,0.0142677685305252,0.8704057063393226,0.021909727675231763,0.7902775578080456,0.033501890697493056,0.8248646120201292,0.019011911076921857,0.8383928571428572,0.03431019711179667,0.9518847006651885,0.003775917154307419,0.8123222651260967,0.011746011951842432,0.9293072824156307,0.006687991117320506,0.07215956327964772,0.00596240731688907,0.287402070873708,0.01916798033687452
legendre_10_L2,10,RandomForest,0.9193548067785873,0.011284512334248502,0.8577841518277755,0.022947886369068228,0.753933718720304,0.04439324385019309,0.7983910022477503,0.035736264637647994,0.8080357142857142,0.04766552791085409,0.9458980044345898,0.02254431553383161,0.7934212599390703,0.06495871507580268,0.9184724689165187,0.016942823474114285,0.06058916821877234,0.006071798395020875,0.2728612386451717,0.07416353460470426
chebyshev_10_L2,10,XGBoost,0.9193082831802345,0.016319041944267407,0.8435872629758391,0.025566629406897332,0.7277993348115299,0.044445199591088766,0.755130434186102,0.034832184015817766,0.8125,0.04271636932859322,0.9152993348115299,0.021416002967541148,0.7076974455254468,0.050957433826414184,0.8948490230905861,0.017817163172342484,0.06970976069569587,0.009344827357541845,0.2621809960918344,0.04430461695287431
legendre_10_L2,10,XGBoost,0.9191598036110232,0.012770142238617506,0.8616993508069711,0.020955812601722856,0.7612745486221095,0.041222063731658425,0.8057521496756646,0.02929730169670404,0.8116071428571429,0.03890735915443094,0.9496674057649667,0.010028341104559201,0.8009572086485232,0.03285273535632695,0.922202486678508,0.011746213634233043,0.05946091040968895,0.00892591626799967,0.24471561590339835,0.05871355646372789
chebyshev_10_L2,10,RandomForest,0.9179135650934432,0.01525674386964535,0.8352956051639264,0.028677812492007286,0.7084851124485272,0.03720677720961551,0.731705821879991,0.030596558604630477,0.8089285714285716,0.04255015714443218,0.8995565410199557,0.02475813829949379,0.6713577514108512,0.05661322071328845,0.8815275310834814,0.017303131620543578,0.07064474376962311,0.009377131376500623,0.2876728689088127,0.061052533300556586
legendre_30_L2,30,RandomForest,0.9178215077605321,0.013017492989878046,0.8519929714435189,0.020333113653198735,0.7370050681026291,0.03639119413591609,0.7822820367273959,0.021734450352774395,0.7964285714285715,0.04032710639512935,0.9405764966740577,0.011051929426470826,0.7703417725604725,0.02997326938561779,0.9119005328596803,0.008669274229827415,0.06631247854236,0.004560257466964306,0.2470439493963334,0.01204148300274668
chebyshev_20_L2,20,LogisticRegression,0.9167781913208742,0.013945634983587136,0.8688039783782215,0.01901307709034084,0.789624247703516,0.03492180266309815,0.822296994125699,0.02542762664922419,0.8401785714285713,0.035327769585056956,0.9494456762749446,0.012358642995464004,0.8066111640992035,0.038349676803755305,0.927708703374778,0.01088661678578399,0.071378829151612,0.004393763031044505,0.28305347536405573,0.019575151542335512
legendre_30_L2,30,XGBoost,0.9167465156794424,0.017847658838414097,0.8615416514545255,0.01573623385730881,0.7481509344314222,0.03194924078534788,0.7918342228651485,0.03093910386210601,0.8053571428571429,0.02848449074763191,0.9427937915742793,0.017295531918141906,0.7805967443997408,0.05204499920851936,0.9154529307282415,0.014483253855697467,0.060021843016147616,0.00432793623393295,0.25631171129044117,0.04557093494403488
legendre_40_L2,40,RandomForest,0.9165940766550522,0.016010933919823635,0.8477409468359131,0.02177221226967956,0.7243367912575229,0.0366317967239557,0.7675177820263672,0.02565857226603338,0.7919642857142858,0.04251892002498069,0.9323725055432373,0.017746056472347334,0.7474866983294097,0.047226877031107076,0.9044404973357016,0.012214372488551907,0.06842986876527096,0.005622809678091967,0.25105301163053684,0.01582007499777959
legendre_50_L2,50,XGBoost,0.9161248812163446,0.011610876995870363,0.8503006291425595,0.017408864779431356,0.7171761165663606,0.043219682643889305,0.7659315560025373,0.03521974011392311,0.7821428571428571,0.0437813703534126,0.9350332594235032,0.020984405213168772,0.7536529786382099,0.05687022438164545,0.9046181172291297,0.01674721075143611,0.06420866213738918,0.007473679905747179,0.25768994739121487,0.040427164507393636
chebyshev_40_L2,40,XGBoost,0.9152755780804561,0.019947508758627403,0.8355481304792672,0.03301417256836297,0.7031160912258473,0.05407173202230409,0.7291817801690197,0.03760598211842017,0.8017857142857142,0.051514753627187625,0.9013303769401331,0.017087402840645832,0.6700075374460985,0.040147496449871894,0.8815275310834814,0.016996531656901542,0.07028816118836403,0.01018592950614998,0.321095164179449,0.05182271028594191
legendre_50_L2,50,RandomForest,0.9139323329109915,0.013519636266144601,0.8375413033353288,0.02330911105933653,0.7031952803294267,0.04626033298660444,0.746413069719771,0.030542502866082587,0.7803571428571429,0.051583485817365014,0.9228381374722838,0.018808563316975592,0.7184368120898713,0.04727726808219722,0.8944937833037301,0.013890234030659733,0.07220297005124984,0.005472538070400647,0.26179001786335665,0.013652998562893736
chebyshev_20_L2,20,XGBoost,0.913416613873931,0.015151662451959091,0.831091756766537,0.029844925723058954,0.7030804561292366,0.046076579309267236,0.7335284954301992,0.02936395699430279,0.7964285714285715,0.056123093172967486,0.9066518847006652,0.02494278825330789,0.6836095681199393,0.046848886118989706,0.8847246891651865,0.01615918070347714,0.0733847290277481,0.010318937587083665,0.3039546753198862,0.03818114423102771
legendre_20_L2,20,XGBoost,0.9122733211910041,0.012640730113648588,0.8530424016441387,0.01915980003266456,0.7553967374089325,0.035852991387969255,0.8139974543311592,0.028402121967458532,0.7946428571428571,0.03260253318483133,0.9607538802660753,0.011014796620997303,0.8354191865710163,0.03906715023739812,0.927708703374778,0.011663856604778916,0.05974844507873058,0.008191966454705584,0.26567850003174664,0.05676339257398715
legendre_20_L2,20,RandomForest,0.9113864032309154,0.015719249998901286,0.8497461045913784,0.02660065761852642,0.746119733924612,0.04601518199140966,0.7934904232606623,0.034924315403103194,0.8,0.04317015324873509,0.9461197339246119,0.015956651312601128,0.7891284780984233,0.04873469770808847,0.9170515097690941,0.015394862644054845,0.0640890356164451,0.007663337549039909,0.2512725669071787,0.027466749380107198
chebyshev_50_L2,50,XGBoost,0.9100530566993982,0.017003139475166573,0.8289093772012668,0.028541279580068583,0.697933164396579,0.052924030491836714,0.7322593420374476,0.04031412271446928,0.7892857142857143,0.05054268979846137,0.9086474501108647,0.02211868205267599,0.6852984981984094,0.053860671530093364,0.8849023090586146,0.019399547582022388,0.07237048521637916,0.01026454243987538,0.31524528612802566,0.055031825816250025
chebyshev_20_L2,20,RandomForest,0.9089038248337028,0.01722562762341483,0.812880950277027,0.030247462319078038,0.6718898479569211,0.05786069177305149,0.70944978205217,0.04897636294050698,0.7741071428571429,0.04909361285472126,0.8977827050997783,0.027781642343002712,0.6574010455936423,0.06550872389134849,0.8731793960923623,0.024841397850155735,0.0791335289908391,0.01011370089316403,0.284262085700343,0.033289281311842785
chebyshev_30_L2,30,RandomForest,0.9076011640798226,0.016280359275507368,0.8073237305408704,0.028432639678090264,0.6685025340513145,0.0445392689544092,0.6881697637872352,0.02837708596254018,0.7982142857142858,0.053106447674274894,0.8702882483370289,0.02515650025885811,0.6071943955506564,0.037799019027251815,0.8559502664298402,0.016839057043187774,0.07996682421606245,0.0068821242586163895,0.2859144400112455,0.030217611178031897
chebyshev_40_L2,40,RandomForest,0.9057907031992398,0.017973615349335375,0.8047099861710987,0.03047299544834025,0.6604074279379157,0.05513748408459237,0.6902621689180766,0.04495801121485992,0.78125,0.04912968458100947,0.8791574279379157,0.030603489449761132,0.6214604902701859,0.06452141524718599,0.8596802841918295,0.02543818953101341,0.08011259244837127,0.005831556609993396,0.27994361774699184,0.015876820401076578
chebyshev_50_L2,50,RandomForest,0.9031329189103579,0.018292122548924216,0.7971324454662909,0.0323378647681926,0.660939974659487,0.04552247855898822,0.6826807859719513,0.03775616870032761,0.7946428571428571,0.051377013397714506,0.8662971175166299,0.035906031359034585,0.6027352387103232,0.06277680712199558,0.8520426287744227,0.025217438020532987,0.08336256230733308,0.008828185933838032,0.28963775766674066,0.023380339772995237
og_xp_110,110,kNN,0.9027745882166613,0.016626602719156156,0.8122664311390784,0.029933932272318768,0.6861993189737092,0.03186449445747651,0.7144911816525197,0.02471536532159922,0.7919642857142857,0.033154815337222934,0.8942350332594236,0.017801378569918758,0.6521777712817933,0.03578116691413178,0.8738898756660746,0.013527128074358607,0.07569243933773613,0.008442461664247456,0.7551250327350176,0.12670530546967468
legendre_10_L2,10,kNN,0.8987616803927778,0.016269858320579596,0.8193384321744169,0.029055719537102134,0.7016075388026607,0.043737246441284516,0.7484972888733865,0.030390299915948018,0.775,0.042047578601069904,0.9266075388026607,0.011892364959833158,0.7249145305767216,0.03435482418767353,0.8964476021314386,0.012699787877360884,0.07166675195344258,0.008898045440871699,0.6624867954941026,0.15505658267879321
chebyshev_10_L2,10,kNN,0.8984775894836871,0.023804871617053403,0.8049363204980358,0.03629214912823694,0.6691340671523598,0.04812552681321886,0.7151490029326142,0.03267277008948031,0.7598214285714285,0.04916572984233737,0.9093126385809314,0.01841675171994733,0.6777185772380923,0.04094501807878792,0.8795737122557726,0.015592828155245955,0.07673399572652073,0.008555376636654781,0.5621742010922929,0.15489872533359922
legendre_30_raw,30,SVM_RBF,0.8819844789356985,0.01866344264895765,0.7617644250841445,0.03024480332780789,0.6060262907823883,0.03183129342961244,0.6510176204995781,0.030293303579486522,0.7392857142857143,0.03783392519540642,0.8667405764966741,0.03356922317296625,0.5853036216674398,0.05536502548845202,0.8413854351687389,0.02309893428966898,0.09509199949084465,0.006379536976200135,0.3262852896162057,0.01695095628569946
legendre_40_raw,40,SVM_RBF,0.8816637630662021,0.017070056794541363,0.7603422331840812,0.02496280446679925,0.6087345581248019,0.043103063438475614,0.650564376512075,0.037410535025441886,0.7464285714285714,0.04478153065191435,0.8623059866962306,0.03838262076570009,0.580883957901416,0.06143591013473935,0.8392539964476022,0.027685035916490675,0.0956704176036974,0.005764715037120232,0.3274508587558128,0.01612724983780206
legendre_50_raw,50,SVM_RBF,0.8752276686727907,0.018703014730181017,0.7537959690509548,0.023416964251364178,0.5882226005701615,0.03387244937772491,0.6357517533927901,0.02345875892527127,0.7294642857142857,0.062151807875734585,0.8587583148558758,0.04178422803393511,0.5691190327840843,0.051062733024298944,0.8330373001776199,0.023712237293665825,0.09736625580176347,0.00439618664657913,0.33431884236327425,0.013201632349218518
chebyshev_30_raw,30,SVM_RBF,0.8726659011719988,0.016838465913999,0.7307544381102881,0.03343599079705266,0.5960187678175483,0.0444303796428889,0.6417591881920879,0.029007851422119597,0.7348214285714285,0.06615583411729534,0.8611973392461196,0.04216359848870851,0.5763161192503343,0.05759355948071909,0.8360568383658971,0.025452654594397932,0.10428223805471218,0.007706513413009412,0.3502495592346377,0.022588616082265475
chebyshev_40_raw,40,SVM_RBF,0.8721274152676592,0.015313500958716622,0.741226138119053,0.019892283757549225,0.5852134146341463,0.03974914065136174,0.6266713243792176,0.039701699397900865,0.74375,0.034464748331462104,0.8414634146341463,0.04187825148058553,0.5451041056304748,0.06189921982052524,0.82202486678508,0.030910171217260255,0.1013250840107484,0.004304930099373339,0.3428263548191045,0.012387289748427082
chebyshev_50_raw,50,SVM_RBF,0.870252613240418,0.015403498630937847,0.7304590316461472,0.021263318139874747,0.5766748495407031,0.03097705007110111,0.6247951649789483,0.025838260299475963,0.7267857142857143,0.056813285709476226,0.849889135254989,0.04347569452976383,0.553136756298185,0.05220767393973246,0.8253996447602132,0.026038131314950717,0.10354079761200716,0.004306713147858452,0.349230662286102,0.012399068245396523
legendre_20_raw,20,SVM_RBF,0.8679620684193855,0.023259902211161577,0.7505204229239861,0.022335485330500116,0.6131394520114032,0.033528280869820945,0.6567955384732265,0.02270769547226989,0.7419642857142856,0.047142331045645525,0.8711751662971174,0.026882255941959702,0.5923418781610811,0.041903049630348216,0.8454706927175843,0.016171107499997204,0.09863652402193421,0.006721858573036277,0.3412866902231467,0.022675696818661398
legendre_10_raw,10,SVM_RBF,0.8620941558441558,0.03612131659608092,0.7083161783561935,0.03670465470497222,0.5794128127969591,0.06986358840946134,0.622670948734063,0.05441154184160947,0.7383928571428571,0.0534141208919289,0.841019955654102,0.038220030157863905,0.5409175361979931,0.06477334794675285,0.8206039076376553,0.03377373758899147,0.11086504064135785,0.008878916272753652,0.3710068143994337,0.02398961113580108
chebyshev_20_raw,20,SVM_RBF,0.8603044821032626,0.022224260517685432,0.7278531736632439,0.029320610497262232,0.5971036585365854,0.03945547192240319,0.6448375728739485,0.03068038370987047,0.73125,0.045808202757904606,0.8658536585365854,0.0332553171481645,0.5799301720403675,0.04685256254859953,0.839076376554174,0.02302521450285138,0.1064043449379434,0.010051329642679263,0.3602585529970376,0.030252761971875288
legendre_20_L2,20,kNN,0.8597996515679442,0.027074467213383815,0.757853163172914,0.0331923932561396,0.599586236933798,0.0527617505301896,0.6642156577619136,0.04172424430413905,0.7044642857142857,0.0719782914016898,0.8951219512195122,0.044958201989922265,0.6402932351477318,0.08890184022262396,0.8571936056838366,0.02824845103695177,0.08969518800039224,0.007026543852700291,0.7827997648294225,0.14082863532435866
chebyshev_10_raw,10,SVM_RBF,0.8562777161862527,0.040292327427186865,0.6848130736556549,0.04677524306022908,0.5733192112765283,0.05827190139801428,0.6239746410226518,0.04742696016498141,0.7223214285714286,0.05511178343575345,0.8509977827050997,0.04097565241687189,0.5543220940868508,0.07237424567173098,0.8253996447602132,0.03141914674971785,0.11851690622304578,0.007606804882288695,0.38924847838051,0.02015830636401897
